hopcount,size,stations
1,2,AML DA 
2,6,AMRI DV HGL NVD VHP WDN 
3,14,AMF APD BN ES ESK HGLG HGLO MRB ODZ OST RAT RSN TWL ZP 
4,19,AMFS APDM APDO BMN BRN DDN DLD DR ESE HDB HNO HON HVL HVS OMN UT VD VEM WD 
5,28,AH ASD BDG BHV BNN CO DB DL DVC DVD GBG GBR GD GDG GO HVSM HVSP KBK MAS NDB RH RL SD STZ UTLR UTM UTVR UTZL 
6,38,AHZ APN ASA ASB ASDZ ASS BKL BNC BNK BSMZ DLN ED EMNZ EST GV GVC HLM HOR LC LLZM LTV MRN NM NWK OTB RAI RTA RTD ST UTLN UTO UTT VB VP WADT WC WP ZL 
7,52,AC AHPR ALMO ASDL ASHD ASN BLL BSK CPS DMN DMNZ DT DTCP EDC EMN GVMW HAD HD HGV HN HTN HWZB KLP KPNZ LAA LDL LLS MP NMGO NMH NML NS O OVN PMR RTB RTN RVS SDM SHL VNDW VTN WAD WF WH WV WWW WZ ZA ZD ZLSH ZTMO 
8,42,AHP AKM ALM ALMB ASSP BL BSKS CAS DRON EML GN HDE HFD HIL HLMS HMN HNK HR HRN HT HTNC KPN KZ LEDN LTN LW MMLH NKK NMD OW PMO RSW RTZ SPTZ SWK VNDC WADN WW YPB ZDK ZTM ZVT 
9,39,ALMM ALMP AMR ASDM ATN AVAT BNZ CK CL DEI DVNK EHV FN FWD GERP GNN GW HDG HKS HLO LWC MG NVP OP PMW PT RHN RLB RS RTST SKND SPTN SWD TB VG VH WTV ZH ZZS 
10,31,AMPO AMRN BD BDM BF BKG BMR BP BRD BTL DRH DRP DVN DWE GK GP HLG HM HMBV HTO KTR KW SDA SK SSH TBU VST VSV WM WSM WT 
11,23,BDPB BET BKF ETN GVM HLGH HMBH HMH HWD HZE IJT KMA MTH OT RSD STM TBR TL UST VLB WFM WS ZV 
12,19,APG BGN DID EHS EKZ GZ HGZ LP MZ NSCH OBD ODB SGN TPSW UHZ UTG VRY WK ZLW 
13,15,ANA BR DZ DZW GDM GS HK HNP KRG RB UHM WL WR ZB ZVB 
14,15,ARN BSD BV BZL DTCH HDRZ HRT KBD KMW LEER MDB RD VDM VL ZBM 
15,9,DN DTC EEM HDR LDM STV TG VS VSS 
16,3,AKL GDR RV 
17,3,GR SM TBG 
18,2,BHDV RM 
19,3,EC GND STD 
20,7,GLN HBZM HRL LUT MT SDT SRN 
21,7,BK HRLW LG MTN MTR SBK SDTB 
22,8,BDE DDRS EDN EGH EGHM MES SN VDL 
23,5,CVM DDR KMR NH SGL 
24,5,DDZD HB KRD SOG ZWD 
25,1,VK 
