hopcount,size,stations
1,2,GD WAD 
2,10,GDG GV GVC LLZM NWK RTA RTD UT VB WADN 
3,28,AH AMF ASA ASB BD BSKS CPS DB DDR DT DTCP DVD ED GVMW HT KLP LAA MAS RSD RTB RTN SDM UTM UTO UTVR UTZL WD ZTMO 
4,42,AHP AHZ AMFS APD ASDM ASHD BGN BHV BKL BNK BSK DDRS DDZD DMNZ DR DV EDC EHV EST ETN GZ HOR HTO HVL HVSP MRN NKK NM NS O RSW RTZ TB UTLN VG VTN WF YPB ZL ZLW ZTM ZV 
5,52,AC AHPR AML APDM APDO APN ASN ASSP AVAT BDPB BMN BNN BTL DID DL DLD DVC GP GS HD HDE HGV HM HMBV HNO HTN HVS KPNZ KRG MP NMGO NMH NML OST OTB PT RAT RB RLB RS RTST RVS SDTB TBR UTT VNDW WT WTV WV ZLSH ZP ZVB 
6,52,AKM AMRI ARN BDG BET BL BNC BRD BZL DMN DN DVN EML GN HMBH HMH HON HR HRN HTNC HVSM HZE KBD KBK KPN LC LDL LW MDB MMLH NDB NMD NVD ODB OMN OT OW RM SDT STZ SWK TBU TWL UTLR VD VNDC VP VZ WC WH WL WZ 
7,42,AMPO BN BNZ BSMZ CK CL DA DEI DTCH EC EHS FN FWD GERP GND GNN GO GW HBZM HDB HDG HRT LEDN LWC MG MRB MZ RH RHN RL RSN SKND SM ST STD SWD VEM VS VSS WP ZH ZWD 
8,38,ALMM ASD BDM BF BHDV BMR BP BR CO DDN DRP DTC DVNK DWE GBG GDM GK GLN HAD HFD HLG HRL KW LTN LTV LUT MT RV SD SDA SHL SK SRN SSH VH VHP WDN WSM 
9,32,ALM ASDL ASDZ ASS BK BRN BSD DLN EMNZ GDR GR HGLG HIL HLGH HLM HRLW IJT LG MTH MTN MTR NVP SBK STM TPSW UST VL VLB VST WFM WS ZBM 
10,33,AKL ALMB ALMO ALMP APG BDE BLL EDN EGH EGHM EMN GVM HGL HGZ HLMS HN LDM LLS LP MES NSCH OVN PMR RAI SN TBG TG TL UHZ VDL VRY WK ZD 
11,24,CVM DRON DZ DZW ES ESK HGLO HNK HNP HWZB KMR KTR KZ NH ODZ PMO SGL SPTZ UHM VSV WR ZB ZDK ZVT 
12,14,ATN ESE HB HKS KMW KRD LEER OP PMW RD SOG SPTN VDM ZZS 
13,8,BKG DRH EEM GBR HMN STV VK WW 
14,4,BKF BV WWW ZA 
15,2,EKZ HK 
16,1,UTG 
17,2,CAS KMA 
18,3,AMR HLO WM 
19,1,AMRN 
20,1,HWD 
21,2,OBD SGN 
22,1,ANA 
23,1,HDRZ 
24,1,HDR 
