hopcount,size,stations
1,6,AMF BDG BKL GDG UT VTN 
2,25,AC AH AMFS APD APN ASA ASB ASD DB DV DVD ED GD HT HVL KLP MAS NKK NS UTM UTO UTT UTVR UTZL ZL 
3,57,AHP AHZ AML APDM APDO ASDM ASDZ ASHD ASN ASS AVAT BHV BNK BNN BSK DL DMNZ DR DVC EDC EHV EST GV GVC HD HDE HGV HNO HOR HTO HVSP KPNZ LDL LLZM MP MRN NM NWK O OST PT RAI RAT RTA RTD SHL TB UTLN UTLR VB VG WADT WF WV ZLSH ZP ZV 
4,62,AHPR AKM AMRI ASDL ASSP BD BL BMN BNC BSKS BTL CPS DDR DID DLD DT DTCP EML GN GP GVMW HM HMBV HN HON HR HRN HTN HVS HWZB KBK KPN LAA LC LEDN LW NMGO NMH NML NVD OMN OTB PMR RS RSD RTB RTN RVS SDM SWK TBU TWL VD VNDW VZ WAD WH WT WTV WZ ZD ZTMO 
5,62,BET BGN BN BNZ CAS DA DDRS DDZD DEI DMN DN DVN DVNK ETN FN FWD GERP GNN GO GW HAD HDB HDG HFD HMBH HMH HNK HTNC HVSM HZE KZ LWC MG MMLH MRB NDB NMD OT OW PMO RL RM RSN RSW RTZ SKND SSH STZ SWD TBR VEM VH VNDC VP WADN WC WL YPB ZDK ZH ZLW ZTM 
6,51,AMPO AMR BDM BDPB BF BP BSMZ CK CL CO DDN DRP DTCH DWE EC EHS GBG GK GS GZ HIL HKS HLG HLM HLO HRT KRG KW LTN LTV MZ NVP PMW RB RH RHN RLB RTST SDA SDTB SK SM ST STD VHP VST WDN WP WSM ZVB ZZS 
7,36,ALMM AMRN ARN BKG BLL BMR BR BRD BZL DLN DTC EMNZ GDM GLN GVM HGLG HLGH HLMS HRL IJT KBD LUT MDB MT MTH ODB OVN RV SD SDT SRN STM UST WFM WM WS 
8,32,ALM APG BK BKF BRN BSD EMN GDR GND HBZM HGL HGZ HRLW HWD KMA LG LP MTN MTR NSCH SBK SPTZ TPSW UHZ VL VLB VS VSS WK ZBM ZVT ZWD 
9,31,ALMB ALMO ALMP BDE DZ DZW EDN EGH EGHM EKZ ES ESK HGLO HNP LDM LLS MES OBD ODZ SGN SN SPTN TBG TG TL UHM UTG VDL VRY WR ZB 
10,15,AKL ANA CVM DRH DRON ESE KMR KMW KTR LEER NH RD SGL VDM VSV 
11,11,ATN BV EEM GBR GR HB HDRZ KRD OP SOG STV 
12,6,BHDV HDR HK HMN VK WW 
13,2,WWW ZA 
