hopcount,size,stations
1,2,AHP DVN 
2,3,AH AHPR ZV 
3,9,AHZ DID ED EST NM OTB UT VP WC 
4,23,ASA ASB DB DVD EDC GD GDG KLP MAS NMGO NMH NML O RH RVS UTLR UTM UTO UTZL WD WF WL ZA 
5,26,ASDZ ASHD BDG BKL BNK DR DTCH GV GVC HMN HOR HT LLZM LTN MMLH MRN NMD NWK OW RAI RTA RTD SHL UTT VB WADT 
6,26,AC APN BMN BNZ CK CPS DT DTC DTCP EHV GVMW HFD LAA OP RS RTB RTN SDM TB UTVR VG VNDW VTN WAD ZP ZTMO 
7,27,APD BD BMR BNC BSK BTL DV GDR GP HM HMBV HTO KTR LC LDL NVP RSW RTZ TBU UTLN VD VEM VNDC WADN WT YPB ZTM 
8,26,AML APDO BDPB BET BNN BSKS DVC ETN GO HMBH HMH HTN HZE KBK LEDN OST OT RHN RL RSD RTST TBG TBR TL TWL VLB 
9,21,AMRI APDM BGN DDN DVNK EHS GZ HON HTNC HVL LTV MZ ODB SSH TPSW VH VRY VSV VZ WH ZLW 
10,14,AMF ATN BR DA GDM GS HGLG HIL KRG RB RSN VST ZL ZVB 
11,30,AMFS ARN ASN BRN BSD BZL CL DL DLD GVM HGL HGV HNO HRT HVS KBD KPNZ MDB MP NKK NS RAT VHP VL WDN WV WW WZ ZBM ZLSH 
12,34,AKM ASD AVAT BHV BL BN DN DRON ES ESK GN HD HDE HGLO HR HRN HVSM HVSP KPN LDM LW MRB NDB NVD ODZ OMN PT SD STZ SWK TG VS VSS WWW 
13,23,AKL AMPO ASS BSMZ DEI EML ESE FN FWD GERP GNN GW HDB HDG HLM LWC MG RV SKND ST SWD WP ZH 
14,27,ALMM ASDL BDM BF BLL BP CO DMN DMNZ DRP DWE GBG GBR GK GR HAD HLG HN HWZB KW OVN PMR SDA SK SM WSM ZD 
15,21,ALM ASSP BHDV CAS DLN EMNZ HLGH HLMS HNK IJT KZ MTH PMO RM SPTZ STM UST WFM WS ZDK ZVT 
16,21,ALMB ALMO ALMP AMR APG ASDM EC EMN GND HGZ HKS HLO LLS LP NSCH PMW SPTN STD UHZ WK ZZS 
17,17,AMRN BKG DRH DZ DZW GLN HBZM HNP HRL LUT MT SDT SRN UHM WM WR ZB 
18,14,BK BKF HRLW HWD KMA KMW LEER LG MTN MTR RD SBK SDTB VDM 
19,14,BDE DDRS EDN EEM EGH EGHM EKZ MES OBD SGN SN STV UTG VDL 
20,7,ANA CVM DDR HK KMR NH SGL 
21,7,BV DDZD HB HDRZ KRD SOG ZWD 
22,3,BRD HDR VK 
23,1,RLB 
