hopcount,size,stations
1,2,HDE ZL 
2,14,ALMO APD ASN DL HGV HNO KPNZ LLS MP NS RAT WH WV ZLSH 
3,17,AKM ALM ALMB AMF APDM BL DRON GN HD HR HRN KPN LW NVD OMN OST SWK 
4,28,ALMM ALMP AML BRN DEI DLD DV EML FN FWD GERP GNN GW HDB HDG HVL HVS KBK LWC MG MRB NKK SKND SWD UT WD WDN ZH 
5,42,AMPO AMRI ASD AVAT BDG BDM BF BHV BNN BP CO DB DRP DVC DVD DWE GBG GD GDG GK HGL HLG HT HVSM HVSP KW MAS NDB PT RSN SD SDA SK STZ TWL UTLR UTM UTVR UTZL VHP WSM ZP 
6,54,AMFS APDO APN ASA ASB ASDZ ASS BKL BMN BN BNC BNK BSMZ DA DLN DR EHV EMNZ ES ESK GV GVC HGLG HGLO HLGH HLM HON HOR HTO IJT LC LLZM MRN MTH NWK ODZ RAI RTA RTD ST STM TB UST UTLN UTO UTT VB VD VEM VG WADT WFM WP WS 
7,50,AC AH APG ASDL ASHD BD BLL BNZ BSK BTL CPS DDN DMN DMNZ DT DTCP EMN ESE GP GVMW HAD HGZ HM HMBV HN HTN HWZB LAA LDL LP NSCH OVN PMR RH RL RS RTB RTN SDM SHL TBU UHZ VNDW VTN VZ WAD WK WT ZD ZTMO 
8,45,AHZ ASSP BDPB BET BSKS CAS DN DZ DZW EST ETN GBR GO HFD HIL HLMS HMBH HMH HNK HNP HTNC HZE KZ LEDN LTN LTV NM OT OTB PMO RSW RTZ SPTZ TBR UHM VNDC VP WADN WC WR YPB ZB ZDK ZTM ZVT 
9,31,AHPR AMR ASDM CL DVNK EDC EHS GZ HKS HLO KMW LEER MZ NMGO NMH NML NVP O PMW RD RHN RLB RTST RVS SPTN VDM VH WF WWW ZA ZZS 
10,17,AHP AMRN BKG BRD DRH ED EEM GDM HMN MMLH NMD OW SSH STV VST WM WW 
11,13,ATN BKF BSD CK GVM HWD KLP KMA OP TPSW WTV ZBM ZWD 
12,10,BMR DVN EKZ KTR LDM OBD SGN TL UTG VSV 
13,5,AKL ANA HK VLB ZV 
14,5,BV DID GR HDRZ VRY 
15,4,BHDV BR HDR WL 
16,4,DTCH GND HRT VL 
17,4,DTC HBZM SDT TG 
18,3,GDR RV SDTB 
19,3,DDRS SM TBG 
20,2,DDR RM 
21,5,DDZD EC RSD STD ZLW 
22,7,BGN GLN HRL LUT MT SRN ZVB 
23,10,BK GS HRLW KRG LG MTN MTR ODB RB SBK 
24,11,ARN BDE BZL EDN EGH EGHM KBD MDB MES SN VDL 
25,6,CVM KMR NH SGL VS VSS 
26,3,HB KRD SOG 
27,1,VK 
