hopcount,size,stations
1,2,GDM HT 
2,8,BSD CL EHV HTO O TB TPSW VG 
3,13,BD BTL GP HM HMBV HTNC LDM NM RS RVS TBU TL WT 
4,18,AKL BDPB BET DN ETN HMBH HMH HTN HZE KTR NMH NML OT OW RM RSD TBR WC 
5,15,BGN EC EHS GR GZ HRT MMLH MZ NMD ODB OP SM STD UTLN ZLW 
6,16,BHDV BR CK GLN GS HMN HRL KRG LUT MT NMGO RB RV SRN UTVR ZVB 
7,16,ARN BK BMR BNK BZL GND HRLW KBD LG MDB MTN MTR SBK UT VL ZA 
8,28,AMF ASA ASB ASD BDE DB DVD EDN EGH EGHM EST GD GDG HBZM MAS MES SDT SN TG UTLR UTM UTO UTZL VDL VLB VS VSS WD 
9,38,AH AHZ AMFS APD ASDM ASDZ ASHD ASS BDG BHV BKL CVM DMNZ ED GV GVC HLM HOR HVL HVSP KLP KMR LLZM MRN NH NKK NS NWK RAI RTA SDTB SGL SHL UTT VB VRY WADT ZL 
10,46,AC AHP APDM APDO APN ASDL ASN ASSP AVAT BLL BNN CPS DDRS DL DLD DR EDC GVMW HAD HB HD HDE HFD HGV HN HNO HVS HWZB KPNZ KRD LAA MP OTB OVN PMR PT RAT SOG VNDW VTN WAD WV ZD ZLSH ZTMO ZV 
11,41,AHPR AKM BL BMN BNC BSK CAS DDR DID DMN EML GN HLMS HNK HR HRN HVSM KPN KZ LDL LTN LW NDB NVP OMN PMO SPTZ STZ SWK TWL VK VNDC WADN WF WTV WZ YPB ZDK ZP ZTM ZVT 
12,39,AMPO AMR BNZ BSKS BSMZ DDZD DEI DV DVN FN FWD GERP GNN GW HDB HDG HKS HLO LC LEDN LWC MG MRB PMW RHN RTB RTD SKND SPTN ST SWD VD VEM VP WL WP ZH ZWD ZZS 
13,36,ALMM AML AMRN BDM BF BKG BP BRD CO DRH DRP DT DTCH DTCP DVC DVNK DWE GBG GK GO HLG KBK KW OST RH RL RTN SD SDA SDM SK SSH VH VHP WM WSM 
14,25,ALM AMRI BKF BRN DDN DLN DTC EMNZ HIL HLGH HON HWD IJT KMA LTV MTH RLB RSW STM UST VST VZ WFM WH WS 
15,22,ALMB ALMO ALMP APG DA EKZ EMN GDR GVM HGLG HGZ LLS LP NSCH OBD RSN RTST RTZ SGN UHZ UTG WK 
16,12,ANA DRON DZ DZW HGL HK HNP TBG UHM WDN WR ZB 
17,13,BN BV ES ESK HDRZ HGLO KMW LEER NVD ODZ RD VDM VSV 
18,5,ATN EEM ESE HDR STV 
19,2,GBR WW 
20,1,WWW 
