hopcount,size,stations
1,18,ALMO AMF AMFS APD ASN DL HD HGV HNO KPNZ LLS MP NS RAT WH WV WZ ZLSH 
2,24,AKM ALM ALMB APDM BL BRN DLD DRON EML GN HDE HR HRN HVL HVS KPN LW NKK NVD OMN OST SWK UT WD 
3,42,ALMM ALMP AML ASD ASDZ AVAT BDG BHV BNN DB DEI DV DVD FN FWD GD GDG GERP GNN GW HDB HDG HT HVSM HVSP KBK LWC MAS MG MRB NDB PT SD SKND STZ SWD UTLR UTM UTVR UTZL WDN ZH 
4,51,AMPO AMRI APN ASA ASB ASS BDM BF BKL BNC BNK BP BSMZ CO DRP DVC DWE EHV GBG GK GV GVC HGL HLG HLM HOR HTO KW LLZM MRN NWK RAI RSN RTA RTD SDA SHL SK ST TB TWL UTLN UTO UTT VB VG VHP WADT WP WSM ZP 
5,59,AC APDO ASDL ASHD BD BLL BMN BN BNZ BSK BTL CPS DA DLN DMN DMNZ DR DT DTCP EMNZ ES ESK GP GVMW HAD HFD HGLG HGLO HLGH HM HMBV HN HON HTN HWZB IJT LAA LC LDL MTH ODZ OVN PMR RTB RTN SDM STM TBU UST VD VEM VNDW VTN WAD WFM WS WT ZD ZTMO 
6,42,AH APG ASSP BDPB BET BSKS CAS DDN EMN ESE ETN HGZ HIL HLMS HMBH HMH HNK HTNC HZE KZ LEDN LP LTN NSCH NVP OT PMO RH RL RSW RTZ SPTZ TBR UHZ VNDC VZ WADN WK YPB ZDK ZTM ZVT 
7,33,AHZ AMR ASDM CL DVNK DZ DZW ED EHS EST GBR GO GZ HKS HLO HNP LTV MZ NM OTB PMW RHN RLB RTST SPTN SSH UHM VH VP WC WR ZB ZZS 
8,22,AHPR AMRN BKG BRD DRH EDC GDM KLP KMW LEER NMGO NMH NML O RD RVS VDM VST WF WM WWW ZA 
9,15,AHP BKF BSD EEM GVM HMN HWD KMA MMLH NMD OW STV WW ZBM ZWD 
10,10,ATN CK EKZ LDM OBD OP RS SGN UTG WTV 
11,7,AKL ANA BMR DVN HK KTR VSV 
12,6,BV GR HDRZ TL VLB ZV 
13,5,BHDV DID HDR TPSW VRY 
14,3,BR GND WL 
15,5,DTCH HBZM HRT SDT VL 
16,4,DN DTC SDTB TG 
17,3,DDRS GDR RV 
18,3,DDR SM TBG 
19,4,DDZD RM RSD ZLW 
20,4,BGN EC STD ZVB 
21,9,GLN GS HRL KRG LUT MT ODB RB SRN 
22,10,ARN BK BZL HRLW KBD LG MDB MTN MTR SBK 
23,9,BDE EDN EGH EGHM MES SN VDL VS VSS 
24,4,CVM KMR NH SGL 
25,3,HB KRD SOG 
26,1,VK 
