hopcount,size,stations
1,7,APD BMN DR DV LC VD VEM 
2,11,AH AMF AML APDO DVC GO KBK OST RH RL TWL 
3,22,AHZ AMFS AMRI APDM BRN DDN DLD ED EST HON HVL HVS LTV NKK NM OTB UT VP VZ WC WD WH 
4,34,AHPR ASD AVAT BDG BHV DA DB DVD EDC GD GDG HGLG HVSM HVSP KLP MAS NDB NMGO NMH NML O PT RSN RVS SD STZ UTLR UTM UTVR UTZL WF WWW ZA ZL 
5,51,AHP AMPO APN ASA ASB ASDZ ASN ASS BKL BNK BSMZ DL EML GV GVC HD HGL HGV HLM HMN HNO HOR HT KPNZ LLS LLZM LTN MMLH MP MRN NMD NS NWK OW RAI RAT RTA RTD ST UTLN UTO UTT VB VHP WADT WDN WP WV WW WZ ZLSH 
6,56,AC AKM ALMM ASDL ASHD ATN BL BLL BN BNZ BSK CK CPS DMN DMNZ DRON DT DTCP EHV ES ESK GN GVMW HAD HDE HGLO HN HR HRN HTN HWZB KPN LAA LDL LW MRB NVD ODZ OMN OP OVN PMR RS RTB RTN SDM SHL SWK TB VG VNDW VTN WAD WTV ZD ZTMO 
7,48,ALM ASSP BD BMR BNC BSKS BTL CAS DEI DVN ESE FN FWD GERP GNN GP GW HDB HDG HFD HIL HLMS HM HMBV HNK HTNC HTO KTR KZ LEDN LWC MG PMO RSW RTZ SKND SPTZ SWD TBU VNDC VSV WADN WT YPB ZDK ZH ZTM ZVT 
8,43,ALMB ALMO ALMP AMR ASDM BDM BDPB BET BF BNN BP CO DRP DVNK DWE ETN GBG GBR GK HKS HLG HLO HMBH HMH HZE KW NVP OT PMW RHN RLB RSD RTST SDA SK SPTN TBR TL VH VLB WSM ZV ZZS 
9,24,AMRN BGN BKG DID DLN DRH EHS EMNZ GZ HLGH IJT MTH MZ ODB SSH STM TPSW UST VRY VST WFM WM WS ZLW 
10,18,APG BKF BR EMN GDM GS GVM HGZ HWD KMA KRG LP NSCH RB UHZ WK WL ZVB 
11,20,ARN BSD BZL CL DTCH DZ DZW EKZ HNP HRT KBD MDB OBD SGN UHM UTG VL WR ZB ZBM 
12,12,ANA DN DTC HK KMW LDM LEER RD TG VDM VS VSS 
13,7,AKL BV EEM GDR HDRZ RV STV 
14,4,GR HDR SM TBG 
15,2,BHDV RM 
16,3,EC GND STD 
17,7,GLN HBZM HRL LUT MT SDT SRN 
18,7,BK HRLW LG MTN MTR SBK SDTB 
19,8,BDE DDRS EDN EGH EGHM MES SN VDL 
20,5,CVM DDR KMR NH SGL 
21,5,DDZD HB KRD SOG ZWD 
22,2,BRD VK 
