hopcount,size,stations
1,2,ODB ZLW 
2,4,BDPB DDR DDZD RSD 
3,7,BD BGN DDRS ETN RTB RTD ZWD 
4,15,BRD DT DTCP EHV GD GS GZ KRG RB RTA RTN SDM SDTB SHL TB 
5,24,ARN ASB ASD ASDL ASDZ ASS BZL CPS GDG GP GV HM HMBV HT KBD LLZM MDB OT RLB RSW SDT TBR WADT WT 
6,29,ASHD BTL DN DVD GND GVC GVMW HBZM HMBH HMH HN HTO HZE LAA LEDN NWK O PMR RAI RM RTST RTZ TBU VS VSS WAD WD ZBM ZD 
7,28,ASA BET BHDV BKL DMNZ EC GVM HAD HFD HNK HRT KZ LDL MZ NM PMO RS RVS SM SSH STD VB VG VH VTN WADN ZDK ZTM 
8,28,AC AH ASDM BR BSKS EHS EST GLN GR HIL HKS HLM HRL LUT MT NMH NML NVP OW PMW RV SRN UTT VST WC YPB ZTMO ZZS 
9,23,AHP AHZ AKL ASSP BK BKG BLL BSK DR DVNK HLMS HRLW LG MMLH MTN MTR NMD OTB OVN SBK UTLR VL ZV 
10,23,AHPR APN BDE BKF BMN CK DID DMN EDN EGH EGHM HWZB LDM MES NMGO SN SPTZ TG VDL WF WTV ZP ZVT 
11,16,BDG BMR BSD CVM DV DVN EKZ KMR LC NH SGL SPTN VD VEM VP WL 
12,14,AML DRH DTCH DVC GDM GO HB KBK KRD OST RH RL SOG VLB 
13,12,AMRI BV CL DDN DTC HON LTV TPSW VK VRY VZ WH 
14,7,DA GDR HGLG HK HTNC RSN TL 
15,7,HGL HTN KTR TBG UTG VHP WDN 
16,11,BN CAS ES ESK HGLO KMA NVD ODZ OP UTLN VSV 
17,7,AMR ATN ESE HLO HMN UTVR WM 
18,6,AMRN BNK GBR UT WW ZA 
19,8,AMF DB HWD MAS UTM UTO UTZL WWW 
20,14,AMFS APD BHV ED HOR HVL HVSP KLP MRN NKK NS OBD SGN ZL 
21,21,ANA APDM APDO ASN AVAT BNN DL DLD EDC HD HDE HGV HNO HVS KPNZ MP PT RAT VNDW WV ZLSH 
22,19,AKM BL BNC EML GN HDRZ HR HRN HVSM KPN LTN LW NDB OMN STZ SWK TWL VNDC WZ 
23,21,AMPO BNZ BSMZ DEI FN FWD GERP GNN GW HDB HDG HDR LWC MG MRB RHN SKND ST SWD WP ZH 
24,15,ALMM BDM BF BP CO DRP DWE GBG GK HLG KW SD SDA SK WSM 
25,11,ALM BRN DLN EMNZ HLGH IJT MTH STM UST WFM WS 
26,11,ALMB ALMO ALMP APG EMN HGZ LLS LP NSCH UHZ WK 
27,7,DRON DZ DZW HNP UHM WR ZB 
28,4,KMW LEER RD VDM 
29,2,EEM STV 
