hopcount,size,stations
1,1,OVN 
2,1,HLM 
3,5,ASD ASS BLL HAD HLMS 
4,16,ALM ASA ASB ASDL ASDM ASDZ HIL HN HVS HWZB LEDN PMR SHL SPTZ UT ZD 
5,32,AC ALMB ALMO ALMP AMF ASHD ASSP BRN DB DVD DVNK GV GVC HFD HNK HT HVSP KLP KZ LAA LDL LLS MAS PMO SPTN SSH UTLR UTM UTO UTVR VH ZDK 
6,38,AMFS APD APN BHV BKL BNK DMN DMNZ DRH DRON DT DV EHV GVMW HGV HKS HOR HTO HVL MRN NKK NS NVP O PMW RAI SD TB UTLN UTT UTZL VB VG VST WV ZL ZTM ZZS 
7,45,AML APDM APDO ASN AVAT BDG BKG BL BNN BSK BTL BV DL DTCP DVC GP GVM HD HDE HM HMBV HNO HR HTN KPNZ LW MP OST PT RAT RS RSW RTD RVS SDM ST TBU VNDW VTN WP WT YPB ZLSH ZP ZTMO 
8,52,AKM AMPO AMRI BD BET BKF BMN BNC BSKS DDR DEI DN EML FN FWD GN GW HDG HK HMBH HMH HON HRN HTNC HZE KBK KPN LC LLZM LWC MG NDB NVD OMN OT OW RM RSD RTB RTN SKND STZ SWK TBR TWL VD VNDC VZ WC WD WH WZ 
9,39,ALMM BGN BN BNZ BP BSMZ CL DA DDRS DDZD DLD DRP DWE EC EHS EKZ ETN GERP GNN GO GZ HDB HLG HRT MRB MZ RHN RL RSN RTZ SK SM STD SWD UTG VEM WADN ZH ZLW 
10,35,BDM BDPB BF BR CAS CO DDN GBG GDM GK GLN GS HLGH HRL HVSM IJT KMA KRG KW LTN LTV LUT MT RB RLB RTST RV SDA SDTB SRN VHP WAD WDN WSM ZVB 
11,32,AMR ARN BK BRD BSD BZL DLN EDC EMNZ HGLG HLO HRLW KBD LG MDB MTH MTN MTR ODB SBK SDT STM TPSW UST VL WADT WFM WK WM WS WWW ZBM 
12,27,AMRN APG BDE ED EDN EGH EGHM EMN GD GND HBZM HGL HGZ HNP LDM LP MES NSCH SN TG TL UHZ VDL VS VSS WW ZWD 
13,23,AH AKL BHDV CVM DZ DZW ES ESK GDG HGLO HWD KMR KMW KTR NH NWK ODZ RTA SGL UHM WF WR ZB 
14,20,AHP AHZ CPS DR ESE EST GR HB KRD LEER NM OBD OP OTB RD SGN SOG STV VDM ZV 
15,11,AHPR ANA DID EEM GBR HMN NMGO NMH NML VK WTV 
16,7,DVN HDRZ MMLH NMD VP WL ZA 
17,4,CK DTCH HDR RH 
18,2,BMR DTC 
19,2,GDR VLB 
20,2,TBG VRY 
21,1,VSV 
22,1,ATN 
