Station Code,Distance from AHPR,Services from/to AHPR,Disruptions on path to AHPR
AC,85,0.0,363
AH,3,32.645161290322584,0
AHP,2,32.645161290322584,0
AHPR,0,0.0,0
AHZ,11,31.774193548387096,257
AKL,80,0.0,318
AKM,150,0.0,146
ALM,101,0.0,550
ALMB,107,0.0,681
ALMM,100,0.0,549
ALMO,109,0.0,681
ALMP,103,0.0,681
AMF,54,0.0,297
AMFS,57,0.0,537
AML,81,0.0,72
AMPO,98,0.0,549
AMR,138,0.0,836
AMRI,83,0.0,142
AMRN,139,0.0,911
ANA,168,0.0,922
APD,44,0.0,6
APDM,43,0.0,7
APDO,47,0.0,41
APG,213,0.0,176
APN,96,0.0,340
ARN,197,0.0,713
ASA,94,0.0,330
ASB,90,0.0,330
ASD,99,0.0,551
ASDL,106,0.0,809
ASDM,95,0.0,537
ASDZ,96,0.0,344
ASHD,89,0.0,490
ASN,151,0.0,96
ASS,103,0.0,809
ASSP,94,0.0,556
ATN,53,0.0,42
AVAT,60,0.0,543
BD,108,0.032258064516129,385
BDE,147,0.0,458
BDG,88,0.0,331
BDM,194,0.0,165
BDPB,113,0.0,708
BET,87,0.0,372
BF,198,0.0,165
BGN,145,0.0,713
BHDV,91,0.0,338
BHV,66,0.0,541
BK,140,0.0,459
BKF,157,0.0,894
BKG,156,0.0,890
BKL,73,0.0,330
BL,135,0.0,96
BLL,121,0.0,846
BMN,19,32.516129032258064,6
BMR,47,0.0,292
BN,76,0.0,73
BNC,35,0.0,280
BNK,53,0.0,311
BNN,38,0.0,296
BNZ,33,0.0,280
BP,192,0.0,113
BR,82,0.0,321
BRD,117,0.0,466
BRN,63,0.0,537
BSD,66,0.0,317
BSK,102,0.0,421
BSKS,103,0.0,444
BSMZ,75,0.0,538
BTL,77,0.0,372
BV,128,0.0,830
BZL,177,0.0,744
CAS,126,0.0,833
CK,37,0.0,289
CL,67,0.0,317
CO,121,0.0,159
CPS,106,0.0,415
CVM,157,0.0,476
DA,92,0.0,142
DB,49,0.0,279
DDN,66,0.0,21
DDR,108,0.0,349
DDRS,105,0.0,349
DDZD,109,0.0,466
DEI,172,0.0,113
DID,20,0.0,5
DL,85,0.0,96
DLD,63,0.0,537
DLN,125,0.0,173
DMN,92,0.0,555
DMNZ,92,0.0,538
DN,110,0.0,373
DR,13,32.516129032258064,3
DRH,126,0.0,847
DRON,105,0.0,96
DRP,179,0.0,127
DT,130,0.0,430
DTC,31,0.0,25
DTCH,29,0.0,25
DTCP,130,0.0,485
DV,42,0.0,6
DVC,46,0.0,72
DVD,92,0.0,330
DVN,10,0.0,2
DVNK,114,0.0,438
DWE,185,0.0,113
DZ,217,0.0,194
DZW,216,0.0,194
EC,120,0.0,456
ED,20,0.0,257
EDC,22,0.0,279
EDN,162,0.0,460
EEM,224,0.0,193
EGH,156,0.0,475
EGHM,157,0.0,475
EHS,96,0.0,448
EHV,97,0.0,372
EKZ,160,0.0,902
EML,77,0.0,537
EMN,141,0.0,174
EMNZ,137,0.0,173
ES,79,0.0,73
ESK,75,0.0,73
EST,14,31.774193548387096,257
ETN,119,0.032258064516129,708
FN,185,0.0,113
FWD,182,0.0,113
GBG,114,0.0,159
GD,93,0.0,330
GDG,90,0.0,330
GDM,59,0.0,274
GDR,36,0.0,42
GERP,177,0.0,149
GK,198,0.0,164
GLN,136,0.0,458
GN,179,0.0,149
GND,94,0.0,338
GNN,183,0.0,164
GO,56,0.0,13
GP,103,0.0,434
GR,85,0.0,336
GS,182,0.0,713
GV,122,0.0,415
GVC,121,0.0,333
GVM,122,0.0,523
GVMW,123,0.0,430
GW,155,0.0,153
GZ,98,0.0,387
HAD,122,0.0,830
HB,147,0.0,489
HBZM,97,0.0,348
HD,81,0.0,540
HDB,108,0.0,146
HDE,91,0.0,96
HDG,178,0.0,113
HDR,180,0.0,931
HDRZ,179,0.0,931
HFD,112,0.0,418
HGL,71,0.0,54
HGLG,69,0.0,54
HGLO,73,0.0,73
HGV,121,0.0,96
HGZ,190,0.0,172
HIL,129,0.0,438
HK,125,0.0,869
HKS,152,0.0,886
HLG,194,0.0,114
HLGH,195,0.0,118
HLM,118,0.0,809
HLMS,117,0.0,830
HLO,133,0.0,836
HM,110,0.0,415
HMBH,111,0.0,419
HMBV,107,0.0,434
HMH,109,0.0,434
HMN,28,0.0,271
HN,142,0.0,830
HNK,143,0.0,886
HNO,85,0.0,96
HNP,210,0.0,116
HON,61,0.0,6
HOR,73,0.0,330
HR,139,0.0,153
HRL,151,0.0,458
HRLW,153,0.0,475
HRN,173,0.0,149
HRT,92,0.0,373
HT,65,0.032258064516129,299
HTN,67,0.0,355
HTNC,68,0.0,383
HTO,64,0.0,299
HVL,48,0.0,297
HVS,70,0.0,537
HVSM,71,0.0,538
HVSP,71,0.0,538
HWD,145,0.0,912
HWZB,110,0.0,830
HZE,108,0.0,440
IJT,193,0.0,114
KBD,164,0.0,713
KBK,35,0.0,6
KLP,27,0.0,279
KMA,117,0.0,843
KMR,159,0.0,475
KMW,215,0.0,121
KPN,88,0.0,96
KPNZ,88,0.0,96
KRD,159,0.0,486
KRG,171,0.0,713
KTR,35,0.0,271
KW,187,0.0,170
KZ,111,0.0,833
LAA,122,0.0,362
LC,43,0.0,6
LDL,110,0.0,421
LDM,73,0.0,318
LEDN,111,0.0,428
LG,154,0.0,475
LLS,125,0.0,681
LLZM,106,0.0,415
LP,205,0.0,176
LTN,28,0.0,280
LTV,61,0.0,8
LUT,136,0.0,458
LW,168,0.0,96
LWC,171,0.0,113
MAS,68,0.0,330
MDB,201,0.0,740
MES,159,0.0,460
MG,178,0.0,113
MMLH,32,0.0,278
MP,101,0.0,96
MRB,100,0.0,143
MRN,57,0.0,311
MT,153,0.0,458
MTH,188,0.0,172
MTN,156,0.0,460
MTR,154,0.0,460
MZ,118,0.0,445
NDB,76,0.0,538
NH,144,0.0,489
NKK,65,0.0,537
NM,22,31.806451612903224,257
NMD,27,24.70967741935484,278
NMGO,25,24.70967741935484,278
NMH,25,0.0,278
NML,21,31.774193548387096,271
NS,93,0.0,537
NSCH,223,0.0,179
NVD,84,0.0,13
NVP,117,0.0,546
NWK,102,0.0,415
O,46,0.032258064516129,278
OBD,151,0.0,830
ODB,139,0.0,713
ODZ,82,0.0,73
OMN,96,0.0,103
OP,31,0.0,271
OST,52,0.0,72
OT,86,0.0,415
OTB,7,0.0,257
OVN,120,0.0,846
OW,47,0.0,299
PMO,124,0.0,809
PMR,123,0.0,830
PMW,122,0.0,833
PT,72,0.0,537
RAI,95,0.0,333
RAT,91,0.0,96
RB,161,0.0,744
RD,217,0.0,180
RH,7,32.516129032258064,0
RHN,80,0.0,314
RL,48,0.0,8
RLB,121,0.0,565
RM,107,0.0,407
RS,58,0.0,299
RSD,132,0.032258064516129,708
RSN,68,0.0,6
RSW,125,0.0,430
RTA,107,0.0,415
RTB,118,0.0,485
RTD,117,0.0,415
RTN,112,0.0,417
RTST,122,0.0,485
RTZ,121,0.0,485
RV,96,0.0,393
RVS,38,0.0,257
SBK,139,0.0,488
SD,67,0.0,551
SDA,206,0.0,170
SDM,121,0.0,485
SDT,98,0.0,348
SDTB,101,0.0,349
SGL,163,0.0,474
SGN,159,0.0,922
SHL,107,0.0,344
SK,190,0.0,113
SKND,189,0.0,113
SM,102,0.0,407
SN,141,0.0,489
SOG,161,0.0,475
SPTN,125,0.0,846
SPTZ,123,0.0,846
SRN,125,0.0,485
SSH,119,0.0,438
ST,68,0.0,551
STD,132,0.0,456
STM,201,0.0,176
STV,219,0.0,121
STZ,69,0.0,541
SWD,190,0.0,164
SWK,115,0.0,146
TB,87,0.032258064516129,372
TBG,37,0.0,42
TBR,92,0.0,385
TBU,88,0.0,385
TG,89,0.0,374
TL,47,0.0,274
TPSW,49,0.0,274
TWL,47,0.0,72
UHM,214,0.0,180
UHZ,211,0.0,180
UST,206,0.0,179
UT,61,0.0,257
UTG,122,0.0,868
UTLN,63,0.0,355
UTLR,64,0.0,330
UTO,64,0.0,330
UTT,66,0.0,330
UTVR,60,0.0,355
UTZL,63,0.0,330
VB,118,0.0,415
VD,38,0.0,6
VDL,155,0.0,475
VDM,206,0.0,177
VEM,30,0.0,6
VG,69,0.0,372
VH,119,0.0,438
VHP,94,0.0,143
VK,164,0.0,475
VL,84,0.0,373
VLB,54,0.0,320
VNDC,72,0.0,313
