Station Code,Distance from AKL,Services from/to AKL,Disruptions on path to AKL
AC,71,0.0,150
AH,77,0.0,61
AHP,78,0.0,318
AHPR,80,0.0,318
AHZ,69,0.0,61
AKL,0,0.0,0
AKM,211,0.0,421
ALM,96,0.0,130
ALMB,102,0.0,261
ALMM,95,0.0,129
ALMO,104,0.0,261
ALMP,98,0.0,261
AMF,68,0.0,117
AMFS,71,0.0,357
AML,161,0.0,387
AMPO,93,0.0,129
AMR,125,0.0,402
AMRI,163,0.0,457
AMRN,126,0.0,477
ANA,155,0.0,488
APD,111,0.0,357
APDM,112,0.0,392
APDO,114,0.0,392
APG,274,0.0,451
APN,82,0.0,127
ARN,131,0.0,135
ASA,80,0.0,117
ASB,76,0.0,44
ASD,86,0.0,117
ASDL,93,0.0,375
ASDM,82,0.0,154
ASDZ,82,0.0,58
ASHD,75,0.0,277
ASN,212,0.0,371
ASS,90,0.0,375
ASSP,83,0.0,168
ATN,129,0.0,355
AVAT,74,0.0,363
BD,58,0.0,130
BDE,167,0.0,211
BDG,74,0.0,118
BDM,255,0.0,440
BDPB,53,0.0,135
BET,65,0.0,117
BF,259,0.0,440
BGN,79,0.0,134
BHDV,11,32.12903225806452,2
BHV,56,0.0,117
BK,160,0.0,212
BKF,144,0.0,460
BKG,143,0.0,456
BKL,59,0.0,117
BL,196,0.0,371
BLL,108,0.0,412
BMN,99,0.0,321
BMR,99,0.0,96
BN,156,0.0,388
BNC,87,0.0,358
BNK,53,0.0,125
BNN,84,0.0,357
BNZ,89,0.0,374
BP,253,0.0,374
BR,125,0.0,192
BRD,37,0.0,130
BRN,71,0.0,141
BSD,14,32.225806451612904,0
BSK,84,0.0,285
BSKS,83,0.0,285
BSMZ,70,0.0,118
BTL,55,0.0,117
BV,115,0.0,396
BZL,111,0.0,165
CAS,113,0.0,399
CK,89,0.0,93
CL,29,0.0,44
CO,189,0.0,391
CPS,59,0.0,202
CVM,177,0.0,229
DA,172,0.0,457
DB,57,0.0,169
DDN,146,0.0,336
DDR,28,32.193548387096776,13
DDRS,25,32.12903225806452,13
DDZD,29,0.0,130
DEI,233,0.0,374
DID,96,0.0,318
DL,146,0.0,371
DLD,59,0.0,137
DLN,193,0.0,405
DMN,85,0.0,168
DMNZ,80,0.0,120
DN,97,0.0,164
DR,93,0.0,318
DRH,113,0.0,413
DRON,145,0.0,275
DRP,240,0.0,388
DT,62,0.0,130
DTC,107,0.0,338
DTCH,105,0.0,338
DTCP,61,0.0,200
