station,distance,services_per_day,n_of_disruptions
AC,188,0,413
AH,153,0,143
AHP,152,0,147
AHPR,150,0,146
AHZ,161,0,400
AKL,211,0,502
ALM,158,2.4838709677419355,21
ALMB,152,0,21
ALMM,159,0,152
ALMO,150,0,64
ALMP,156,0,26
AMF,143,0,64
AMFS,140,0,64
AML,122,0,76
AMPO,161,0,153
AMR,227,0,437
AMRI,124,0,146
AMRN,228,0,512
ANA,257,0,523
APD,123,0,64
APDM,124,0,99
APDO,120,0,140
APG,106,0,69
APN,199,0,314
ARN,342,0,688
ASA,185,0,155
ASB,185,0,155
ASD,188,0.16129032258064516,152
ASDL,195,0,431
ASDM,184,0,323
ASDZ,187,2.3225806451612905,152
ASHD,186,0,169
ASN,99,0,50
ASS,192,0,410
ASSP,183,0,323
ATN,181,0,154
AVAT,137,0,70
BD,255,0,463
BDE,297,0,602
BDG,191,0,305
BDM,87,0,58
BDPB,260,0,786
BET,234,0,493
BF,91,0,58
BGN,290,0,657
BHDV,222,0,522
BHV,155,0,308
BK,290,0,602
BKF,246,0,495
BKG,245,0,491
BKL,176,0,380
BL,83,0,55
BLL,210,0,447
BMN,131,0,140
BMR,197,0,435
BN,131,0,146
BNC,162,0,305
BNK,172,0,377
BNN,159,0,304
BNZ,164,0,321
BP,42,0,19
BR,232,0,464
BRD,231,0,547
BRN,152,0,304
BSD,197,0,501
BSK,205,0,395
BSKS,206,0,418
BSMZ,164,0,305
BTL,224,0,450
BV,217,0,470
BZL,322,0,688
CAS,215,0,434
CK,187,0,432
CL,182,0,405
CO,132,0,84
CPS,209,0,462
CVM,307,0,619
DA,119,0,74
DB,176,0,377
DDN,141,0,165
DDR,239,0,535
DDRS,236,0,533
DDZD,240,0,652
DEI,22,0,19
DID,170,0,152
DL,89,0,64
DLD,152,0,304
DLN,136,0,98
DMN,181,0,322
DMNZ,181,0,322
DN,260,0,516
DR,137,0,140
DRH,215,0,466
DRON,109,0,64
DRP,29,0,33
DT,233,0,477
DTC,181,0,172
DTCH,179,0,172
DTCP,233,0,532
DV,108,0,74
DVC,112,0,140
DVD,183,0,152
DVN,160,0,149
DVNK,217,0,412
DWE,35,0,19
DZ,110,0,87
DZW,109,0,87
EC,270,0,599
ED,170,0,400
EDC,172,0,422
EDN,312,0,603
EEM,117,0,86
EGH,306,0,618
EGHM,307,0,618
EHS,243,0,569
EHV,244,0,450
EKZ,249,0,503
EML,120,0,67
EMN,152,0,99
EMNZ,148,0,98
ES,144,0,165
ESE,150,0,194
ESK,140,0,165
EST,164,0,400
ETN,266,0,786
FN,35,0,19
FWD,32,0,19
GBG,125,0,84
GBR,153,0,194
GD,196,0,377
GDG,193,0,377
GDM,190,0,458
GDR,186,0,189
GERP,74,0,57
GK,53,0,42
GLN,286,0,601
GN,72,0,42
GND,225,0,522
GNN,76,0,57
GO,151,0,198
GP,250,0,512
GR,216,0,520
GS,327,0,688
GV,225,0,462
