Station Code,Distance from ALM,Services from/to ALM,Disruptions on path to ALM
AC,32,0.0,17
AH,98,0.0,293
AHP,99,0.0,550
AHPR,101,0.0,552
AHZ,106,0.0,550
AKL,96,0.0,211
AKM,158,0.9032258064516128,21
ALM,0,0.0,0
ALMB,6,68.87096774193549,0
ALMM,1,105.12903225806453,0
ALMO,8,62.12903225806452,0
ALMP,2,62.064516129032256,0
AMF,47,0.0,13
AMFS,50,0.0,253
AML,126,0.032258064516129,37
AMPO,3,105.12903225806453,1
AMR,69,0.0,285
AMRI,128,0.0,107
AMRN,70,0.0,360
ANA,99,0.0,371
APD,90,0.0,253
APDM,91,0.0,288
APDO,93,0.0,288
APG,221,0.0,105
APN,84,0.0,141
ARN,227,0.0,397
ASA,27,0.0,3
ASB,27,0.0,3
ASD,30,74.6774193548387,0
ASDL,37,34.903225806451616,279
ASDM,26,38.41935483870968,8
ASDZ,29,77.90322580645162,0
ASHD,28,0.0,17
ASN,159,18.774193548387096,25
ASS,34,34.903225806451616,258
ASSP,25,38.41935483870968,8
ATN,150,0.0,587
AVAT,53,0.0,259
BD,140,0.0,172
BDE,221,0.0,273
BDG,76,0.0,87
BDM,202,0.0,94
BDPB,145,0.0,495
BET,119,0.0,202
BF,206,0.0,94
BGN,175,0.0,366
BHDV,107,0.0,231
BHV,52,0.0,13
BK,214,0.0,273
BKF,88,0.0,343
BKG,87,0.0,339
BKL,54,0.0,20
BL,143,1.2903225806451613,19
BLL,52,0.0,295
BMN,115,0.0,288
BMR,142,0.0,585
BN,135,0.0,107
BNC,66,0.0,254
BNK,57,0.0,86
BNN,63,0.0,253
BNZ,68,0.0,270
BP,200,0.0,31
BR,177,0.0,614
BRD,116,0.0,256
BRN,38,0.0,13
BSD,82,0.0,210
BSK,90,0.0,222
BSKS,91,0.0,245
BSMZ,26,0.0,12
BTL,109,0.0,159
BV,59,0.0,318
BZL,207,0.0,397
CAS,57,0.0,282
CK,132,0.0,582
CL,67,0.0,114
CO,136,0.0,45
CPS,94,0.0,171
CVM,231,0.0,290
DA,123,0.0,35
DB,61,0.0,86
DDN,145,0.0,126
DDR,124,6.806451612903226,244
DDRS,121,0.0,242
DDZD,125,0.0,361
DEI,180,0.0,31
DID,117,0.0,550
DL,93,0.0,25
DLD,50,0.0,27
DLN,140,0.0,59
DMN,23,38.41935483870968,7
DMNZ,23,36.2258064516129,7
DN,151,0.0,225
DR,114,0.0,550
DRH,57,0.0,314
DRON,49,37.16129032258065,14
DRP,187,0.0,45
DT,93,7.225806451612903,149
DTC,128,0.0,570
DTCH,126,0.0,570
DTCP,94,0.0,250
DV,105,0.032258064516129,253
DVC,109,0.0,319
DVD,25,43.483870967741936,0
DVN,107,0.0,552
DVNK,72,21.70967741935484,134
DWE,193,0.0,31
DZ,225,0.0,123
DZW,224,0.0,123
EC,194,0.0,270
ED,81,0.0,271
EDC,79,0.0,270
EDN,236,0.0,274
EEM,232,0.0,122
EGH,230,0.0,289
EGHM,231,0.0,289
EHS,128,0.0,278
EHV,129,0.0,159
EKZ,91,0.0,351
EML,70,0.0,256
EMN,156,0.0,60
EMNZ,152,0.0,59
