Station Code,Distance from ALMB,Services from/to ALMB,Disruptions on path to ALMB
AC,38,0.0,138
AH,104,0.0,424
AHP,105,0.0,681
AHPR,107,0.0,681
AHZ,112,0.0,681
AKL,102,0.0,261
AKM,152,0.0,21
ALM,6,66.09677419354838,0
ALMB,0,0.0,0
ALMM,7,58.58064516129032,131
ALMO,2,62.096774193548384,0
ALMP,4,58.83870967741935,0
AMF,53,0.0,144
AMFS,56,0.0,384
AML,120,0.0,46
AMPO,9,58.58064516129032,132
AMR,75,0.0,416
AMRI,122,0.0,116
AMRN,76,0.0,491
ANA,105,0.0,502
APD,96,0.0,131
APDM,97,0.0,166
APDO,99,0.0,166
APG,215,0.0,105
APN,88,0.0,158
ARN,232,0.0,308
ASA,33,0.0,134
ASB,33,0.0,134
ASD,36,38.16129032258065,131
ASDL,43,34.645161290322584,389
ASDM,32,38.16129032258065,139
ASDZ,35,27.677419354838708,131
ASHD,34,0.0,148
ASN,153,0.0,25
ASS,40,34.645161290322584,389
ASSP,31,38.16129032258065,139
ATN,156,0.0,718
AVAT,59,0.0,390
BD,146,0.0,303
BDE,227,0.0,406
BDG,80,0.0,149
BDM,196,0.0,94
BDPB,151,0.0,626
BET,125,0.0,217
BF,200,0.0,94
BGN,180,0.0,424
BHDV,113,0.0,281
BHV,58,0.0,144
BK,220,0.0,407
BKF,94,0.0,474
BKG,93,0.0,470
BKL,50,0.0,265
BL,137,0.0,25
BLL,58,0.0,426
BMN,121,0.0,166
BMR,148,0.0,459
BN,129,0.0,116
BNC,72,0.0,385
BNK,63,0.0,217
BNN,69,0.0,384
BNZ,74,0.0,401
BP,194,0.0,31
BR,183,0.0,488
BRD,120,0.0,309
BRN,44,0.0,144
BSD,88,0.0,260
BSK,94,0.0,239
BSKS,95,0.0,262
BSMZ,32,0.0,143
BTL,115,0.0,290
BV,65,0.0,410
BZL,212,0.0,455
CAS,63,0.0,413
CK,138,0.0,456
CL,73,0.0,245
CO,130,0.0,45
CPS,98,0.0,233
CVM,237,0.0,424
DA,117,0.0,35
DB,67,0.0,217
DDN,139,0.0,135
DDR,129,6.806451612903226,303
DDRS,127,0.0,292
DDZD,130,0.0,420
DEI,174,0.0,31
DID,123,0.0,681
DL,87,0.0,25
DLD,56,0.0,158
DLN,134,0.0,59
DMN,29,38.16129032258065,138
