Station Code,Distance from ALMO,Services from/to ALMO,Disruptions on path to ALMO
AC,40,0.0,148
AH,106,0.0,424
AHP,107,0.0,681
AHPR,109,0.0,683
AHZ,114,0.0,681
AKL,104,0.0,342
AKM,150,0.0,64
ALM,8,58.935483870967744,0
ALMB,2,58.87096774193548,0
ALMM,9,58.58064516129032,131
ALMO,0,0.0,0
ALMP,6,58.83870967741935,5
AMF,55,0.0,144
AMFS,58,0.0,384
AML,118,0.0,26
AMPO,11,58.58064516129032,132
AMR,77,0.0,416
AMRI,120,0.0,96
AMRN,78,0.0,491
ANA,107,0.0,502
APD,98,0.0,384
APDM,99,0.0,419
APDO,101,0.0,419
APG,213,0.0,94
APN,92,0.0,272
ARN,235,0.0,528
ASA,35,0.0,134
ASB,35,0.0,134
ASD,38,38.16129032258065,131
ASDL,45,34.645161290322584,410
ASDM,34,38.16129032258065,139
ASDZ,37,20.516129032258064,131
ASHD,36,0.0,148
ASN,151,0.0,14
ASS,42,34.645161290322584,389
ASSP,33,38.16129032258065,139
ATN,158,0.0,718
AVAT,61,0.0,390
BD,148,0.0,303
BDE,229,0.0,404
BDG,84,0.0,218
BDM,194,0.0,83
BDPB,153,0.0,626
BET,127,0.0,333
BF,198,0.0,83
BGN,183,0.0,497
BHDV,115,0.0,362
BHV,60,0.0,144
BK,222,0.0,404
BKF,96,0.0,474
BKG,95,0.0,470
BKL,62,0.0,151
BL,135,0.0,19
BLL,60,0.0,426
BMN,123,0.0,419
BMR,150,0.0,716
BN,127,0.0,96
BNC,74,0.0,385
BNK,65,0.0,217
BNN,71,0.0,384
BNZ,76,0.0,401
BP,192,0.0,31
BR,185,0.0,745
BRD,124,0.0,387
BRN,46,0.0,144
BSD,90,0.0,341
BSK,98,0.0,353
BSKS,99,0.0,376
BSMZ,34,0.0,143
BTL,117,0.0,290
BV,67,0.0,449
BZL,215,0.0,528
CAS,65,0.0,413
CK,140,0.0,713
CL,75,0.0,245
CO,128,0.0,34
CPS,102,0.0,302
CVM,239,0.0,421
DA,115,0.0,24
DB,69,0.0,217
DDN,137,0.0,115
DDR,132,0.0,375
DDRS,129,0.0,373
DDZD,133,0.0,492
DEI,172,0.0,31
DID,125,0.0,681
DL,85,0.0,14
DLD,58,0.0,158
DLN,132,0.0,48
DMN,31,38.16129032258065,138
DMNZ,31,20.41935483870968,138
DN,159,0.0,356
DR,122,0.0,681
DRH,65,0.0,445
DRON,41,36.87096774193548,14
DRP,179,0.0,45
DT,101,0.032258064516129,280
DTC,136,0.0,701
DTCH,134,0.0,701
DTCP,102,0.0,381
DV,104,0.0,24
DVC,108,0.0,90
DVD,33,20.451612903225808,131
DVN,115,0.0,683
DVNK,80,19.032258064516128,265
DWE,185,0.0,31
DZ,217,0.0,112
DZW,216,0.0,112
EC,202,0.0,401
ED,89,0.0,402
EDC,87,0.0,401
EDN,244,0.0,405
EEM,224,0.0,111
EGH,238,0.0,420
EGHM,239,0.0,420
EHS,136,0.0,409
EHV,137,0.0,290
EKZ,99,0.0,482
EML,78,0.0,387
EMN,148,0.0,49
EMNZ,144,0.0,48
ES,140,0.0,115
ESK,136,0.0,115
EST,117,0.0,681
ETN,159,0.0,626
FN,185,0.0,31
FWD,182,0.0,31
GBG,121,0.0,34
GD,89,0.0,217
GDG,86,0.0,217
GDM,83,0.0,298
GDR,141,0.0,718
GERP,177,0.0,67
GK,198,0.0,82
GLN,218,0.0,403
GN,179,0.0,67
GND,118,0.0,362
GNN,183,0.0,82
GO,146,0.0,426
GP,143,0.0,352
GR,109,0.0,360
GS,220,0.0,528
GV,93,0.032258064516129,265
GVC,92,19.096774193548388,255
GVM,88,19.032258064516128,350
GVMW,94,0.0,280
GW,155,0.0,71
GZ,138,0.0,305
HAD,61,0.0,426
HB,229,0.0,434
HBZM,121,0.0,372
HD,82,0.0,387
HDB,115,0.0,21
HDE,91,0.0,14
HDG,178,0.0,31
HDR,119,0.0,511
HDRZ,118,0.0,511
HFD,53,55.064516129032256,255
HGL,132,0.0,96
HGLG,134,0.0,115
HGLO,134,0.0,115
HGV,121,0.0,14
HGZ,190,0.0,90
HIL,68,0.0,466
HK,64,0.0,449
HKS,91,0.0,466
HLG,194,0.0,32
HLGH,195,0.0,36
HLM,57,0.0,389
HLMS,56,0.0,410
HLO,72,0.0,416
HM,150,0.0,352
HMBH,151,0.0,356
HMBV,147,0.0,352
HMH,149,0.0,352
HMN,114,0.0,344
HN,81,0.0,410
HNK,82,0.0,466
HNO,85,0.0,14
HNP,210,0.0,34
HON,123,0.0,90
HOR,45,0.0,144
HR,139,0.032258064516129,14
HRL,233,0.0,403
HRLW,235,0.0,420
HRN,173,0.0,67
HRT,177,0.0,384
HT,105,0.0,217
HTN,65,0.0,217
HTNC,66,0.0,245
HTO,106,0.0,290
HVL,61,0.0,384
HVS,39,0.0,143
HVSM,38,0.0,176
HVSP,40,0.0,144
HWD,84,0.0,492
HWZB,49,0.0,410
HZE,148,0.0,358
IJT,193,0.0,32
KBD,202,0.0,528
KBK,107,0.0,420
KLP,91,0.0,217
KMA,56,0.0,423
KMR,241,0.0,420
KMW,215,0.0,39
KPN,88,0.0,14
KPNZ,58,36.87096774193548,15
KRD,241,0.0,431
KRG,209,0.0,528
KTR,107,0.0,341
KW,187,0.0,88
KZ,50,0.0,413
LAA,91,19.06451612903226,383
LC,133,0.0,419
LDL,78,0.0,265
LDM,97,0.0,342
LEDN,77,34.193548387096776,255
LG,236,0.0,420
LLS,16,40.80645161290322,0
LLZM,102,0.0,302
LP,205,0.0,94
LTN,81,0.0,401
LTV,151,0.0,421
LUT,218,0.0,403
LW,168,0.032258064516129,14
LWC,171,0.0,31
MAS,57,0.0,148
MDB,239,0.0,528
MES,241,0.0,405
MG,178,0.0,31
MMLH,135,0.0,702
MP,101,0.032258064516129,14
MRB,107,0.0,21
MRN,77,0.0,249
MT,235,0.0,403
MTH,188,0.0,90
MTN,238,0.0,405
MTR,236,0.0,405
MZ,158,0.0,363
NDB,33,0.0,132
NH,226,0.0,434
NKK,66,0.0,384
NM,125,0.0,681
NMD,130,0.0,702
NMGO,128,0.0,702
NMH,128,0.0,702
NML,124,0.0,695
NS,94,0.0,384
NSCH,223,0.0,97
NVD,105,0.0,14
NVP,58,34.096774193548384,383
NWK,98,0.0,302
O,124,0.0,290
OBD,90,0.0,502
ODB,163,0.0,497
ODZ,143,0.0,115
OMN,96,0.0,21
OP,111,0.0,344
OST,94,0.0,14
OT,126,0.0,333
OTB,102,0.0,424
OVN,59,0.0,426
OW,123,0.0,293
PMO,63,0.0,411
PMR,62,0.0,410
PMW,61,0.0,413
PT,73,0.0,387
RAI,36,20.41935483870968,134
RAT,91,0.0,14
RB,199,0.0,528
RD,217,0.0,98
RH,116,0.0,684
RHN,100,0.0,252
RL,138,0.0,421
RLB,120,0.0,381
RM,189,0.0,352
RS,112,0.0,293
RSD,170,0.0,492
RSN,121,0.0,26
RSW,96,0.0,280
RTA,103,0.0,302
RTB,114,0.0,372
RTD,113,0.032258064516129,302
RTN,108,0.0,304
RTST,118,0.0,381
RTZ,117,0.0,381
RV,199,0.0,817
RVS,132,0.0,311
SBK,221,0.0,433
SD,50,0.0,158
SDA,206,0.0,88
SDM,111,0.032258064516129,381
SDT,122,0.0,372
SDTB,125,0.0,373
SGL,245,0.0,419
SGN,98,0.0,502
SHL,48,55.16129032258065,205
SK,190,0.0,31
SKND,189,0.0,31
SM,194,0.0,401
SN,223,0.0,434
SOG,243,0.0,420
SPTN,64,0.0,444
SPTZ,62,0.0,444
SRN,207,0.0,430
SSH,69,34.096774193548384,383
ST,51,0.0,158
STD,214,0.0,401
STM,201,0.0,94
STV,219,0.0,39
STZ,52,0.0,158
SWD,190,0.0,82
SWK,115,0.032258064516129,64
TB,127,0.0,290
TBG,142,0.0,718
TBR,132,0.0,303
TBU,128,0.0,303
TG,192,0.0,798
TL,95,0.0,341
TPSW,93,0.0,341
TWL,108,0.0,419
UHM,214,0.0,98
UHZ,211,0.0,98
UST,206,0.0,97
UT,57,0.0,144
UTG,61,0.0,448
UTLN,61,0.0,217
UTLR,60,0.0,217
UTO,54,0.0,144
UTT,62,0.0,217
UTVR,58,0.0,217
UTZL,59,0.0,217
VB,95,0.0,284
VD,128,0.0,419
VDL,237,0.0,420
VDM,206,0.0,95
VEM,112,0.0,421
VG,109,0.0,290
VH,78,0.0,469
VHP,113,0.0,24
VK,246,0.0,420
VL,187,0.0,797
VLB,157,0.0,744
VNDC,92,0.0,251
VNDW,91,0.0,251
VP,112,0.0,684
VRY,164,0.0,745
VS,245,0.0,530
VSS,244,0.0,530
VST,82,19.032258064516128,350
VSV,149,0.0,718
VTN,64,0.0,222
VZ,120,0.0,25
WAD,97,0.0,302
WADN,98,0.0,302
WADT,96,0.0,302
WC,134,0.0,681
WD,73,0.0,217
WDN,113,0.0,26
WF,98,0.0,424
WFM,203,0.0,97
WH,87,0.0,14
WK,206,0.0,34
WL,131,0.0,701
WM,54,0.0,413
WP,24,58.58064516129032,132
WR,233,0.0,106
WS,211,0.0,97
WSM,195,0.0,83
WT,165,0.0,352
WTV,111,0.0,683
WV,128,0.0,14
WW,161,0.0,433
WWW,160,0.0,433
WZ,82,0.0,14
YPB,99,0.0,287
ZA,117,0.0,344
ZB,198,0.0,91
ZBM,92,0.0,341
ZD,48,0.0,410
ZDK,51,0.0,413
ZH,191,0.0,82
ZL,73,36.903225806451616,0
ZLSH,78,0.0,14
ZLW,147,0.0,492
ZP,116,0.0,419
ZTM,104,0.0,284
ZTMO,104,0.0,302
ZV,120,0.0,681
ZVB,155,0.0,497
ZVT,65,0.0,427
ZWD,131,0.0,486
ZZS,51,0.0,413
