station,distance,services_per_day,n_of_disruptions
AC,29,0,6
AH,95,0,292
AHP,96,0,549
AHPR,98,0,551
AHZ,103,0,549
AKL,93,0,210
AKM,161,0,153
ALM,3,0,1
ALMB,9,0,132
ALMM,2,0,0
ALMO,11,0,132
ALMP,5,0,132
AMF,44,0,12
AMFS,47,0,252
AML,129,0,172
AMR,66,0,306
AMRI,131,0,239
AMRN,67,0,381
ANA,96,0,392
APD,87,0,252
APDM,88,0,287
APDO,90,0,287
APG,224,0,237
APN,81,0,159
ARN,224,0,396
ASA,24,0,18
ASB,24,0,18
ASD,27,0,21
ASDL,34,0,300
ASDM,23,0,7
ASDZ,26,0,18
ASHD,25,0,32
ASN,162,0,157
ASS,31,0,279
ASSP,22,0,7
ATN,147,0,586
AVAT,50,0,258
BD,137,0,171
BDE,218,0,272
BDG,73,0,86
BDM,205,0,226
BDPB,142,0,494
BET,116,0,201
BF,209,0,226
BGN,172,0,365
BHDV,104,0,230
BHV,49,0,12
BK,211,0,272
BKF,85,0,364
BKG,84,0,360
BKL,51,0,35
BL,146,0,151
BLL,49,0,316
BMN,112,0,287
BMR,139,0,584
BN,138,0,239
BNC,63,0,253
BNK,54,0,85
BNN,60,0,252
BNZ,65,0,269
BP,203,0,163
BR,174,0,613
BRD,113,0,255
BRN,35,0,12
BSD,79,0,209
BSK,87,0,240
BSKS,88,0,263
BSMZ,23,0,11
BTL,106,0,158
BV,56,0,339
BZL,204,0,396
CAS,54,0,303
CK,129,0,581
CL,64,0,113
CO,139,0,177
CPS,91,0,170
CVM,228,0,289
DA,126,0,167
DB,58,0,85
DDN,145,0,302
DDR,121,0,243
DDRS,118,0,241
DDZD,122,0,360
DEI,183,0,163
DID,114,0,549
DL,96,0,157
DLD,47,0,26
DLN,143,0,191
DMN,20,0,6
DMNZ,20,0,6
DN,148,0,224
DR,111,0,549
DRH,54,0,335
DRON,52,0,146
DRP,190,0,177
DT,90,0,167
DTC,125,0,569
DTCH,123,0,569
DTCP,91,0,268
DV,102,0,252
DVC,106,0,318
DVD,22,0,15
DVN,104,0,551
DVNK,69,0,152
DWE,196,0,163
DZ,228,0,255
DZW,227,0,255
EC,191,0,269
ED,78,0,270
EDC,76,0,269
EDN,233,0,273
EEM,235,0,254
EGH,227,0,288
EGHM,228,0,288
EHS,125,0,277
EHV,126,0,158
EKZ,88,0,372
EML,67,0,255
EMN,159,0,192
EMNZ,155,0,191
ES,151,0,258
ESE,157,0,287
ESK,147,0,258
EST,106,0,549
ETN,148,0,494
FN,196,0,163
FWD,193,0,163
GBG,132,0,177
GBR,160,0,287
GD,78,0,85
GDG,75,0,85
GDM,72,0,166
GDR,130,0,586
GERP,188,0,210
GK,209,0,225
GLN,207,0,271
GN,190,0,210
GND,107,0,230
GNN,194,0,225
GO,135,0,294
GP,132,0,220
GR,98,0,228
GS,209,0,396
GV,82,0,152
GVC,81,0,142
GVM,77,0,237
GVMW,83,0,167
GW,166,0,153
GZ,127,0,173
HAD,50,0,316
HB,218,0,302
HBZM,110,0,240
HD,71,0,255
HDB,126,0,164
HDE,92,0,252
HDG,189,0,163
HDR,108,0,401
HDRZ,107,0,401
HFD,42,0,142
HGL,143,0,239
HGLG,145,0,258
HGLO,145,0,258
HGV,132,0,146
HGZ,201,0,233
HIL,57,0,356
HK,53,0,339
HKS,80,0,356
HLG,205,0,164
HLGH,206,0,168
HLM,46,0,279
HLMS,45,0,300
HLO,61,0,306
HM,139,0,220
HMBH,140,0,224
HMBV,136,0,220
HMH,138,0,220
HMN,103,0,212
HN,70,0,300
HNK,71,0,356
HNO,96,0,157
HNP,221,0,166
HON,121,0,318
HOR,34,0,12
HR,150,0,146
HRL,222,0,271
HRLW,224,0,288
HRN,184,0,210
HRT,166,0,252
[HRY,inf,0,0
HT,94,0,85
HTN,54,0,85
HTNC,55,0,113
HTO,95,0,158
HVL,50,0,252
HVS,28,0,11
HVSM,27,0,44
HVSP,29,0,12
HWD,73,0,382
HWZB,38,0,300
HZE,137,0,226
IJT,204,0,164
KBD,191,0,396
KBK,96,0,288
KLP,80,0,85
KMA,45,0,313
KMR,230,0,288
KMW,226,0,171
KPN,99,0,157
KPNZ,69,0,147
KRD,230,0,299
KRG,198,0,396
KTR,96,0,209
KW,198,0,231
KZ,39,0,303
LAA,80,0,270
LC,122,0,287
LDL,67,0,152
LDM,86,0,210
LEDN,66,0,142
LEER,259,0,249
LG,225,0,288
LLS,27,0,132
LLZM,91,0,170
LP,216,0,237
LTN,70,0,269
LTV,140,0,289
LUT,207,0,271
LW,179,0,146
LWC,182,0,163
MAS,46,0,32
MDB,228,0,396
MES,230,0,273
MG,189,0,163
MMLH,124,0,570
MP,112,0,157
MRB,118,0,164
MRN,66,0,117
MT,224,0,271
MTH,199,0,233
MTN,227,0,273
MTR,225,0,273
MZ,147,0,231
[NEA,inf,0,0
NDB,22,0,0
NH,215,0,302
NKK,55,0,252
NM,114,0,549
NMD,119,0,570
NMGO,117,0,570
NMH,117,0,570
NML,113,0,563
NS,83,0,252
NSCH,234,0,240
NVD,116,0,157
NVP,47,0,270
NWK,87,0,170
O,113,0,158
OBD,79,0,392
ODB,152,0,365
ODZ,154,0,258
OMN,107,0,164
OP,100,0,212
OST,105,0,157
OT,115,0,201
OTB,91,0,292
OVN,48,0,316
OW,112,0,161
PMO,52,0,301
PMR,51,0,300
PMW,50,0,303
PT,62,0,255
RAI,25,0,18
RAT,102,0,157
RB,188,0,396
RD,228,0,241
RH,105,0,552
RHN,89,0,120
RL,127,0,289
RLB,109,0,249
RM,178,0,220
RS,101,0,161
RSD,159,0,360
RSN,128,0,318
RSW,85,0,167
RTA,92,0,170
RTB,103,0,240
RTD,102,0,170
RTN,97,0,172
RTST,107,0,249
RTZ,106,0,249
RV,188,0,685
RVS,121,0,179
SBK,210,0,301
SD,39,0,26
SDA,217,0,231
SDM,100,0,268
SDT,111,0,240
SDTB,114,0,241
SGL,234,0,287
SGN,87,0,392
SHL,37,0,92
SK,201,0,163
SKND,200,0,163
SM,183,0,269
SN,212,0,302
SOG,232,0,288
