Station Code,Distance from AMR,Services from/to AMR,Disruptions on path to AMR
AC,54,2.5806451612903225,299
AH,135,35.806451612903224,579
AHP,136,0.0,836
AHPR,138,0.0,836
AHZ,143,0.8387096774193549,836
AKL,125,0.0,402
AKM,227,0.0,349
ALM,69,0.0,285
ALMB,75,0.0,416
ALMM,68,0.0,292
ALMO,77,0.0,416
ALMP,71,0.0,416
AMF,84,0.0,299
AMFS,87,0.0,539
AML,181,0.0,605
AMPO,66,0.0,292
AMR,0,0.0,0
AMRI,183,0.0,675
AMRN,1,72.96774193548387,0
ANA,30,36.29032258064516,11
APD,127,0.0,539
APDM,128,0.0,574
APDO,130,0.0,574
APG,290,0.0,379
APN,79,0.0,57
ARN,225,0.0,241
ASA,45,53.41935483870968,285
ASB,49,3.225806451612903,285
ASD,39,89.7741935483871,27
ASDL,38,0.0,27
ASDM,43,2.5806451612903225,285
ASDZ,51,0.0,285
ASHD,50,2.5806451612903225,299
ASN,228,0.0,299
ASS,35,89.7741935483871,6
ASSP,44,0.0,285
ATN,187,0.0,873
AVAT,90,0.0,545
BD,152,0.0,236
BDE,250,0.032258064516129,547
BDG,87,0.0,138
BDM,271,0.0,368
BDPB,147,0.0,288
BET,148,0.032258064516129,358
BF,275,0.0,368
BGN,173,0.0,287
BHDV,136,0.0,422
BHV,87,0.0,358
BK,243,0.0,548
BKF,39,0.0,75
BKG,38,0.0,71
BKL,66,2.5806451612903225,426
BL,212,0.0,299
BLL,32,33.193548387096776,23
BMN,152,0.0,574
BMR,179,0.0,614
BN,190,0.0,675
BNC,103,0.0,540
BNK,86,0.5161290322580645,358
BNN,100,0.0,539
BNZ,105,0.0,556
BP,269,0.0,556
BR,208,0.0,528
BRD,113,0.0,242
BRN,75,0.0,286
BSD,111,0.0,401
BSK,85,0.0,138
BSKS,86,0.0,161
BSMZ,63,0.0,303
BTL,138,0.0,431
BV,22,35.645161290322584,3
BZL,205,0.0,318
CAS,12,92.80645161290325,0
CK,169,0.0,611
CL,96,0.0,386
CO,205,0.0,319
CPS,110,2.064516129032258,246
CVM,234,0.0,83
DA,192,0.0,309
DB,90,36.32258064516129,358
DDN,185,0.0,589
DDR,122,0.0,166
DDRS,125,0.0,283
DDZD,123,0.0,283
DEI,249,0.0,556
DID,154,0.0,836
DL,162,0.0,299
DLD,87,0.0,300
DLN,209,0.0,333
DMN,46,0.0,285
DMNZ,49,0.0,325
DN,180,0.0,500
DR,151,0.0,836
DRH,27,35.54838709677419,21
DRON,118,0.0,430
DRP,256,0.0,570
DT,88,0.0,65
DTC,165,0.0,856
DTCH,163,0.0,856
DTCP,89,0.0,166
DV,142,0.0,539
DVC,146,0.0,574
DVD,47,2.838709677419355,322
DVN,144,0.0,838
DVNK,67,0.0,50
DWE,262,0.0,556
DZ,294,0.0,397
DZW,293,0.0,397
EC,223,0.0,545
ED,118,35.806451612903224,557
EDC,116,0.0,556
EDN,263,0.0,84
EEM,301,0.0,396
EGH,233,0.0,82
EGHM,234,0.0,82
EHS,157,0.0,434
EHV,158,14.612903225806452,434
EKZ,42,0.0,83
EML,107,0.0,539
EMN,225,0.0,334
EMNZ,221,0.0,333
ES,198,0.0,641
ESK,194,0.0,641
EST,146,0.8709677419354839,836
ETN,163,0.0,559
FN,262,0.0,556
FWD,259,0.0,556
GBG,198,0.0,319
GD,97,2.064516129032258,161
GDG,98,2.064516129032258,286
GDM,104,0.0967741935483871,358
GDR,170,0.0,873
GERP,254,0.0,352
GK,275,0.0,367
GLN,239,0.0,547
GN,256,0.0,352
GND,136,0.0,284
GNN,260,0.0,367
GO,175,0.0,581
GP,164,0.0,496
GR,130,0.0,420
GS,210,0.0,241
GV,80,0.0,50
GVC,79,0.0,50
GVM,75,0.0,135
GVMW,81,0.0,65
GW,232,0.0,356
GZ,159,0.0,446
HAD,39,0.0,40
HB,232,0.0,82
HBZM,133,0.0,284
HD,111,0.0,542
HDB,192,0.0,306
HDE,132,0.0,539
HDG,255,0.0,556
HDR,42,36.29032258064516,20
HDRZ,41,36.29032258064516,20
HFD,55,0.0,77
HGL,190,0.0,622
HGLG,188,0.0,622
HGLO,192,0.0,641
HGV,198,0.0,299
HGZ,267,0.0,375
HIL,46,0.0,80
HK,19,35.54838709677419,4
HKS,34,0.0,67
HLG,271,0.0,557
HLGH,272,0.0,561
