Station Code,Distance from APDM,Services from/to APDM,Disruptions on path to APDM
AC,89,0.0,384
AH,46,0.0,4
AHP,45,0.0,8
AHPR,43,0.0,7
AHZ,54,0.0,261
AKL,112,0.0,473
AKM,124,0.0,99
ALM,91,0.0,288
ALMB,97,0.0,419
ALMM,90,0.0,287
ALMO,99,0.0,419
ALMP,93,0.0,419
AMF,44,0.0,35
AMFS,47,0.0,275
AML,55,0.0,101
AMPO,88,0.0,287
AMR,128,0.0,561
AMRI,57,0.0,171
AMRN,129,0.0,636
ANA,158,0.0,647
APD,1,27.64516129032258,0
APDM,0,0.0,0
APDO,4,0.0,35
APG,187,0.0,129
APN,100,0.0,285
ARN,240,0.0,748
ASA,86,0.0,279
ASB,86,0.0,279
ASD,89,0.0,276
ASDL,96,0.0,555
ASDM,85,0.0,294
ASDZ,88,0.0,279
ASHD,87,0.0,293
ASN,125,0.0,49
ASS,93,0.0,534
ASSP,84,0.0,294
ATN,74,0.0,15
AVAT,50,0.0,281
BD,151,0.0,389
BDE,190,0.0,463
BDG,92,0.0,276
BDM,168,0.0,118
BDPB,156,0.0,712
BET,130,0.0,419
BF,172,0.0,118
BGN,188,0.0,717
BHDV,123,0.0,493
BHV,56,0.0,279
BK,183,0.0,463
BKF,147,0.0,619
BKG,146,0.0,615
BKL,77,0.0,351
BL,109,0.0,54
BLL,111,0.0,571
BMN,24,0.0,1
BMR,90,0.0,296
BN,64,0.0,171
BNC,63,0.0,276
BNK,73,0.0,348
BNN,60,0.0,275
BNZ,65,0.0,292
BP,166,0.0,66
BR,125,0.0,325
BRD,132,0.0,518
BRN,53,0.0,275
BSD,98,0.0,472
BSK,106,0.0,366
BSKS,107,0.0,389
BSMZ,65,0.0,276
BTL,120,0.0,376
BV,118,0.0,594
BZL,220,0.0,748
CAS,116,0.0,558
CK,80,0.0,293
CL,83,0.0,376
CO,95,0.0,188
CPS,110,0.0,433
CVM,200,0.0,480
DA,66,0.0,171
DB,77,0.0,348
DDN,57,0.0,16
DDR,140,0.0,506
DDRS,137,0.0,504
DDZD,141,0.0,623
DEI,146,0.0,66
DID,63,0.0,13
DL,59,0.0,49
DLD,53,0.0,275
DLN,99,0.0,202
DMN,82,0.0,293
DMNZ,82,0.0,293
DN,153,0.0,377
DR,30,0.0,1
DRH,116,0.0,590
DRON,79,0.0,49
DRP,153,0.0,80
DT,134,0.0,448
DTC,74,0.0,33
DTCH,72,0.0,33
DTCP,134,0.0,503
DV,16,0.0,35
DVC,20,0.0,101
DVD,84,0.0,276
DVN,53,0.0,10
DVNK,118,0.0,383
DWE,159,0.0,66
DZ,191,0.0,147
DZW,190,0.0,147
EC,163,0.0,460
ED,63,0.0,261
EDC,65,0.0,283
EDN,205,0.0,464
EEM,198,0.0,146
EGH,199,0.0,479
EGHM,200,0.0,479
EHS,139,0.0,495
EHV,140,0.0,376
EKZ,150,0.0,627
EML,67,0.0,278
EMN,115,0.0,203
EMNZ,111,0.0,202
ES,70,0.0,68
ESK,66,0.0,68
EST,57,0.0,261
ETN,162,0.0,712
FN,159,0.0,66
