Station Code,Distance from APDO,Services from/to APDO,Disruptions on path to APDO
AC,91,0.0,384
AH,50,0.0,38
AHP,49,0.0,42
AHPR,47,0.0,41
AHZ,58,0.0,295
AKL,114,0.0,473
AKM,120,0.0,140
ALM,93,0.0,288
ALMB,99,0.0,419
ALMM,92,0.0,287
ALMO,101,0.0,419
ALMP,95,0.0,419
AMF,46,0.0,35
AMFS,49,0.0,275
AML,51,27.451612903225808,66
AMPO,90,0.0,287
AMR,130,0.0,561
AMRI,53,6.419354838709677,136
AMRN,131,0.0,636
ANA,160,0.0,647
APD,3,32.516129032258064,0
APDM,4,0.0,35
APDO,0,0.0,0
APG,183,0.0,170
APN,102,0.0,285
ARN,244,0.0,782
ASA,88,0.0,279
ASB,88,0.0,279
ASD,91,0.0,276
ASDL,98,0.0,555
ASDM,87,0.0,294
ASDZ,90,0.0,279
ASHD,89,0.0,293
ASN,121,0.0,90
ASS,95,0.0,534
ASSP,86,0.0,294
ATN,78,0.0,49
AVAT,52,0.0,281
BD,155,0.0,423
BDE,194,0.0,497
BDG,94,0.0,276
BDM,164,0.0,159
BDPB,160,0.0,746
BET,134,0.0,453
BF,168,0.0,159
BGN,192,0.0,751
BHDV,125,0.0,493
BHV,58,0.0,279
BK,187,0.0,497
BKF,149,0.0,619
BKG,148,0.0,615
BKL,79,0.0,351
BL,105,0.0,95
BLL,113,0.0,571
BMN,28,0.0,35
BMR,94,0.0,330
BN,60,6.419354838709677,136
BNC,65,0.0,276
BNK,75,0.0,348
BNN,62,0.0,275
BNZ,67,0.0,292
BP,162,0.0,107
BR,129,0.0,359
BRD,134,0.0,518
BRN,55,0.0,275
BSD,100,0.0,472
BSK,108,0.0,366
BSKS,109,0.0,389
BSMZ,67,0.0,276
BTL,124,0.0,410
BV,120,0.0,594
BZL,224,0.0,782
CAS,118,0.0,558
CK,84,0.0,327
CL,85,0.0,376
CO,91,0.0,153
CPS,112,0.0,433
CVM,204,0.0,514
DA,62,0.0,136
DB,79,0.0,348
DDN,61,0.0,50
DDR,142,0.0,506
DDRS,139,0.0,504
DDZD,143,0.0,623
DEI,142,0.0,107
DID,67,0.0,47
DL,55,0.0,90
DLD,55,0.0,275
DLN,95,0.0,167
DMN,84,0.0,293
DMNZ,84,0.0,293
DN,157,0.0,411
DR,34,0.0,35
DRH,118,0.0,590
DRON,75,0.0,90
DRP,149,0.0,121
DT,136,0.0,448
DTC,78,0.0,67
DTCH,76,0.0,67
DTCP,136,0.0,503
DV,12,29.90322580645161,0
DVC,16,27.483870967741936,66
DVD,86,0.0,276
DVN,57,0.0,44
DVNK,120,0.0,383
DWE,155,0.0,107
DZ,187,0.0,188
DZW,186,0.0,188
EC,167,0.0,494
ED,67,0.0,295
EDC,69,0.0,317
EDN,209,0.0,498
EEM,194,0.0,187
EGH,203,0.0,513
EGHM,204,0.0,513
EHS,143,0.0,529
EHV,144,0.0,410
EKZ,152,0.0,627
EML,69,0.0,278
EMN,111,0.0,168
EMNZ,107,0.0,167
ES,73,6.419354838709677,155
ESK,69,6.419354838709677,155
EST,61,0.0,295
ETN,166,0.0,746
FN,155,0.0,107
FWD,152,0.0,107
GBG,84,0.0,153
GD,99,0.0,348
GDG,96,0.0,348
GDM,93,0.0,429
GDR,83,0.0,84
GERP,147,0.0,143
GK,168,0.0,158
GLN,183,0.0,496
GN,149,0.0,143
GND,128,0.0,493
GNN,153,0.0,158
GO,51,0.0,42
GP,150,0.0,472
GR,119,0.0,491
GS,229,0.0,782
GV,128,0.0,433
GVC,127,0.0,433
GVM,128,0.0,468
GVMW,129,0.0,448
GW,125,0.0,147
GZ,145,0.0,425
HAD,114,0.0,571
HB,194,0.0,527
HBZM,131,0.0,503
HD,73,0.0,278
HDB,78,0.0,140
HDE,61,0.0,90
HDG,148,0.0,107
HDR,172,0.0,656
HDRZ,171,0.0,656
HFD,106,0.0,403
HGL,65,6.419354838709677,136
HGLG,64,0.0,83
HGLO,67,0.0,155
HGV,91,0.0,90
HGZ,160,0.0,166
HIL,121,0.0,611
HK,117,0.0,594
HKS,144,0.0,611
HLG,164,0.0,108
HLGH,165,0.0,112
HLM,110,0.0,534
HLMS,109,0.0,555
HLO,125,0.0,561
HM,157,0.0,472
HMBH,158,0.0,476
HMBV,154,0.0,472
HMH,156,0.0,472
HMN,75,0.0,309
HN,134,0.0,555
HNK,135,0.0,611
HNO,55,0.0,90
HNP,180,0.0,110
HON,31,27.451612903225808,66
HOR,68,0.0,276
HR,109,0.0,90
HRL,198,0.0,496
HRLW,200,0.0,513
HRN,143,0.0,143
HRT,139,0.0,411
HT,112,0.0,337
HTN,75,0.0,348
HTNC,76,0.0,376
HTO,111,0.0,337
HVL,52,0.0,275
HVS,62,0.0,275
HVSM,63,0.0,276
HVSP,63,0.0,276
HWD,137,0.0,637
HWZB,102,0.0,555
