Station Code,Distance from ARN,Services from/to ARN,Disruptions on path to ARN
AC,194,0.0,233
AH,194,0.0,487
AHP,195,0.0,744
AHPR,197,0.0,746
AHZ,186,0.0,501
AKL,131,0.0,168
AKM,342,0.0,688
ALM,227,0.0,397
ALMB,233,0.0,528
ALMM,226,0.0,396
ALMO,235,0.0,528
ALMP,229,0.0,528
AMF,199,0.0,384
AMFS,202,0.0,624
AML,278,0.0,813
AMPO,224,0.0,396
AMR,225,0.0,351
AMRI,280,0.0,883
AMRN,226,0.0,426
ANA,255,0.0,437
APD,241,0.0,747
APDM,240,0.0,748
APDO,244,0.0,782
APG,405,0.0,718
APN,165,0.0,214
ARN,0,0.0,0
ASA,207,0.0,233
ASB,207,0.0,156
ASD,209,17.419354838709676,156
ASDL,202,0.0,156
ASDM,209,0.0,270
ASDZ,201,0.0,156
ASHD,208,0.0,170
ASN,343,0.0,638
ASS,205,17.419354838709676,156
ASSP,210,0.0,284
ATN,246,0.0,781
AVAT,205,0.0,630
BD,89,0.0,36
BDE,239,0.0,473
BDG,173,0.0,295
BDM,386,0.0,707
BDPB,94,0.0,359
BET,137,0.0,415
BF,390,0.0,707
BGN,52,33.516129032258064,0
BHDV,120,0.0,166
BHV,187,0.0,384
BK,232,0.0,473
BKF,259,0.0,241
BKG,258,0.0,237
BKL,182,0.0,200
BL,327,0.0,643
BLL,193,0.0,309
BMN,216,0.0,747
BMR,200,0.0,501
BN,273,0.0,814
BNC,218,0.0,625
BNK,184,0.0,311
BNN,215,0.0,624
BNZ,220,0.0,641
BP,384,0.0,655
BR,197,0.0,453
BRD,112,0.0,153
BRN,202,0.0,408
BSD,145,0.0,186
BSK,159,0.0,191
BSKS,158,0.0,191
BSMZ,201,0.0,385
BTL,127,0.0,372
BV,203,0.0,329
BZL,20,33.774193548387096,0
CAS,213,0.0,348
CK,190,0.0,498
CL,160,0.0,230
CO,318,0.0,900
CPS,134,0.0,108
CVM,249,0.0,490
DA,289,0.0,883
DB,188,0.0,355
DDN,263,0.0,762
DDR,103,21.677419354838708,36
DDRS,106,0.0,153
DDZD,102,0.064516129032258,41
DEI,364,0.0,655
DID,213,0.0,744
DL,277,0.0,638
DLD,190,0.0,404
DLN,322,0.0,914
DMN,212,0.0,284
DMNZ,207,0.0,233
DN,169,0.0,425
DR,210,0.0,744
DRH,198,0.0,328
DRON,276,0.0,542
DRP,371,0.0,669
DT,137,21.64516129032258,106
DTC,224,0.0,764
DTCH,222,0.0,764
DTCP,136,0.0,106
DV,239,0.0,747
DVC,243,0.0,813
DVD,205,0.0,230
DVN,203,0.0,746
DVNK,158,0.0,225
DWE,377,0.0,655
DZ,409,0.0,736
DZW,408,0.0,736
EC,212,0.0,470
ED,211,0.0,744
EDC,213,0.0,766
EDN,254,0.0,474
EEM,416,0.0,735
EGH,248,0.0,489
EGHM,249,0.0,489
EHS,146,0.0,491
EHV,147,0.0,359
EKZ,262,0.0,249
EML,222,0.0,627
EMN,338,0.0,915
EMNZ,334,0.0,914
ES,276,0.0,814
ESK,272,0.0,814
EST,183,0.0,487
ETN,78,0.0,36
FN,377,0.0,655
FWD,374,0.0,655
GBG,311,0.0,900
GD,147,0.0,106
GDG,150,0.0,191
GDM,152,0.0,187
GDR,229,0.0,781
GERP,369,0.0,691
GK,390,0.0,706
GLN,228,0.0,472
GN,371,0.0,691
GND,117,0.0,156
GNN,375,0.0,706
GO,253,0.0,754
GP,153,0.0,421
GR,126,0.0,166
GS,15,33.645161290322584,0
GV,145,19.451612903225808,207
GVC,146,0.0,222
GVM,150,0.0,222
GVMW,144,0.0,207
GW,347,0.0,695
GZ,99,0.0,359
HAD,186,17.419354838709676,232
HB,239,0.0,503
HBZM,114,0.0,156
HD,226,0.0,627
HDB,305,0.0,887
HDE,247,0.0,624
HDG,370,0.0,655
HDR,267,0.0,446
HDRZ,266,0.0,446
HFD,185,0.0,222
HGL,268,0.0,795
HGLG,266,0.0,795
HGLO,270,0.0,814
HGV,313,0.0,638
HGZ,382,0.0,714
HIL,179,0.0,232
HK,206,0.0,347
HKS,254,0.0,233
HLG,386,0.0,656
HLGH,387,0.0,660
HLM,190,17.419354838709676,272
HLMS,191,0.0,309
HLO,220,0.0,351
HM,160,0.0,421
HMBH,161,0.0,425
HMBV,157,0.0,421
HMH,159,0.0,421
HMN,183,0.0,233
HN,244,0.0,177
HNK,245,0.0,233
HNO,277,0.0,638
HNP,402,0.0,658
HON,258,0.0,813
HOR,190,0.0,384
HR,331,0.0,638
HRL,243,0.0,472
HRLW,245,0.0,489
HRN,365,0.0,691
HRT,187,0.0,453
HT,132,0.0,372
HTN,170,0.0,283
HTNC,169,0.0,283
HTO,133,0.0,445
HVL,205,0.0,624
HVS,196,0.0,384
HVSM,197,0.0,385
HVSP,195,0.0,384
HWD,232,0.0,427
HWZB,198,0.0,309
HZE,158,0.0,427
IJT,385,0.0,656
KBD,33,33.483870967741936,0
KBK,232,0.0,747
KLP,210,0.0,387
KMA,214,0.0,348
KMR,251,0.0,489
KMW,407,0.0,663
KPN,280,0.0,638
KPNZ,280,0.0,638
KRD,251,0.0,500
KRG,26,33.54838709677419,0
KTR,176,0.0,230
KW,379,0.0,712
KZ,213,0.0,180
LAA,147,19.451612903225808,222
LC,240,0.0,747
LDL,162,0.0,232
LDM,138,0.0,186
LEDN,161,19.451612903225808,222
LG,246,0.0,489
LLS,251,0.0,528
LLZM,160,0.0,191
LP,397,0.0,718
LTN,219,0.0,767
LTV,258,0.0,749
LUT,228,0.0,472
LW,360,0.0,638
LWC,363,0.0,655
MAS,185,0.0,384
MDB,4,41.38709677419355,0
MES,251,0.0,474
MG,370,0.0,655
MMLH,185,0.0,487
MP,293,0.0,638
MRB,297,0.0,884
MRN,196,0.0,387
MT,245,0.0,472
MTH,380,0.0,714
MTN,248,0.0,474
MTR,246,0.0,474
MZ,168,0.0,432
NDB,202,0.0,385
NH,236,0.0,503
NKK,210,0.0,624
NM,175,0.0,466
NMD,170,0.0,469
NMGO,172,0.0,470
NMH,178,0.0,487
NML,176,0.0,487
NS,238,0.0,624
NSCH,415,0.0,721
NVD,281,0.0,820
NVP,180,0.0,232
NWK,138,0.0,164
O,151,0.0,445
OBD,238,0.0,437
ODB,72,0.064516129032258,36
ODZ,279,0.0,814
OMN,288,0.0,645
OP,180,0.0,233
OST,249,0.0,813
OT,118,0.0,372
OTB,198,0.0,744
OVN,192,0.0,309
OW,150,0.0,448
PMO,226,0.0,178
PMR,225,0.0,177
PMW,224,0.0,180
PT,217,0.0,627
RAI,202,0.0,230
RAT,283,0.0,638
RB,36,33.516129032258064,0
RD,409,0.0,722
RH,204,0.0,747
RHN,219,0.0,390
RL,245,0.0,749
RLB,116,0.0,252
RM,199,0.0,421
RS,139,0.0,448
RSD,65,33.516129032258064,31
RSN,265,0.0,813
RSW,142,0.0,207
RTA,133,0.0,106
RTB,122,21.677419354838708,153
RTD,123,21.677419354838708,36
RTN,128,0.0,106
RTST,118,0.0,258
RTZ,119,0.0,258
RV,210,0.0,470
RVS,159,0.0,466
SBK,231,0.0,502
SD,198,0.0,408
SDA,398,0.0,712
SDM,127,21.64516129032258,106
SDT,113,0.0,155
SDTB,110,0.0,155
SGL,255,0.0,488
SGN,246,0.0,437
SHL,190,0.0,106
SK,382,0.0,655
SKND,381,0.0,655
SM,204,0.0,470
SN,233,0.0,503
SOG,253,0.0,489
SPTN,197,0.0,327
SPTZ,195,0.0,327
SRN,217,0.0,499
SSH,169,0.0,232
ST,197,0.0,408
STD,224,0.0,470
STM,393,0.0,718
STV,411,0.0,663
STZ,196,0.0,408
SWD,382,0.0,706
SWK,307,0.0,688
TB,110,0.0,359
TBG,230,0.0,781
TBR,105,0.0,378
TBU,109,0.0,380
TG,204,0.0,506
TL,164,0.0,230
TPSW,162,0.0,230
TWL,244,0.0,813
UHM,406,0.0,722
UHZ,403,0.0,722
UST,398,0.0,721
UT,178,0.0,311
UTG,209,0.0,347
UTLN,174,0.0,311
UTLR,176,0.0,214
UTO,181,0.0,384
UTT,174,0.0,209
UTVR,177,0.0,311
UTZL,180,0.0,384
VB,149,0.0,251
VD,235,0.0,747
VDL,247,0.0,489
VDM,398,0.0,719
VEM,227,0.0,747
VG,135,0.0,415
VH,169,0.0,232
VHP,291,0.0,884
VK,256,0.0,489
VL,199,0.0,505
VLB,207,0.0,529
VNDC,211,0.0,389
VNDW,210,0.0,389
VP,200,0.0,747
VRY,214,0.0,530
VS,10,33.903225806451616,2
VSS,9,33.903225806451616,2
VST,156,0.0,225
VSV,237,0.0,781
VTN,172,0.0,200
VZ,284,0.0,883
WAD,155,0.0,191
WADN,156,0.0,191
WADT,154,0.0,191
WC,166,0.0,469
WD,163,0.0,199
WDN,273,0.0,820
WF,202,0.0,744
WFM,395,0.0,721
WH,256,0.0,823
WK,398,0.0,658
WL,219,0.0,764
WM,216,0.0,373
WP,211,0.0,396
WR,425,0.0,730
WS,403,0.0,721
WSM,387,0.0,707
WT,175,0.0,421
WTV,199,0.0,746
WV,320,0.0,638
WW,258,0.0,800
WWW,259,0.0,800
WZ,256,0.0,637
YPB,153,0.0,254
ZA,186,0.0,233
ZB,390,0.0,715
ZBM,145,0.0,445
ZD,211,0.0,177
ZDK,214,0.0,180
ZH,383,0.0,706
ZL,265,0.0,624
ZLSH,270,0.0,638
ZLW,88,0.064516129032258,36
ZP,223,0.0,747
ZTM,158,0.0,251
ZTMO,159,0.0,254
ZV,208,0.0,744
ZVB,80,0.064516129032258,66
ZVT,198,0.0,310
ZWD,105,0.0,153
ZZS,214,0.0,180
