station,distance,services_per_day,n_of_disruptions
AC,9,0,14
AH,91,0,73
AHP,92,0,330
AHPR,94,0,332
AHZ,99,0,330
AKL,80,0,198
AKM,185,0,155
ALM,27,0,3
ALMB,33,0,134
ALMM,26,0,18
ALMO,35,0,134
ALMP,29,0,134
AMF,42,0,4
AMFS,45,0,244
AML,139,0,310
AMPO,24,0,18
AMR,45,0,285
AMRI,141,0,380
AMRN,46,0,360
ANA,75,0,371
APD,85,0,244
APDM,86,0,279
APDO,88,0,279
APG,248,0,233
APN,61,0,144
ARN,207,0,233
ASB,4,0,0
ASD,6,0,0
ASDL,13,0,279
ASDM,2,0,0
ASDZ,6,0,3
ASHD,5,0,14
ASN,186,0,159
ASS,10,0,258
ASSP,3,0,14
ATN,143,0,367
AVAT,48,0,250
BD,124,0,159
BDE,205,0,260
BDG,60,0,74
BDM,229,0,228
BDPB,129,0,482
BET,103,0,189
BF,233,0,228
BGN,155,0,202
BHDV,91,0,218
BHV,42,0,73
BK,198,0,260
BKF,64,0,343
BKG,63,0,339
BKL,31,0,17
BL,170,0,153
BLL,28,0,295
BMN,110,0,279
BMR,135,0,365
BN,148,0,380
BNC,61,0,245
BNK,41,0,73
BNN,58,0,244
BNZ,63,0,261
BP,227,0,165
BR,163,0,240
BRD,95,0,212
BRN,33,0,4
BSD,66,0,197
BSK,67,0,225
BSKS,68,0,248
BSMZ,21,0,29
BTL,93,0,146
BV,35,0,318
BZL,187,0,233
CAS,33,0,282
CK,125,0,362
CL,51,0,101
CO,163,0,179
CPS,78,0,158
CVM,215,0,277
DA,150,0,380
DB,45,0,73
DDN,143,0,294
DDR,104,0,197
DDRS,105,0,229
DDZD,105,0,314
DEI,207,0,165
DID,110,0,330
DL,120,0,159
DLD,45,0,93
DLN,167,0,193
DMN,5,0,14
DMNZ,4,0,3
DN,135,0,212
DR,107,0,330
DRH,33,0,314
DRON,76,0,148
DRP,214,0,179
DT,70,0,152
DTC,121,0,350
DTCH,119,0,350
DTCP,71,0,253
DV,100,0,244
DVC,104,0,310
DVD,2,0,0
DVN,100,0,332
DVNK,49,0,137
DWE,220,0,165
DZ,252,0,257
DZW,251,0,257
EC,178,0,257
ED,74,0,73
EDC,74,0,261
EDN,220,0,261
EEM,259,0,256
EGH,214,0,276
EGHM,215,0,276
EHS,112,0,265
EHV,113,0,146
EKZ,67,0,351
EML,65,0,247
EMN,183,0,194
EMNZ,179,0,193
ES,156,0,346
ESE,162,0,375
ESK,152,0,346
EST,102,0,330
ETN,135,0,482
FN,220,0,165
FWD,217,0,165
GBG,156,0,179
GBR,165,0,375
GD,65,0,73
GDG,62,0,73
GDM,59,0,154
GDR,126,0,367
GERP,212,0,212
GK,233,0,227
GLN,194,0,259
GN,214,0,212
GND,94,0,218
GNN,218,0,227
GO,133,0,286
GP,119,0,208
GR,85,0,216
GS,192,0,233
GV,62,0,137
GVC,61,0,127
GVM,57,0,222
GVMW,63,0,152
GW,190,0,155
GZ,114,0,161
HAD,29,0,295
HB,205,0,290
HBZM,97,0,228
HD,69,0,247
HDB,150,0,166
HDE,90,0,244
HDG,213,0,165
HDR,87,0,380
HDRZ,86,0,380
HFD,22,0,127
HGL,148,0,327
HGLG,146,0,327
HGLO,150,0,346
HGV,156,0,148
HGZ,225,0,235
HIL,36,0,335
HK,32,0,318
HKS,59,0,335
HLG,229,0,166
HLGH,230,0,170
HLM,25,0,258
HLMS,24,0,279
HLO,40,0,285
HM,126,0,208
HMBH,127,0,212
HMBV,123,0,208
HMH,125,0,208
HMN,90,0,200
HN,49,0,279
HNK,50,0,335
HNO,120,0,159
HNP,245,0,168
HON,119,0,310
HOR,32,0,4
HR,174,0,148
HRL,209,0,259
HRLW,211,0,276
HRN,208,0,212
HRT,153,0,240
[HRY,inf,0,0
HT,81,0,73
HTN,41,0,73
HTNC,42,0,101
HTO,82,0,146
HVL,48,0,244
HVS,26,0,3
HVSM,25,0,62
HVSP,27,0,4
HWD,52,0,361
HWZB,17,0,279
HZE,124,0,214
IJT,228,0,166
KBD,174,0,233
KBK,94,0,280
KLP,67,0,73
KMA,24,0,292
KMR,217,0,276
KMW,250,0,173
KPN,123,0,159
KPNZ,93,0,149
KRD,217,0,287
KRG,181,0,233
KTR,83,0,197
KW,222,0,233
KZ,18,0,282
LAA,60,0,255
LC,120,0,279
LDL,47,0,137
LDM,73,0,198
LEDN,46,0,127
LEER,283,0,251
LG,212,0,276
LLS,51,0,134
LLZM,76,0,159
LP,240,0,239
LTN,68,0,261
LTV,138,0,281
LUT,194,0,259
LW,203,0,148
LWC,206,0,165
MAS,26,0,14
MDB,211,0,233
MES,217,0,261
MG,213,0,165
MMLH,120,0,351
MP,136,0,159
MRB,142,0,166
MRN,53,0,105
MT,211,0,259
MTH,223,0,235
MTN,214,0,261
MTR,212,0,261
MZ,134,0,219
[NEA,inf,0,0
NDB,20,0,18
NH,202,0,290
NKK,53,0,244
NM,110,0,330
NMD,115,0,351
NMGO,113,0,351
NMH,113,0,351
NML,109,0,344
NS,81,0,244
NSCH,258,0,242
NVD,140,0,159
NVP,27,0,255
NWK,74,0,158
O,100,0,146
OBD,58,0,371
ODB,135,0,319
ODZ,159,0,346
OMN,131,0,166
OP,87,0,200
OST,110,0,310
OT,102,0,189
OTB,87,0,95
OVN,27,0,295
OW,99,0,149
PMO,31,0,280
PMR,30,0,279
PMW,29,0,282
PT,60,0,247
RAI,5,0,3
RAT,126,0,159
RB,171,0,233
RD,252,0,243
RH,101,0,333
RHN,76,0,108
RL,125,0,281
RLB,91,0,206
RM,165,0,208
RS,88,0,149
RSD,142,0,197
RSN,126,0,310
RSW,65,0,152
RTA,79,0,158
RTB,85,0,197
RTD,84,0,127
RTN,84,0,160
RTST,89,0,206
RTZ,88,0,206
RV,176,0,257
RVS,108,0,167
SBK,197,0,289
SD,37,0,18
SDA,241,0,233
SDM,80,0,253
SDT,98,0,228
SDTB,101,0,229
SGL,221,0,275
SGN,66,0,371
SHL,17,0,77
SK,225,0,165
SKND,224,0,165
SM,170,0,257
SN,199,0,290
SOG,219,0,276
SPTN,32,0,313
SPTZ,30,0,313
SRN,183,0,286
SSH,38,0,255
ST,38,0,18
STD,190,0,257
STM,236,0,239
STV,254,0,173
STZ,39,0,18
SWD,225,0,227
SWK,150,0,209
TB,103,0,146
TBG,127,0,367
TBR,108,0,159
TBU,104,0,159
TG,170,0,293
TL,71,0,197
TPSW,69,0,197
TWL,95,0,279
UHM,249,0,243
UHZ,246,0,243
UST,241,0,242
UT,33,0,0
UTG,29,0,317
UTLN,37,0,73
UTLR,36,0,73
UTM,41,0,73
UTO,36,0,73
UTT,38,0,73
UTVR,34,0,73
UTZL,31,0,17
VB,64,0,156
VD,115,0,279
VDL,213,0,276
VDM,241,0,240
VEM,99,0,281
VG,85,0,146
VH,46,0,338
VHP,148,0,169
VK,222,0,276
VL,165,0,292
VLB,142,0,393
VNDC,68,0,107
VNDW,67,0,107
VP,97,0,333
VRY,149,0,394
VS,217,0,235
VSS,216,0,235
VST,51,0,222
VSV,134,0,367
VTN,40,0,78
VZ,145,0,380
WAD,71,0,248
WADN,70,0,248
WADT,72,0,158
WC,115,0,170
WD,49,0,73
WDN,134,0,317
WF,83,0,95
WFM,238,0,242
WH,117,0,320
WK,241,0,168
WL,116,0,350
WM,22,0,282
WP,11,0,12
WR,268,0,251
WS,246,0,242
WSM,230,0,228
WT,141,0,208
WTV,96,0,332
WV,163,0,148
WW,148,0,293
WWW,147,0,293
WZ,99,0,257
YPB,68,0,159
ZA,93,0,200
ZB,233,0,236
ZBM,68,0,197
ZD,16,0,279
ZDK,19,0,282
ZH,226,0,227
ZL,108,0,145
ZLSH,113,0,159
ZLW,119,0,314
ZP,103,0,279
ZTM,73,0,156
ZTMO,74,0,159
ZV,105,0,330
ZVB,127,0,319
ZVT,33,0,296
ZWD,102,0,311
ZZS,19,0,282
