Station Code,Distance from ASB,Services from/to ASB,Disruptions on path to ASB
AC,5,46.70967741935484,0
AH,87,21.193548387096776,54
AHP,88,0.0,311
AHPR,90,0.0,311
AHZ,95,0.0,311
AKL,76,0.0,44
AKM,185,0.0,68
ALM,27,0.0,3
ALMB,33,0.0,134
ALMM,26,0.0,18
ALMO,35,0.0,134
ALMP,29,0.0,134
AMF,42,0.0,4
AMFS,45,0.0,244
AML,139,0.0,310
AMPO,24,0.0,18
AMR,49,3.096774193548387,285
AMRI,141,0.0,380
AMRN,50,0.1290322580645161,360
ANA,79,0.1290322580645161,371
APD,85,0.0,244
APDM,86,0.0,279
APDO,88,0.0,279
APG,248,0.0,98
APN,55,0.0,10
ARN,199,0.0,160
ASA,4,57.25806451612903,0
ASB,0,0.0,0
ASD,10,59.193548387096776,0
ASDL,17,0.0,258
ASDM,6,47.41935483870968,0
ASDZ,6,66.90322580645162,0
ASHD,1,46.70967741935484,0
ASN,186,0.0,18
ASS,14,53.516129032258064,258
ASSP,7,0.0,14
ATN,139,0.0,348
AVAT,48,0.0,250
BD,120,0.0,129
BDE,201,0.0,210
BDG,47,0.0,1
BDM,229,0.0,87
BDPB,121,0.0,277
BET,99,0.064516129032258,116
BF,233,0.0,87
BGN,147,0.0,276
BHDV,87,0.0,64
BHV,38,0.0,73
BK,194,0.0,211
BKF,68,7.387096774193548,343
BKG,67,7.387096774193548,339
BKL,17,46.70967741935484,127
BL,170,0.0,18
BLL,32,0.0,295
BMN,109,0.0,314
BMR,131,0.0,89
BN,148,0.0,380
BNC,61,0.0,245
BNK,37,6.580645161290323,73
BNN,58,0.0,244
BNZ,63,0.0,261
BP,227,0.0,261
BR,159,30.741935483870968,191
BRD,87,0.0,161
BRN,33,0.0,4
BSD,62,0.0,43
BSK,61,0.0,91
BSKS,62,0.0,114
BSMZ,21,0.0,29
BTL,89,0.064516129032258,116
BV,39,0.0,279
BZL,179,0.0,307
CAS,37,3.096774193548387,282
CK,121,0.0,86
CL,47,0.0,101
CO,163,0.0,38
CPS,65,36.483870967741936,85
CVM,211,0.0,228
DA,150,0.0,28
DB,41,7.32258064516129,0
DDN,143,0.0,294
DDR,96,1.4516129032258065,155
DDRS,99,0.0,272
DDZD,97,0.0,272
DEI,207,0.0,261
DID,106,0.0,311
DL,120,0.0,18
DLD,41,0.0,93
DLN,167,0.0,52
DMN,9,0.0,14
DMNZ,4,0.0,3
DN,131,30.741935483870968,163
DR,103,0.0,311
DRH,37,0.0,296
DRON,76,0.0,148
DRP,214,0.0,275
DT,70,2.7096774193548385,217
DTC,117,0.0,331
DTCH,115,0.0,331
DTCP,71,0.0,318
DV,100,0.0,244
DVC,104,0.0,279
DVD,2,49.61290322580645,0
DVN,96,0.0,313
DVNK,49,0.0,212
DWE,220,0.0,261
DZ,252,0.0,116
DZW,251,0.0,116
EC,174,0.0,208
ED,70,20.193548387096776,32
EDC,72,0.0,54
EDN,216,0.0,212
EEM,259,0.0,115
EGH,210,0.0,227
EGHM,211,0.0,227
EHS,108,0.0,192
EHV,109,41.193548387096776,116
EKZ,71,7.387096774193548,351
EML,65,0.0,244
EMN,183,0.0,53
EMNZ,179,0.0,52
ES,156,0.0,346
ESK,152,0.0,346
EST,98,0.0,311
ETN,131,0.0,452
FN,220,0.0,261
FWD,217,0.0,261
GBG,156,0.0,38
GD,52,38.70967741935484,0
GDG,49,36.483870967741936,1
GDM,55,0.032258064516129,0
GDR,122,0.0,348
GERP,212,0.0,71
GK,233,0.0,86
GLN,190,0.0,210
GN,214,0.0,71
GND,90,0.0,64
GNN,218,0.0,86
GO,133,0.0,286
GP,115,0.0,178
GR,81,0.0,62
GS,184,0.0,160
GV,62,2.7096774193548385,202
GVC,61,2.225806451612903,202
GVM,57,0.0,297
GVMW,63,0.0,217
GW,190,0.0,75
GZ,110,0.0,131
HAD,33,0.0,279
HB,201,0.0,241
HBZM,93,0.0,74
HD,69,0.0,247
HDB,150,0.0,25
HDE,90,0.0,244
HDG,213,0.0,261
HDR,91,0.1290322580645161,380
HDRZ,90,0.1290322580645161,380
HFD,22,0.0,74
HGL,148,0.0,327
HGLG,146,0.0,327
HGLO,150,0.0,346
HGV,156,0.0,18
HGZ,225,0.0,94
HIL,40,0.0,279
HK,36,0.0,318
HKS,63,7.387096774193548,335
HLG,229,0.0,262
HLGH,230,0.0,266
HLM,29,1.1935483870967742,258
HLMS,28,1.1935483870967742,279
HLO,44,3.096774193548387,285
HM,122,30.741935483870968,159
HMBH,123,0.0,163
HMBV,119,0.0,178
HMH,121,0.0,178
HMN,86,0.0,46
HN,53,7.387096774193548,279
HNK,54,7.387096774193548,335
HNO,120,0.0,18
HNP,245,0.0,264
HON,119,0.0,279
HOR,32,0.0,4
HR,174,0.0,75
HRL,205,0.0,210
HRLW,207,0.0,227
HRN,208,0.0,71
HRT,149,30.741935483870968,191
HT,77,41.193548387096776,43
HTN,37,0.0,73
HTNC,38,0.0,101
HTO,78,0.0,116
HVL,48,0.0,244
HVS,26,0.0,3
HVSM,25,0.0,62
HVSP,27,0.0,4
HWD,56,0.1290322580645161,361
HWZB,21,1.1935483870967742,279
HZE,120,0.0,184
IJT,228,0.0,262
KBD,166,0.0,160
KBK,94,0.0,280
KLP,63,20.161290322580644,32
KMA,28,43.41935483870968,292
KMR,213,0.0,227
KMW,250,0.0,269
KPN,123,0.0,18
KPNZ,93,0.0,149
KRD,213,0.0,238
KRG,173,0.0,160
KTR,79,0.0,43
KW,222,0.0,92
KZ,22,43.41935483870968,282
LAA,60,1.8064516129032255,202
LC,120,0.0,279
LDL,47,0.0,212
LDM,69,0.0,44
LEDN,46,3.096774193548387,202
LG,208,0.0,227
LLS,51,0.0,134
LLZM,65,0.0,85
LP,240,0.0,98
LTN,68,0.0,261
LTV,138,0.0,281
LUT,190,0.0,210
LW,203,0.0,244
LWC,206,0.0,261
MAS,22,10.225806451612904,0
MDB,203,0.0,187
MES,213,0.0,212
MG,213,0.0,261
MMLH,116,0.0,75
MP,136,0.0,18
MRB,142,0.0,25
MRN,49,1.5483870967741935,32
MT,207,9.67741935483871,210
MTH,223,0.0,94
MTN,210,0.0,212
MTR,208,0.0,212
MZ,130,0.0,189
NDB,20,0.0,18
NH,198,0.0,241
NKK,53,0.0,244
NM,106,8.290322580645162,54
NMD,111,0.0,75
NMGO,109,0.0,75
NMH,109,0.0,75
NML,105,0.0,325
NS,81,0.0,244
NSCH,258,0.0,101
NVD,140,0.0,27
NVP,27,0.0,202
NWK,61,36.483870967741936,85
O,96,0.0,116
OBD,62,0.0,279
ODB,127,0.0,277
ODZ,159,0.0,346
OMN,131,0.0,25
OP,83,0.0,46
OST,110,0.0,310
OT,98,0.0,159
OTB,83,0.0,54
OVN,31,0.0,295
OW,95,0.0,116
PMO,35,0.064516129032258,258
PMR,34,0.0,279
PMW,33,0.0,282
PT,60,0.0,244
RAI,5,0.0,3
RAT,126,0.0,18
RB,163,0.0,277
RD,252,0.0,102
RH,97,0.0,312
RHN,72,1.5483870967741935,35
RL,125,0.0,281
RLB,83,0.0,155
RM,161,9.67741935483871,159
RS,84,0.0,116
RSD,134,0.0,155
RSN,126,0.0,279
RSW,65,0.0,217
RTA,66,36.483870967741936,85
RTB,77,1.4516129032258065,155
RTD,76,39.193548387096776,85
RTN,71,36.483870967741936,87
RTST,81,0.0,155
RTZ,80,0.0,155
RV,172,0.0,208
