Station Code,Distance from ASDM,Services from/to ASDM,Disruptions on path to ASDM
AC,11,46.74193548387097,0
AH,92,0.0,280
AHP,93,0.0,537
AHPR,95,0.0,537
AHZ,100,0.0,537
AKL,82,0.0,58
AKM,184,0.0,65
ALM,26,39.74193548387097,8
ALMB,32,39.74193548387097,139
ALMM,25,39.74193548387097,7
ALMO,34,39.74193548387097,139
ALMP,28,39.74193548387097,139
AMF,41,38.193548387096776,0
AMFS,44,32.96774193548387,240
AML,138,0.0,306
AMPO,23,39.74193548387097,7
AMR,43,2.838709677419355,285
AMRI,140,0.0,376
AMRN,44,0.0,360
ANA,73,0.0,371
APD,84,0.0,240
APDM,85,0.0,275
APDO,87,0.0,275
APG,247,0.0,95
APN,61,0.0,24
ARN,205,0.0,174
ASA,2,46.70967741935484,0
ASB,6,46.70967741935484,0
ASD,4,123.80645161290325,0
ASDL,11,53.74193548387097,258
ASDM,0,0.0,0
ASDZ,8,0.0,40
ASHD,7,46.70967741935484,14
ASN,185,0.0,15
ASS,8,97.16129032258064,258
ASSP,1,77.96774193548387,0
ATN,144,0.0,574
AVAT,47,32.96774193548387,246
BD,126,0.0,246
BDE,207,0.0,327
BDG,53,0.0,15
BDM,228,0.0,84
BDPB,127,0.0,291
BET,105,0.0,233
BF,232,0.0,84
BGN,153,0.0,290
BHDV,93,0.0,78
BHV,44,0.0,110
BK,200,0.0,328
BKF,62,0.0,343
BKG,61,0.0,339
BKL,23,46.70967741935484,127
BL,169,0.0,15
BLL,26,0.0,295
BMN,109,0.0,275
BMR,136,0.0,315
BN,147,0.0,376
BNC,60,0.0,241
BNK,43,6.580645161290323,110
BNN,57,0.0,240
BNZ,62,0.0,257
BP,226,0.0,257
BR,165,0.0,308
BRD,93,0.0,175
BRN,32,38.193548387096776,1
BSD,68,0.0,57
BSK,67,0.0,105
BSKS,68,0.0,128
BSMZ,20,38.2258064516129,18
BTL,95,0.0,233
BV,33,0.0,279
BZL,185,0.0,321
CAS,31,2.838709677419355,282
CK,126,0.0,312
CL,53,0.0,138
CO,162,0.0,35
CPS,71,36.483870967741936,99
CVM,217,0.0,345
DA,149,0.0,25
DB,47,6.580645161290323,14
DDN,142,0.0,290
DDR,102,0.0,169
DDRS,105,0.0,286
DDZD,103,0.0,286
DEI,206,0.0,257
DID,111,0.0,537
DL,119,0.0,15
DLD,44,0.0,15
DLN,166,0.0,49
DMN,3,77.96774193548387,0
DMNZ,6,0.0,40
DN,137,0.0,280
DR,108,0.0,537
DRH,31,0.0,296
DRON,75,36.87096774193548,153
DRP,213,0.0,271
DT,72,0.0,119
DTC,122,0.0,557
DTCH,120,0.0,557
DTCP,73,0.0,220
DV,99,0.0,240
DVC,103,0.0,275
DVD,4,46.70967741935484,37
DVN,101,0.0,539
DVNK,51,18.32258064516129,100
DWE,219,0.0,257
DZ,251,0.0,113
DZW,250,0.0,113
EC,180,0.0,325
ED,75,0.0,258
EDC,73,0.0,257
EDN,222,0.0,329
EEM,258,0.0,112
EGH,216,0.0,344
EGHM,217,0.0,344
EHS,114,0.0,309
EHV,115,0.0,233
EKZ,65,0.0,351
EML,64,0.0,240
EMN,182,0.0,50
EMNZ,178,0.0,49
ES,155,0.0,342
ESK,151,0.0,342
EST,103,0.0,537
ETN,137,0.0,569
FN,219,0.0,257
FWD,216,0.0,257
GBG,155,0.0,35
