Station Code,Distance from ASDZ,Services from/to ASDZ,Disruptions on path to ASDZ
AC,11,0.0,14
AH,93,19.580645161290324,76
AHP,94,0.0,333
AHPR,96,0.0,333
AHZ,101,0.0,333
AKL,82,0.0,120
AKM,187,0.8709677419354839,65
ALM,29,80.16129032258064,0
ALMB,35,29.096774193548388,131
ALMM,28,37.29032258064516,18
ALMO,37,22.35483870967742,131
ALMP,31,22.29032258064516,131
AMF,44,36.54838709677419,1
AMFS,47,17.161290322580644,241
AML,141,16.806451612903224,307
AMPO,26,37.29032258064516,18
AMR,51,0.0,285
AMRI,143,0.0,377
AMRN,52,0.0,360
ANA,81,0.0,371
APD,87,18.06451612903226,241
APDM,88,0.0,276
APDO,90,0.0,276
APG,250,0.0,95
APN,55,0.0,145
ARN,201,0.0,203
ASA,6,0.0,3
ASB,6,55.774193548387096,0
ASD,12,0.032258064516129,0
ASDL,19,0.0,258
ASDM,8,0.0,40
ASDZ,0,0.0,0
ASHD,7,0.0,14
ASN,188,17.322580645161292,15
ASS,16,0.0,258
ASSP,9,0.0,54
ATN,145,0.0,370
AVAT,50,0.0,247
BD,126,0.0,162
BDE,207,0.0,265
BDG,53,0.0,15
BDM,231,0.0,84
BDPB,123,0.0,320
BET,105,0.0,76
BF,235,0.0,84
BGN,149,0.0,319
BHDV,93,0.0,140
BHV,44,0.0,76
BK,200,0.0,266
BKF,70,0.0,343
BKG,69,0.0,339
BKL,23,0.0,141
BL,172,0.935483870967742,15
BLL,34,0.0,295
BMN,112,0.0,276
BMR,137,0.0,368
BN,150,0.0,377
BNC,63,0.0,242
BNK,43,0.0,76
BNN,60,0.0,241
BNZ,65,0.0,258
BP,229,0.0,258
BR,165,30.741935483870968,246
BRD,89,0.0,204
BRN,35,0.032258064516129,1
BSD,68,0.0,119
BSK,61,0.0,226
BSKS,62,0.0,249
BSMZ,23,16.774193548387096,29
BTL,95,0.032258064516129,149
BV,41,0.0,279
BZL,181,0.0,350
CAS,39,0.0,282
CK,127,0.0,365
CL,53,0.0,104
CO,165,0.0,35
CPS,71,0.0,99
CVM,210,0.0,161
DA,152,0.0,25
DB,47,0.1290322580645161,76
DDN,145,0.0,291
DDR,98,8.258064516129032,198
DDRS,101,0.0,315
DDZD,99,0.0,315
DEI,209,0.0,258
DID,112,0.0,333
DL,122,0.0,15
DLD,47,0.0,96
DLN,169,0.0,49
DMN,11,0.0,54
DMNZ,6,54.096774193548384,3
DN,137,30.741935483870968,218
DR,109,0.0,333
DRH,39,0.0,296
DRON,78,0.0,145
DRP,216,0.0,272
DT,64,9.03225806451613,143
DTC,123,0.0,353
DTCH,121,0.0,353
DTCP,65,0.0,244
DV,102,16.967741935483872,241
DVC,106,0.0,276
DVD,4,97.4516129032258,0
DVN,102,0.0,335
DVNK,43,3.4838709677419355,138
DWE,222,0.0,258
DZ,254,0.0,113
DZW,253,0.0,113
EC,180,0.0,263
ED,76,19.580645161290324,76
EDC,76,0.0,258
EDN,222,0.0,267
EEM,261,0.0,112
EGH,209,0.0,160
EGHM,210,0.0,160
EHS,114,0.0,152
EHV,115,31.61290322580645,152
EKZ,73,0.0,351
EML,67,0.0,241
EMN,185,0.0,50
EMNZ,181,0.0,49
ES,158,16.806451612903224,343
ESK,154,0.2903225806451613,343
EST,104,0.0,333
ETN,137,0.0,485
FN,222,0.0,258
FWD,219,0.0,258
GBG,158,0.0,35
GD,58,0.0,14
GDG,55,0.0,15
GDM,61,0.032258064516129,76
GDR,128,0.0,370
GERP,214,0.9032258064516128,68
GK,235,0.0,83
GLN,196,0.0,265
GN,216,17.322580645161292,68
GND,96,0.0,140
GNN,220,0.0,83
GO,135,0.0,283
GP,121,0.0,214
GR,87,0.0,138
GS,186,0.0,203
GV,56,9.064516129032258,128
GVC,55,40.0,128
GVM,51,3.4838709677419355,223
GVMW,57,0.0,143
GW,192,0.8709677419354839,72
GZ,116,0.0,164
HAD,35,0.0,279
HB,207,0.0,296
HBZM,99,0.0,150
HD,71,0.0,244
HDB,152,0.0,22
HDE,92,0.0,241
HDG,215,0.0,258
HDR,93,0.0,380
HDRZ,92,0.0,380
HFD,16,51.774193548387096,0
HGL,150,16.806451612903224,324
HGLG,148,0.0,324
HGLO,152,0.0,343
HGV,158,1.1290322580645162,15
HGZ,227,0.0,91
HIL,42,0.0,279
HK,38,0.0,318
HKS,65,0.0,335
HLG,231,0.0,259
HLGH,232,0.0,263
HLM,31,0.0,258
HLMS,30,0.0,279
HLO,46,0.0,285
HM,128,30.741935483870968,214
HMBH,129,0.0,218
HMBV,125,0.0,214
HMH,127,0.0,214
HMN,92,0.0,122
HN,55,0.0,279
HNK,56,0.0,335
HNO,122,0.0,15
HNP,247,0.0,261
HON,121,0.0,276
HOR,34,16.774193548387096,1
HR,176,16.838709677419356,72
HRL,204,0.0,143
HRLW,206,0.0,160
HRN,210,0.9032258064516128,68
HRT,155,30.741935483870968,246
HT,83,31.61290322580645,76
HTN,43,0.0,76
HTNC,44,0.0,104
HTO,84,0.0,149
HVL,50,0.0,241
HVS,28,53.32258064516129,0
HVSM,27,16.774193548387096,62
HVSP,29,16.774193548387096,1
HWD,58,0.0,361
HWZB,23,0.0,279
HZE,126,0.0,220
IJT,230,0.0,259
KBD,168,0.0,203
KBK,96,0.0,277
KLP,69,19.580645161290324,76
KMA,30,0.0,292
KMR,212,0.0,160
KMW,252,0.0,266
KPN,125,0.0,15
KPNZ,95,0.0,146
KRD,212,0.0,171
KRG,175,0.0,203
KTR,85,0.0,119
KW,224,0.0,89
KZ,24,0.0,282
LAA,54,14.774193548387096,128
LC,122,0.0,276
LDL,41,0.0,138
LDM,75,0.0,120
LEDN,40,49.064516129032256,128
LG,207,0.0,160
LLS,53,43.516129032258064,131
LLZM,70,0.0,157
LP,242,0.0,95
LTN,70,0.0,258
LTV,140,0.0,278
LUT,196,0.0,265
LW,205,16.838709677419356,241
LWC,208,0.0,258
MAS,28,0.0,14
MDB,205,0.0,230
MES,219,0.0,267
MG,215,0.0,258
MMLH,122,0.0,354
MP,138,17.806451612903224,15
MRB,144,0.0,22
MRN,55,0.0,108
MT,213,0.0967741935483871,265
MTH,225,0.0,91
MTN,216,0.0,267
MTR,214,0.0,267
MZ,136,0.0,225
NDB,22,16.774193548387096,18
NH,204,0.0,296
NKK,55,0.0,241
NM,112,7.67741935483871,333
NMD,117,0.0,354
NMGO,115,0.0,354
NMH,115,0.0,354
NML,111,0.0,347
NS,83,0.0,241
NSCH,260,0.0,98
NVD,142,0.0,24
NVP,21,3.4838709677419355,128
NWK,67,0.0,99
O,102,0.0,149
OBD,64,0.0,279
ODB,129,0.0,320
ODZ,161,0.0,343
OMN,133,0.0,22
OP,89,0.0,122
OST,112,0.0,307
OT,104,0.0,192
OTB,89,0.0,98
OVN,33,0.0,295
OW,101,0.0,149
PMO,37,0.0,258
PMR,36,0.0,279
PMW,35,0.0,282
PT,62,0.0,241
RAI,1,54.064516129032256,0
RAT,128,0.0,15
RB,165,0.0,320
RD,254,0.0,99
RH,103,0.0,334
RHN,78,0.0,111
RL,127,0.0,278
RLB,85,0.0,198
RM,167,0.0967741935483871,214
RS,90,0.0,149
RSD,136,0.0,198
RSN,128,0.064516129032258,276
RSW,59,0.0,143
RTA,72,0.0,99
RTB,79,8.258064516129032,198
RTD,78,9.03225806451613,128
RTN,77,0.0,101
RTST,83,0.0,198
RTZ,82,0.0,198
RV,178,0.0,263
RVS,110,0.0,170
SBK,199,0.0,295
SD,39,0.0,15
SDA,243,0.0,89
SDM,74,9.03225806451613,244
SDT,100,0.0,150
SDTB,103,0.0,151
SGL,220,0.0,160
SGN,72,0.0,371
SHL,11,192.9032258064516,0
SK,227,0.0,258
SKND,226,0.0,258
SM,172,0.0,263
SN,201,0.0,296
SOG,214,0.0,160
SPTN,38,0.0,295
SPTZ,36,0.0,295
SRN,185,0.0,292
SSH,32,3.4838709677419355,128
ST,40,0.0,15
STD,192,0.0967741935483871,263
STM,238,0.0,95
STV,256,0.0,266
STZ,41,0.0,15
SWD,227,0.0,83
SWK,152,16.838709677419356,65
