station,distance,services_per_day,n_of_disruptions
AC,4,46.70967741935484,0
AH,88,0,87
AHP,89,0,344
AHPR,91,0,346
AHZ,96,0,344
AKL,77,0,212
AKM,186,0,169
ALM,28,0,17
ALMB,34,0,148
ALMM,27,0,32
ALMO,36,0,148
ALMP,30,0,148
AMF,43,0,18
AMFS,46,0,258
AML,140,0,324
AMPO,25,0,32
AMR,50,2.838709677419355,299
AMRI,142,0,394
AMRN,51,0,374
ANA,80,0,385
APD,86,0,258
APDM,87,0,293
APDO,89,0,293
APG,249,0,247
APN,62,0,81
ARN,208,0,170
ASA,5,47.354838709677416,14
ASB,1,47.483870967741936,0
ASD,11,47.354838709677416,14
ASDL,18,0,293
ASDM,7,47.354838709677416,51
ASDZ,7,0,14
ASN,187,0,173
ASS,15,43.41935483870968,272
ASSP,8,0,65
ATN,140,0,381
AVAT,49,0,264
BD,121,0,173
BDE,202,0,274
BDG,57,0,88
BDM,230,0,242
BDPB,126,0,496
BET,100,0,203
BF,234,0,242
BGN,156,0,139
BHDV,88,0,232
BHV,39,0,87
BK,195,0,274
BKF,69,0,357
BKG,68,0,353
BKL,28,46.70967741935484,17
BL,171,0,167
BLL,33,0,309
BMN,110,0,347
BMR,132,0,379
BN,149,0,394
BNC,62,0,259
BNK,38,6.580645161290323,87
BNN,59,0,258
BNZ,64,0,275
BP,228,0,179
BR,160,0,254
BRD,96,0,149
BRN,34,0,18
BSD,63,0,211
BSK,68,0,162
BSKS,69,0,185
BSMZ,22,0,43
BTL,90,0,160
BV,40,0,332
BZL,188,0,170
CAS,38,2.838709677419355,296
CK,122,0,376
CL,48,0,115
CO,164,0,193
CPS,75,36.483870967741936,172
CVM,212,0,291
DA,151,0,394
DB,42,6.580645161290323,87
DDN,144,0,308
DDR,105,0,134
DDRS,102,0,243
DDZD,106,0,251
DEI,208,0,179
DID,107,0,344
DL,121,0,173
DLD,42,0,107
DLN,168,0,207
DMN,10,0,65
DMNZ,5,0,17
DN,132,0,226
DR,104,0,344
DRH,38,0,328
DRON,77,0,162
DRP,215,0,193
DT,71,0,89
DTC,118,0,364
DTCH,116,0,364
DTCP,72,0,190
DV,101,0,258
DVC,105,0,324
DVD,3,47.354838709677416,14
DVN,97,0,346
DVNK,50,0,74
DWE,221,0,179
DZ,253,0,271
DZW,252,0,271
EC,175,0,271
ED,71,0,87
EDC,73,0,109
EDN,217,0,275
EEM,260,0,270
EGH,211,0,290
EGHM,212,0,290
EHS,109,0,279
EHV,110,0,160
EKZ,72,0,365
EML,66,0,261
EMN,184,0,208
EMNZ,180,0,207
ES,157,0,360
ESE,163,0,389
ESK,153,0,360
EST,99,0,344
ETN,132,0,496
FN,221,0,179
FWD,218,0,179
GBG,157,0,193
GBR,166,0,389
GD,62,36.483870967741936,87
GDG,59,36.483870967741936,87
GDM,56,0,168
GDR,123,0,381
GERP,213,0,226
GK,234,0,241
GLN,191,0,273
GN,215,0,226
GND,91,0,232
GNN,219,0,241
GO,134,0,300
GP,116,0,222
GR,82,0,230
GS,193,0,170
GV,63,0,74
GVC,62,0,64
GVM,58,0,159
GVMW,64,0,89
GW,191,0,169
GZ,111,0,175
HAD,34,0,309
HB,202,0,304
HBZM,94,0,242
HD,70,0,261
HDB,151,0,180
HDE,91,0,258
HDG,214,0,179
HDR,92,0,394
HDRZ,91,0,394
HFD,23,0,64
HGL,149,0,341
HGLG,147,0,341
HGLO,151,0,360
HGV,157,0,162
HGZ,226,0,249
HIL,41,0,349
HK,37,0,332
HKS,64,0,349
HLG,230,0,180
HLGH,231,0,184
HLM,30,0,272
HLMS,29,0,293
HLO,45,2.838709677419355,299
HM,123,0,222
HMBH,124,0,226
HMBV,120,0,222
HMH,122,0,222
HMN,87,0,214
HN,54,0,293
