station,distance,services_per_day,n_of_disruptions
AC,19,44.354838709677416,272
AH,100,35.806451612903224,539
AHP,101,0,796
AHPR,103,0,798
AHZ,108,0.8387096774193549,796
AKL,90,0,456
AKM,192,0,410
ALM,34,35.29032258064516,258
ALMB,40,35.29032258064516,389
ALMM,33,35.29032258064516,279
ALMO,42,35.29032258064516,389
ALMP,36,35.29032258064516,389
AMF,49,17.612903225806452,259
AMFS,52,14.806451612903226,499
AML,146,0,565
AMPO,31,35.29032258064516,279
AMR,35,88.0,6
AMRI,148,0,635
AMRN,36,63.29032258064516,81
ANA,65,36.096774193548384,92
APD,92,0,499
APDM,93,0,534
APDO,95,0,534
APG,255,0,488
APN,59,0,67
ARN,205,17.677419354838708,156
ASA,10,122.48387096774194,258
ASB,14,56.25806451612903,258
ASD,4,299.2903225806452,0
ASDL,3,80.93548387096774,0
ASDM,8,97.2258064516129,258
ASDZ,16,0,258
ASHD,15,44.354838709677416,272
ASN,193,0,408
ASSP,9,52.903225806451616,272
ATN,152,0,833
AVAT,55,14.806451612903226,505
BD,132,0,120
BDE,215,0.03225806451612903,518
BDG,67,0,148
BDM,236,0,483
BDPB,127,0,242
BET,113,0.0967741935483871,447
BF,240,0,483
BGN,153,27.483870967741936,125
BHDV,101,0,476
BHV,52,0,331
BK,208,0,518
BKF,54,40.41935483870968,64
BKG,53,40.41935483870968,60
BKL,41,44.354838709677416,275
BL,177,0,408
BLL,18,35.61290322580645,37
BMN,117,0,534
BMR,144,0,831
BN,155,0,635
BNC,68,0,500
BNK,51,6.096774193548387,331
BNN,65,0,499
BNZ,70,0,516
BP,234,0,420
BR,173,0,498
BRD,93,0,135
BRN,40,17.612903225806452,259
BSD,76,0,455
BSK,65,0,148
BSKS,66,0,171
BSMZ,28,17.612903225806452,290
BTL,103,0.06451612903225806,404
BV,25,35.70967741935484,39
BZL,185,17.677419354838708,156
CAS,23,88.0,3
CK,134,0,828
CL,61,0,359
CO,170,0,434
CPS,88,35.45161290322581,416
CVM,225,0,535
DA,157,0,635
DB,55,41.903225806451616,331
DDN,150,0,549
DDR,102,28.580645161290324,120
DDRS,105,0,237
DDZD,103,0,237
DEI,214,0,420
DID,119,0,796
DL,127,0,414
DLD,52,0,273
DLN,174,0,448
DMN,11,52.903225806451616,272
DMNZ,14,0,298
DN,145,0,470
DR,116,0,796
DRH,23,35.61290322580645,56
DRON,83,32.70967741935484,403
DRP,221,0,434
DT,68,30.387096774193548,75
DTC,130,0,816
DTCH,128,0,816
DTCP,69,0,176
DV,107,0,499
DVC,111,0,565
DVD,12,46.70967741935484,295
DVN,109,0,798
DVNK,47,38.16129032258065,60
DWE,227,0,420
DZ,259,0,512
DZW,258,0,512
EC,188,0,515
ED,83,35.806451612903224,517
EDC,81,0,516
EDN,230,0,519
EEM,266,0,511
EGH,224,0,534
EGHM,225,0,534
EHS,122,0,523
EHV,123,39.516129032258064,404
EKZ,57,40.41935483870968,72
EML,72,0,502
EMN,190,0,449
EMNZ,186,0,448
ES,163,0,601
ESE,169,0,630
ESK,159,0,601
EST,111,0.8709677419354839,796
ETN,143,0,443
FN,227,0,420
FWD,224,0,420
GBG,163,0,434
GBR,172,0,630
GD,75,37.54838709677419,331
GDG,72,35.45161290322581,331
GDM,69,0.0967741935483871,412
GDR,135,0,833
GERP,219,0,467
GK,240,0,482
GLN,204,0,517
GN,221,0,467
GND,104,0,476
GNN,225,0,482
GO,140,0,541
GP,129,0,466
GR,95,0,474
GS,190,26.838709677419356,156
GV,60,30.419354838709676,60
GVC,59,48.61290322580645,50
GVM,55,38.12903225806452,145
GVMW,61,0,75
GW,197,0,410
GZ,124,0,419
HAD,19,38.41935483870968,37
HB,215,0,548
HBZM,107,0,486
HD,76,0,502
HDB,157,0,421
HDE,97,0,499
HDG,220,0,420
HDR,77,36.096774193548384,101
HDRZ,76,36.096774193548384,101
HFD,20,80.93548387096774,50
HGL,155,0,582
HGLG,153,0,582
HGLO,157,0,601
HGV,163,0,403
HGZ,232,0,490
HIL,26,0.25806451612903225,77
HK,22,35.61290322580645,39
HKS,49,40.41935483870968,56
HLG,236,0,421
HLGH,237,0,425
HLM,15,113.7741935483871,0
HLMS,14,69.12903225806451,0
HLO,30,73.19354838709677,6
HM,136,0,466
HMBH,137,0,470
HMBV,133,0,466
HMH,135,0,466
HMN,100,0,458
HN,39,97.93548387096774,0
HNK,40,61.193548387096776,56
HNO,127,0,414
HNP,252,0,423
HON,126,0,565
HOR,39,0,259
HR,181,0,403
HRL,219,11.806451612903226,517
HRLW,221,0,534
HRN,215,0,467
HRT,163,0,498
[HRY,inf,0,0
HT,91,39.516129032258064,331
HTN,51,0,331
HTNC,52,0,359
HTO,92,0,404
HVL,55,0,499
HVS,33,17.612903225806452,258
HVSM,32,17.612903225806452,323
HVSP,34,0,259
HWD,42,63.29032258064516,82
HWZB,7,69.12903225806451,0
HZE,134,0,472
IJT,235,0,421
KBD,172,17.677419354838708,156
KBK,101,0,535
KLP,77,16.548387096774192,331
KMA,14,47.064516129032256,13
KMR,227,0,534
KMW,257,0,428
KPN,130,0,414
KPNZ,100,32.70967741935484,404
KRD,227,0,545
KRG,179,17.741935483870968,156
KTR,93,0,455
KW,229,0,488
KZ,8,47.064516129032256,3
LAA,58,68.0,178
LC,127,0,534
LDL,45,0,60
LDM,83,0,456
LEDN,44,97.29032258064517,50
LEER,290,0,506
LG,222,0,534
LLS,58,35.29032258064516,389
LLZM,74,0,82
LP,247,0,494
LTN,75,0,516
LTV,145,0,536
LUT,204,0,517
LW,210,0,403
LWC,213,0,420
MAS,36,8.903225806451612,272
MDB,209,26.838709677419356,156
MES,227,0,519
MG,220,0,420
MMLH,129,0,817
MP,143,0,414
MRB,149,0,421
MRN,63,1.064516129032258,363
MT,221,25.387096774193548,517
MTH,230,0,490
MTN,224,0,519
MTR,222,0,519
MZ,144,0,477
[NEA,inf,0,0
NDB,27,17.612903225806452,279
NH,212,0,548
NKK,60,0,499
NM,119,35.806451612903224,796
NMD,124,0,817
NMGO,122,0,817
NMH,122,0,817
NML,118,0.8387096774193549,810
NS,88,0,499
NSCH,265,0,497
NVD,147,0,414
NVP,25,53.193548387096776,178
NWK,84,35.45161290322581,416
O,110,0,404
OBD,48,27.225806451612904,92
ODB,133,0.03225806451612903,242
ODZ,166,0,601
OMN,138,0,421
OP,97,0,458
OST,117,0,565
OT,112,0,447
OTB,96,0,539
OVN,17,19.870967741935484,37
OW,109,0,407
PMO,21,32.03225806451613,1
PMR,20,32.67741935483871,0
PMW,19,31.967741935483872,3
PT,67,0,502
