station,distance,services_per_day,n_of_disruptions
AC,51,0,355
AH,57,0,286
AHP,58,0,543
AHPR,60,0,545
AHZ,65,0,543
AKL,74,0,444
AKM,137,0,70
ALM,53,0,259
ALMB,59,0,390
ALMM,52,0,258
ALMO,61,0,390
ALMP,55,0,390
AMF,6,67.29032258064517,6
AMFS,3,67.29032258064517,0
AML,103,0,312
AMPO,50,0,258
AMR,90,0,532
AMRI,105,0,382
AMRN,91,0,607
ANA,120,0,618
APD,49,0,246
APDM,50,0,281
APDO,52,0,281
APG,200,0,100
APN,62,0,256
ARN,205,0,630
ASA,48,0,250
ASB,48,0,250
ASD,51,31.387096774193548,247
ASDL,58,17.225806451612904,526
ASDM,47,31.387096774193548,265
ASDZ,50,0,250
ASHD,49,0,264
ASN,138,0,20
ASS,55,17.225806451612904,505
ASSP,46,31.387096774193548,265
ATN,109,0,580
BD,118,0,405
BDE,199,0,506
BDG,54,0,247
BDM,181,0,89
BDPB,123,0,728
BET,97,0,435
BF,185,0,89
BGN,153,0,599
BHDV,85,0,464
BHV,18,35.483870967741936,250
BK,192,0,506
BKF,109,0,590
BKG,108,0,586
BKL,39,0,322
BL,122,0,25
BLL,73,0,542
BMN,74,0,281
BMR,101,0,578
BN,112,0,382
BNC,25,0,247
BNK,35,0,319
BNN,22,0,246
BNZ,27,0,263
BP,179,0,37
BR,136,0,607
BRD,94,0,489
BRN,15,31.419354838709676,246
BSD,60,0,443
BSK,68,0,337
BSKS,69,0,360
BSMZ,27,31.419354838709676,247
BTL,87,0,392
BV,80,0,565
BZL,185,0,630
CAS,78,0,529
CK,91,0,575
CL,45,0,347
CO,115,0,40
CPS,72,0,404
CVM,209,0,523
DA,102,0,30
DB,39,0,319
DDN,107,0,296
DDR,102,0,477
DDRS,99,0,475
DDZD,103,0,594
DEI,159,0,37
DID,76,0,543
DL,72,0,20
DLD,15,35.483870967741936,246
DLN,119,0,54
DMN,44,31.387096774193548,264
DMNZ,44,0,264
DN,129,0,458
DR,73,0,543
DRH,78,0,561
DRON,92,0,20
DRP,166,0,51
DT,96,0,419
DTC,87,0,563
DTCH,85,0,563
DTCP,96,0,474
DV,64,0,246
DVC,68,0,312
DVD,46,0,247
DVN,66,0,545
DVNK,80,0,354
DWE,172,0,37
DZ,204,0,118
DZW,203,0,118
EC,172,0,503
ED,40,0,264
