station,distance,services_per_day,n_of_disruptions
AC,42,0,34
AH,85,0,74
AHP,86,0,331
AHPR,88,0,333
AHZ,93,0,331
AKL,74,0,199
AKM,191,0,305
ALM,76,0,87
ALMB,82,0,218
ALMM,75,0,86
ALMO,84,0,218
ALMP,78,0,218
AMF,48,0,1
AMFS,51,0,241
AML,145,0,307
AMPO,73,0,86
AMR,87,0,217
AMRI,147,0,377
AMRN,88,0,292
ANA,117,0,303
APD,91,0,241
APDM,92,0,276
APDO,94,0,276
APG,254,0,335
APN,8,41.96774193548387,0
ARN,173,0,295
ASA,60,0,74
ASB,56,0,74
ASD,66,0,74
ASDL,64,0,148
ASDM,62,0,111
ASDZ,62,0,77
ASHD,57,0,88
ASN,192,0,255
ASS,67,0,148
ASSP,63,0,125
ATN,137,0,368
AVAT,54,0,247
BD,100,0,259
BDE,199,0,261
BDM,235,0,324
BDPB,95,0,381
BET,97,0,190
BF,239,0,324
BGN,121,0,264
BHDV,85,0,219
BHV,36,0,74
BK,192,0,261
BKF,121,0,233
BKG,120,0,229
BKL,30,0,1
BL,176,0,260
BLL,55,0,175
BMN,107,0,334
BMR,129,0,366
BN,154,0,377
BNC,67,0,242
BNK,35,0,74
BNN,64,0,241
BNZ,69,0,258
BP,233,0,272
BR,157,0,241
BRD,61,0,274
BRN,51,0,98
BSD,60,0,198
BSK,14,0,81
BSKS,15,0,104
BSMZ,50,0,75
BTL,87,0,147
BV,65,0,195
BZL,153,0,295
CAS,75,0,214
CK,119,0,363
CL,45,0,102
CO,169,0,275
CPS,39,0,189
CVM,209,0,278
DA,156,0,377
DB,39,0,74
DDN,149,0,291
DDR,70,0,259
DDRS,73,0,376
DDZD,71,0,376
DEI,213,0,272
DID,104,0,331
DL,126,0,255
DLD,39,0,94
DLN,173,0,289
DMN,65,0,125
DMNZ,60,0,77
DN,129,0,213
DR,101,0,331
DRH,60,0,194
DRON,125,0,232
DRP,220,0,286
DT,47,0,113
DTC,115,0,351
DTCH,113,0,351
DTCP,48,0,214
DV,106,0,241
DVC,110,0,307
DVD,58,0,74
DVN,94,0,333
DVNK,26,0,98
DWE,226,0,272
DZ,258,0,353
DZW,257,0,353
EC,172,0,258
ED,68,0,74
EDC,70,0,96
EDN,214,0,262
EEM,265,0,352
EGH,208,0,277
EGHM,209,0,277
EHS,106,0,266
EHV,107,0,147
EKZ,124,0,241
EML,71,0,244
EMN,189,0,290
EMNZ,185,0,289
ES,162,0,343
ESE,168,0,372
ESK,158,0,343
EST,96,0,331
ETN,111,0,582
FN,226,0,272
FWD,223,0,272
GBG,162,0,275
GBR,171,0,372
GD,26,0,104
GDG,24,0,1
GDM,53,0,155
GDR,120,0,368
GERP,218,0,308
GK,239,0,323
GLN,188,0,260
GN,220,0,308
GND,84,0,379
GNN,224,0,323
GO,139,0,283
GP,113,0,209
GR,79,0,217
GS,158,0,295
GV,39,0,98
GVC,38,0,98
GVM,34,0,183
GVMW,40,0,113
GW,196,0,312
GZ,108,0,162
HAD,48,0,98
HB,199,0,291
HBZM,81,0,379
HD,75,0,244
HDB,156,0,262
HDE,96,0,241
HDG,219,0,272
HDR,129,0,312
HDRZ,128,0,312
HFD,47,0,98
HGL,154,0,324
HGLG,152,0,324
HGLO,156,0,343
HGV,162,0,255
HGZ,231,0,331
HIL,41,0,98
HK,68,0,213
HKS,116,0,225
HLG,235,0,273
HLGH,236,0,277
HLM,52,0,138
HLMS,53,0,175
HLO,82,0,217
HM,120,0,209
HMBH,121,0,213
HMBV,117,0,209
HMH,119,0,209
HMN,84,0,201
HN,106,0,169
HNK,107,0,225
HNO,126,0,255
HNP,251,0,275
HON,125,0,307
HOR,39,0,74
HR,180,0,255
HRL,203,0,260
HRLW,205,0,277
HRN,214,0,308
HRT,147,0,241
[HRY,inf,0,0
HT,75,0,74
HTN,35,0,74
HTNC,36,0,102
HTO,76,0,147
HVL,54,0,241
HVS,45,0,74
HVSM,46,0,75
HVSP,44,0,74
HWD,94,0,293
HWZB,60,0,175
HZE,118,0,215
IJT,234,0,273
KBD,140,0,295
KBK,100,0,277
KLP,61,0,74
KMA,76,0,214
KMR,211,0,277
KMW,256,0,280
KPN,129,0,255
KPNZ,129,0,255
KRD,211,0,288
KRG,147,0,295
KTR,77,0,198
KW,228,0,329
KZ,75,0,172
LAA,37,0,98
LC,126,0,276
LDL,22,41.87096774193548,81
LDM,67,0,199
LEDN,23,41.87096774193548,88
LEER,289,0,347
LG,206,0,277
LLS,100,0,218
LLZM,39,0,189
LP,246,0,335
LTN,74,0,258
LTV,144,0,278
LUT,188,0,260
