Station Code,Distance from BDM,Services from/to BDM,Disruptions on path to BDM
AC,232,0.0,432
AH,197,0.0,162
AHP,196,0.0,166
AHPR,194,0.0,165
AHZ,205,0.0,419
AKL,255,0.0,521
AKM,87,0.0,58
ALM,202,0.0,94
ALMB,196,0.0,94
ALMM,203,0.0,225
ALMO,194,0.0,83
ALMP,200,0.0,99
AMF,187,0.0,83
AMFS,184,0.0,83
AML,166,0.0,95
AMPO,205,0.0,226
AMR,271,0.0,510
AMRI,168,0.0,165
AMRN,272,0.0,585
ANA,301,0.0,596
APD,167,0.0,83
APDM,168,0.0,118
APDO,164,0.0,159
APG,19,31.096774193548388,0
APN,243,0.0,333
ARN,386,0.0,707
ASA,229,0.0,228
ASB,229,0.0,228
ASD,232,0.0,225
ASDL,239,0.0,504
ASDM,228,0.0,342
ASDZ,231,0.0,225
ASHD,230,0.0,242
ASN,43,0.0,16
ASS,236,0.0,483
ASSP,227,0.0,342
ATN,225,0.0,173
AVAT,181,0.0,89
BD,299,0.0,482
BDE,341,0.0,621
BDG,235,0.0,324
BDM,0,0.0,0
BDPB,304,0.0,805
BET,278,0.0,512
BF,12,0.0,1
BGN,334,0.0,676
BHDV,266,0.0,541
BHV,199,0.0,327
BK,334,0.0,621
BKF,290,0.0,562
BKG,289,0.0,558
BKL,220,0.0,399
BL,59,0.0,69
BLL,254,0.0,514
BMN,175,0.0,159
BMR,241,0.0,454
BN,175,0.0,165
BNC,206,0.0,324
BNK,216,0.0,396
BNN,203,0.0,323
BNZ,208,0.0,340
BP,45,0.0,16
BR,276,0.0,483
BRD,275,0.0,566
BRN,196,0.0,323
BSD,241,0.0,520
BSK,249,0.0,414
BSKS,250,0.0,437
BSMZ,208,0.0,324
BTL,268,0.0,469
BV,261,0.0,537
BZL,366,0.0,707
CAS,259,0.0,501
CK,231,0.0,451
CL,226,0.0,424
CO,176,0.0,103
CPS,253,0.0,481
CVM,351,0.0,638
DA,163,0.0,93
DB,220,0.0,396
DDN,185,0.0,184
DDR,283,0.0,554
DDRS,280,0.0,552
DDZD,284,0.0,671
DEI,73,0.0,33
DID,214,0.0,171
DL,133,0.0,83
DLD,196,0.0,323
DLN,180,0.0,117
DMN,225,0.0,341
DMNZ,225,0.0,341
DN,304,0.0,535
DR,181,0.0,159
DRH,259,0.0,533
DRON,153,0.0,83
DRP,80,0.0,47
DT,277,0.0,496
DTC,225,0.0,191
DTCH,223,0.0,191
DTCP,277,0.0,551
DV,152,0.0,93
DVC,156,0.0,159
DVD,227,0.0,219
DVN,204,0.0,168
DVNK,261,0.0,431
DWE,52,0.0,39
DZ,23,31.096774193548388,18
DZW,22,31.096774193548388,18
EC,314,0.0,618
ED,214,0.0,419
EDC,216,0.0,441
EDN,356,0.0,622
EEM,38,0.0,29
EGH,350,0.0,637
EGHM,351,0.0,637
EHS,287,0.0,588
EHV,288,0.0,469
EKZ,293,0.0,570
EML,164,0.0,86
EMN,196,0.0,118
EMNZ,192,0.0,117
ES,188,0.0,184
ESK,184,0.0,184
EST,208,0.0,419
ETN,310,0.0,805
FN,86,0.0,33
FWD,55,0.0,16
GBG,169,0.0,103
GD,240,0.0,396
GDG,237,0.0,396
GDM,234,0.0,477
GDR,230,0.0,208
GERP,17,0.0,16
GK,34,0.0,16
GLN,330,0.0,620
GN,15,31.096774193548388,1
GND,269,0.0,541
GNN,11,31.096774193548388,1
GO,195,0.0,217
GP,294,0.0,531
GR,260,0.0,539
GS,371,0.0,707
GV,269,0.0,481
GVC,268,0.0,481
GVM,269,0.0,516
GVMW,270,0.0,496
GW,82,0.0,33
GZ,289,0.0,484
HAD,255,0.0,514
HB,341,0.0,651
HBZM,272,0.0,551
HD,160,0.0,83
HDB,163,0.0,90
HDE,139,0.0,83
HDG,59,0.0,16
HDR,313,0.0,599
HDRZ,312,0.0,599
HFD,247,0.0,343
HGL,180,0.0,165
HGLG,182,0.0,184
HGLO,182,0.0,184
HGV,73,0.0,69
HGZ,30,0.0,39
HIL,262,0.0,554
HK,258,0.0,537
HKS,285,0.0,554
HLG,95,0.0,34
HLGH,96,0.0,38
HLM,251,0.0,477
HLMS,250,0.0,498
HLO,266,0.0,504
HM,301,0.0,531
HMBH,302,0.0,535
HMBV,298,0.0,531
