Station Code,Distance from BET,Services from/to BET,Disruptions on path to BET
AC,94,0.0,106
AH,84,0.0,97
AHP,85,0.0,354
AHPR,87,0.0,354
AHZ,76,0.0,129
AKL,65,0.0,117
AKM,234,0.0,377
ALM,119,0.0,86
ALMB,125,0.0,217
ALMM,118,0.0,85
ALMO,127,0.0,217
ALMP,121,0.0,217
AMF,91,0.0,73
AMFS,94,0.0,313
AML,168,0.0,423
AMPO,116,0.0,85
AMR,148,0.0,358
AMRI,170,0.0,493
AMRN,149,0.0,433
ANA,178,0.0,444
APD,131,0.0,357
APDM,130,0.0,358
APDO,134,0.0,392
APG,297,0.0,407
APN,105,0.0,83
ARN,137,0.0,384
ASA,103,0.0,73
ASB,99,0.0,73
ASD,109,0.0,73
ASDL,116,0.0,331
ASDM,105,0.0,110
ASDZ,105,0.0,87
ASHD,98,0.0,233
ASN,235,0.0,327
ASS,113,0.0,331
ASSP,106,0.0,124
ATN,136,0.0,391
AVAT,97,0.0,319
BD,48,0.032258064516129,56
BDE,102,0.0,113
BDG,97,0.0,74
BDM,278,0.0,396
BDPB,53,0.0,379
BET,0,0.0,0
BF,282,0.0,396
BGN,85,0.0,384
BHDV,76,0.0,137
BHV,79,0.0,73
BK,95,0.0,114
BKF,167,0.0,416
BKG,166,0.0,412
BKL,82,0.0,73
BL,219,0.0,327
BLL,131,0.0,368
BMN,106,0.0,357
BMR,90,0.0,129
BN,163,0.0,424
BNC,110,0.0,314
BNK,76,0.0,197
BNN,107,0.0,313
BNZ,112,0.0,330
BP,276,0.0,330
BR,60,0.0,94
BRD,87,0.0,496
BRN,94,0.0,97
BSD,51,0.0,116
BSK,111,0.0,164
BSKS,112,0.0,187
BSMZ,93,0.0,74
BTL,10,61.25806451612903,0
BV,138,0.0,352
BZL,117,0.0,415
CAS,136,0.0,355
CK,80,0.0,126
CL,52,0.0,116
CO,208,0.0,510
CPS,109,0.0,451
CVM,112,0.0,131
DA,179,0.0,493
DB,80,0.0,241
DDN,153,0.0,372
DDR,78,0.0,379
DDRS,81,0.0,496
DDZD,77,0.0,402
DEI,256,0.0,330
DID,103,0.0,354
DL,169,0.0,327
DLD,82,0.0,93
DLN,212,0.0,524
DMN,108,0.0,124
DMNZ,103,0.0,76
DN,32,28.70967741935484,66
DR,100,0.0,354
DRH,136,0.0,369
DRON,168,0.0,231
DRP,263,0.0,344
DT,112,0.032258064516129,496
DTC,114,0.0,374
DTCH,112,0.0,374
DTCP,111,0.0,449
DV,129,0.0,357
DVC,133,0.0,423
DVD,101,0.0,73
DVN,93,0.0,356
DVNK,123,0.0,181
DWE,269,0.0,330
DZ,301,0.0,425
DZW,300,0.0,425
EC,75,0.0,111
ED,101,0.0,354
EDC,103,0.0,376
EDN,117,0.0,115
EEM,308,0.0,424
EGH,111,0.0,130
EGHM,112,0.0,130
EHS,9,59.903225806451616,0
EHV,10,60.0,0
EKZ,170,0.0,424
EML,114,0.0,313
EMN,228,0.0,525
EMNZ,224,0.0,524
ES,166,0.0,424
ESK,162,0.0,424
EST,73,0.0,115
ETN,59,0.0,379
FN,269,0.0,330
FWD,266,0.0,330
GBG,201,0.0,510
GD,102,0.0,73
GDG,99,0.0,73
GDM,44,0.0,73
GDR,119,0.0,391
GERP,261,0.0,380
GK,282,0.0,395
GLN,91,0.0,113
GN,263,0.0,380
GND,79,0.0,137
GNN,267,0.0,395
GO,143,0.0,364
GP,16,28.516129032258064,62
GR,70,0.0,135
GS,122,0.0,384
GV,120,0.032258064516129,597
GVC,121,0.032258064516129,612
GVM,125,0.0,612
GVMW,119,0.0,597
GW,239,0.0,384
GZ,38,0.0,58
HAD,132,0.0,352
HB,102,0.0,144
HBZM,82,0.0,147
HD,118,0.0,316
HDB,195,0.0,497
HDE,139,0.0,313
HDG,262,0.0,330
HDR,190,0.0,453
HDRZ,189,0.0,453
HFD,121,0.0,161
HGL,158,0.0,405
HGLG,156,0.0,405
HGLO,160,0.0,424
HGV,205,0.0,327
HGZ,274,0.0,403
HIL,138,0.0,181
HK,135,0.0,391
HKS,162,0.0,408
HLG,278,0.0,331
HLGH,279,0.0,335
HLM,128,0.0,331
HLMS,127,0.0,352
HLO,143,0.0,358
HM,23,28.70967741935484,62
HMBH,24,28.70967741935484,66
HMBV,20,28.70967741935484,62
HMH,22,28.70967741935484,62
HMN,75,0.0,119
HN,152,0.0,352
HNK,153,0.0,408
HNO,169,0.0,327
HNP,294,0.0,333
HON,148,0.0,357
HOR,82,0.0,73
HR,223,0.0,384
HRL,106,0.0,113
HRLW,108,0.0,130
HRN,257,0.0,380
HRT,50,0.0,94
HT,22,31.0,0
HTN,62,0.0,169
HTNC,61,0.0,169
HTO,23,0.935483870967742,73
HVL,97,0.0,313
HVS,88,0.0,73
HVSM,89,0.0,74
HVSP,87,0.0,73
HWD,155,0.0,434
HWZB,120,0.0,352
HZE,21,28.516129032258064,68
IJT,277,0.0,331
KBD,104,0.0,384
KBK,122,0.0,357
KLP,102,0.0,273
KMA,127,0.0,365
KMR,114,0.0,130
KMW,299,0.0,338
KPN,172,0.0,327
KPNZ,172,0.0,327
KRD,114,0.0,141
KRG,111,0.0,384
KTR,68,0.0,116
KW,271,0.0,401
KZ,121,0.0,355
LAA,122,0.0,612
LC,130,0.0,357
LDL,119,0.0,164
LDM,58,0.0,117
LEDN,120,0.0,171
LG,109,0.0,130
LLS,143,0.0,217
LLZM,115,0.0,158
LP,289,0.0,407
LTN,109,0.0,377
LTV,148,0.0,359
LUT,91,0.0,113
LW,252,0.0,313
LWC,255,0.0,330
MAS,77,0.0,73
MDB,141,0.0,411
MES,114,0.0,115
MG,262,0.0,330
MMLH,75,0.0,115
MP,185,0.0,327
MRB,187,0.0,494
MRN,88,0.0,273
MT,108,0.0967741935483871,113
MTH,272,0.0,403
MTN,111,0.0,115
MTR,109,0.0,115
MZ,31,28.516129032258064,73
NDB,94,0.0,74
NH,99,0.0,144
NKK,102,0.0,313
NM,65,0.0,94
NMD,60,0.0,97
NMGO,62,0.0,98
NMH,68,0.0,115
NML,66,0.0,115
NS,130,0.0,313
NSCH,307,0.0,410
NVD,171,0.0,364
NVP,126,0.0,289
NWK,111,0.0,158
O,41,0.935483870967742,73
OBD,161,0.0,352
ODB,79,0.0,384
ODZ,169,0.0,424
OMN,180,0.0,334
OP,72,0.0,119
OST,139,0.0,423
OT,19,30.32258064516129,43
OTB,88,0.0,354
OVN,130,0.0,368
OW,40,0.935483870967742,73
PMO,134,0.0,331
PMR,133,0.0,352
PMW,132,0.0,355
PT,109,0.0,313
RAI,104,0.0,76
RAT,175,0.0,327
RB,101,0.0,415
RD,301,0.0,411
RH,94,0.0,355
RHN,111,0.0,276
RL,135,0.0,359
RLB,91,0.0,595
RM,62,0.0967741935483871,62
RS,29,0.935483870967742,73
RSD,72,0.0,379
RSN,155,0.0,357
RSW,117,0.0,597
RTA,108,0.0,449
RTB,97,0.0,496
RTD,98,0.032258064516129,379
RTN,103,0.0,449
RTST,93,0.0,496
RTZ,94,0.0,379
RV,73,0.0,111
RVS,49,0.0,94
SBK,94,0.0,143
SD,90,0.0,97
SDA,290,0.0,401
SDM,102,0.0,449
SDT,83,0.0,147
SDTB,85,0.0,496
SGL,118,0.0,129
SGN,169,0.0,444
SHL,116,0.0,87
SK,274,0.0,330
SKND,273,0.0,330
SM,67,0.0,111
SN,96,0.0,144
SOG,116,0.0,130
SPTN,135,0.0,368
SPTZ,133,0.0,368
SRN,80,0.0,140
SSH,128,0.0,181
ST,89,0.0,97
STD,87,0.0967741935483871,111
STM,285,0.0,407
STV,303,0.0,338
STZ,88,0.0,97
SWD,274,0.0,395
SWK,199,0.0,377
TB,27,30.32258064516129,43
TBG,120,0.0,391
TBR,32,0.0,56
TBU,28,30.29032258064516,56
TG,67,0.0,63
TL,56,0.0,116
TPSW,54,0.0,116
TWL,134,0.0,423
UHM,298,0.0,411
UHZ,295,0.0,411
UST,290,0.0,410
UT,70,0.0,0
UTG,132,0.0,390
UTLN,66,0.0,197
UTLR,73,0.0,73
UTO,73,0.0,73
UTT,75,0.0,73
UTVR,69,0.0,197
UTZL,72,0.0,73
VB,124,0.0,641
VD,125,0.0,357
VDL,110,0.0,130
VDM,290,0.0,408
VEM,117,0.0,357
VG,18,30.90322580645161,43
VH,128,0.0,181
VHP,181,0.0,494
VK,119,0.0,130
VL,62,0.0,62
VLB,88,0.0,146
VNDC,103,0.0,275
VNDW,102,0.0,275
VP,90,0.0,355
VRY,81,0.0,146
VS,147,0.0,411
VSS,146,0.0,384
VST,125,0.0,266
VSV,127,0.0,391
VTN,77,0.0,78
VZ,174,0.0,493
WAD,110,0.0,158
WADN,111,0.0,158
WADT,109,0.0,158
WC,56,0.0,97
WD,86,0.0,73
WDN,163,0.0,364
WF,92,0.0,354
WFM,287,0.0,410
WH,146,0.0,433
WK,290,0.0,333
WL,109,0.0,374
WM,125,0.0,355
WP,103,0.0,85
WR,317,0.0,419
WS,295,0.0,410
WSM,279,0.0,396
WT,38,28.61290322580645,62
WTV,89,0.0,356
WV,212,0.0,327
WW,148,0.0,410
WWW,149,0.0,410
WZ,148,0.0,326
YPB,123,0.0,76
ZA,78,0.0,119
ZB,282,0.0,404
ZBM,35,0.0,73
ZD,119,0.0,352
ZDK,122,0.0,355
ZH,275,0.0,395
ZL,157,0.0,313
ZLSH,162,0.0,327
ZLW,63,0.0,397
ZP,113,0.0,357
ZTM,118,0.0,73
ZTMO,117,0.0,158
ZV,98,0.0,354
ZVB,71,0.0,402
ZVT,136,0.0,368
ZWD,80,0.0,496
ZZS,122,0.0,355
