Station Code,distance_BGN,services_per_day_BGN,n_of_disruptions_BGN
AC,142,0,202
AH,142,0,456
AHP,143,0,713
AHPR,145,0,715
AHZ,134,0,470
AKL,79,0,137
AKM,290,0,657
ALM,175,0,366
ALMB,181,0,497
ALMM,174,0,365
ALMO,183,0,497
ALMP,177,0,497
AMF,147,0,353
AMFS,150,0,593
AML,226,0,782
AMPO,172,0,365
AMR,173,0,320
AMRI,228,0,852
AMRN,174,0,395
ANA,203,0,406
APD,189,0,716
APDM,188,0,717
APDO,192,0,751
APG,353,0,687
APN,113,0,183
ARN,52,34.03225806451613,0
ASA,155,0,202
ASB,155,0,125
ASD,157,25.93548387096774,125
ASDL,150,0,125
ASDM,157,0,239
ASDZ,149,0,125
ASHD,156,0,139
ASN,291,0,607
ASS,153,25.93548387096774,125
ASSP,158,0,253
ATN,194,0,750
AVAT,153,0,599
BD,37,0,5
BDE,187,0,442
BDG,121,0,264
BDM,334,0,676
BDPB,42,0,328
BET,85,0,384
BF,338,0,676
BGN,0,0,0
BHDV,68,0,135
BHV,135,0,353
BK,180,0,442
BKF,207,0,210
BKG,206,0,206
BKL,130,0,169
BL,275,0,612
BLL,141,0,278
BMN,164,0,716
BMR,148,0,470
BN,221,0,783
BNC,166,0,594
BNK,132,0,280
BNN,163,0,593
BNZ,168,0,610
BP,332,0,624
BR,145,0,422
BRD,60,0,122
BRN,150,0,377
BSD,93,0,155
BSK,107,0,160
BSKS,106,0,160
BSMZ,149,0,354
BTL,75,0,341
BV,151,0,298
BZL,32,33.903225806451616,0
CAS,161,0,317
CK,138,0,467
CL,108,0,199
CO,266,0,869
CPS,82,0,77
CVM,197,0,459
DA,237,0,852
DB,136,0,324
DDN,211,0,731
DDR,51,32.29032258064516,5
DDRS,54,0,122
DDZD,50,0.06451612903225806,10
DEI,312,0,624
DID,161,0,713
DL,225,0,607
DLD,138,0,373
DLN,270,0,883
DMN,160,0,253
DMNZ,155,0,202
DN,117,0,394
DR,158,0,713
DRH,146,0,297
DRON,224,0,511
DRP,319,0,638
DT,85,31.580645161290324,75
DTC,172,0,733
DTCH,170,0,733
DTCP,84,0,75
DV,187,0,716
DVC,191,0,782
DVD,153,0,199
DVN,151,0,715
DVNK,106,0,194
DWE,325,0,624
DZ,357,0,705
DZW,356,0,705
EC,160,0,439
ED,159,0,713
EDC,161,0,735
EDN,202,0,443
EEM,364,0,704
EGH,196,0,458
EGHM,197,0,458
EHS,94,0,460
EHV,95,0,328
EKZ,210,0,218
EML,170,0,596
EMN,286,0,884
EMNZ,282,0,883
ES,224,0,783
