Station Code,distance_BHDV,services_per_day_BHDV,n_of_disruptions_BHDV
AC,82,0,254
AH,88,0,81
AHP,89,0,338
AHPR,91,0,340
AHZ,80,0,81
AKL,11,32.16129032258065,2
AKM,222,0,522
ALM,107,0,231
ALMB,113,0,362
ALMM,106,0,230
ALMO,115,0,362
ALMP,109,0,362
AMF,79,0,218
AMFS,82,0,458
AML,172,0,407
AMPO,104,0,230
AMR,136,0,503
AMRI,174,0,477
AMRN,137,0,578
ANA,166,0,589
APD,122,0,458
APDM,123,0,493
APDO,125,0,493
APG,285,0,552
APN,79,0,308
ARN,120,0,166
ASA,91,0,218
ASB,87,0,218
ASD,97,0,218
ASDL,104,0,497
ASDM,93,0,255
ASDZ,93,0,221
ASHD,88,0,232
ASN,223,0,472
ASS,101,0,476
ASSP,94,0,269
ATN,140,0,375
AVAT,85,0,464
BD,47,0,130
BDE,178,0,251
BDG,85,0,219
BDM,266,0,541
BDPB,42,0,135
BET,76,0,180
BF,270,0,541
BGN,68,0,135
BHDV,0,0,0
BHV,67,0,218
BK,171,0,251
BKF,155,0,561
BKG,154,0,557
BKL,70,0,221
BL,207,0,477
BLL,107,0,403
BMN,110,0,341
BMR,110,0,116
BN,167,0,408
BNC,98,0,459
BNK,64,0,145
BNN,95,0,458
BNZ,100,0,475
BP,264,0,489
BR,136,0,231
BRD,26,0,130
BRN,82,0,242
BSD,25,32.16129032258065,20
BSK,73,0,285
BSKS,72,0,285
BSMZ,81,0,219
BTL,66,0,137
BV,117,0,423
BZL,100,0,166
CAS,124,0,500
CK,100,0,113
CL,40,0,64
CO,200,0,492
CPS,48,0,202
CVM,188,0,268
DA,183,0,477
DB,68,0,189
DDN,157,0,356
DDR,17,56.225806451612904,13
DDRS,14,56.225806451612904,11
DDZD,18,0,130
DEI,244,0,489
DID,107,0,338
DL,157,0,472
DLD,70,0,238
DLN,204,0,506
DMN,96,0,269
DMNZ,91,0,221
DN,108,0,203
DR,104,0,338
DRH,112,0,422
DRON,156,0,376
DRP,251,0,503
DT,51,0,200
DTC,118,0,358
DTCH,116,0,358
DTCP,50,0,200
DV,133,0,341
DVC,137,0,407
DVD,89,0,218
DVN,97,0,340
DVNK,72,0,319
DWE,257,0,489
DZ,289,0,570
DZW,288,0,570
EC,151,0,248
ED,97,0,221
EDC,99,0,243
EDN,193,0,252
EEM,296,0,569
EGH,187,0,267
EGHM,188,0,267
EHS,85,0,256
EHV,86,0,137
EKZ,158,0,569
EML,102,0,461
EMN,220,0,507
EMNZ,216,0,506
ES,170,0,408
ESK,166,0,408
EST,77,0,67
ETN,58,0,453
FN,257,0,489
FWD,254,0,489
GBG,193,0,492
GD,61,0,200
GDG,64,0,285
GDM,32,32.16129032258065,21
GDR,123,0,375
GERP,249,0,525
GK,270,0,540
GLN,167,0,250
GN,251,0,525
GND,3,56.32258064516129,0
GNN,255,0,540
GO,147,0,348
GP,92,0,199
GR,6,57.25806451612903,0
GS,105,0,166
GV,59,0,301
GVC,60,0,316
GVM,64,0,316
GVMW,58,0,301
GW,227,0,529
GZ,57,0,453
HAD,100,0,326
HB,178,0,281
HBZM,6,32.225806451612904,10
HD,106,0,461
HDB,187,0,479
HDE,127,0,458
HDG,250,0,489
HDR,178,0,598
HDRZ,177,0,598
HFD,99,0,316
HGL,162,0,389
HGLG,160,0,389
HGLO,164,0,408
HGV,193,0,472
HGZ,262,0,548
HIL,93,0,326
HK,120,0,441
HKS,150,0,553
HLG,266,0,490
HLGH,267,0,494
HLM,104,0,366
HLMS,105,0,403
HLO,131,0,503
HM,99,0,199
HMBH,100,0,203
HMBV,96,0,199
HMH,98,0,199
HMN,63,0,67
HN,140,0,497
HNK,141,0,553
HNO,157,0,472
HNP,282,0,492
HON,152,0,407
HOR,70,0,218
HR,211,0,472
HRL,182,0,250
HRLW,184,0,267
HRN,245,0,525
HRT,126,0,231
HT,54,0,64
HTN,50,0,117
HTNC,49,0,117
HTO,55,0,137
HVL,85,0,458
HVS,76,0,218
HVSM,77,0,219
HVSP,75,0,218
HWD,143,0,579
HWZB,108,0,497
HZE,97,0,205
IJT,265,0,490
KBD,87,0,166
KBK,126,0,341
KLP,90,0,221
KMA,115,0,510
KMR,190,0,267
KMW,287,0,497
KPN,160,0,472
KPNZ,160,0,472
KRD,190,0,278
KRG,94,0,166
KTR,56,0,64
KW,259,0,546
KZ,109,0,500
LAA,61,0,316
LC,134,0,341
LDL,76,0,326
LDM,18,32.16129032258065,20
LEDN,75,0,316
LG,185,0,267
LLS,131,0,362
LLZM,74,0,285
LP,277,0,552
LTN,105,0,244
LTV,152,0,343
LUT,167,0,250
LW,240,0,472
LWC,243,0,489
MAS,65,0,218
MDB,124,0,166
MES,190,0,252
MG,250,0,489
MMLH,95,0,102
MP,173,0,472
MRB,179,0,479
MRN,76,0,221
MT,184,0,250
MTH,260,0,548
MTN,187,0,252
MTR,185,0,252
MZ,107,0,210
NDB,82,0,219
NH,175,0,281
NKK,90,0,458
NM,85,0,81
NMD,90,0,102
NMGO,88,0,102
NMH,88,0,102
NML,84,0,81
NS,118,0,458
NSCH,295,0,555
NVD,175,0,414
NVP,94,0,326
NWK,52,0,258
O,73,0,137
OBD,149,0,589
ODB,48,0,135
ODZ,173,0,408
OMN,168,0,479
OP,60,0,67
OST,143,0,407
OT,75,0,180
OTB,92,0,338
OVN,106,0,403
OW,72,0,140
PMO,122,0,498
PMR,121,0,497
PMW,120,0,500
PT,97,0,461
RAI,92,0,221
RAT,163,0,472
RB,84,0,166
RD,289,0,556
RH,98,0,341
RHN,99,0,224
RL,139,0,343
RLB,30,0,229
RM,138,0,199
RS,61,0,140
RSD,55,0,130
RSN,159,0,407
RSW,56,0,301
RTA,47,0,200
RTB,36,0,130
RTD,37,0,130
RTN,42,0,200
RTST,32,0,235
RTZ,33,0,235
RV,149,0,248
RVS,81,0,158
SBK,170,0,280
SD,78,0,242
SDA,278,0,546
SDM,41,0,200
SDT,7,56.32258064516129,10
SDTB,10,56.225806451612904,11
SGL,194,0,266
SGN,157,0,589
SHL,104,0,200
SK,262,0,489
SKND,261,0,489
SM,143,0,248
SN,172,0,281
SOG,192,0,267
SPTN,111,0,421
SPTZ,109,0,421
SRN,156,0,277
SSH,83,0,326
ST,77,0,242
STD,163,0,248
STM,273,0,552
STV,291,0,497
STZ,76,0,242
SWD,262,0,540
SWK,187,0,522
TB,68,0,453
TBG,124,0,375
TBR,63,0,472
TBU,67,0,474
TG,143,0,284
TL,44,0,64
TPSW,42,0,64
TWL,132,0,493
UHM,286,0,556
UHZ,283,0,556
UST,278,0,555
UT,58,0,145
UTG,120,0,535
UTLN,54,0,145
UTLR,61,0,218
UTO,61,0,218
UTT,63,0,218
UTVR,57,0,145
UTZL,60,0,218
VB,63,0,345
VD,129,0,341
VDL,186,0,267
VDM,278,0,553
VEM,121,0,341
VG,58,0,137
VH,83,0,326
VHP,185,0,482
VK,195,0,267
VL,138,0,283
VLB,117,0,144
VNDC,91,0,223
VNDW,90,0,223
VP,94,0,341
VRY,124,0,145
VS,130,0,168
VSS,129,0,168
VST,70,0,319
VSV,131,0,375
VTN,65,0,223
VZ,178,0,477
WAD,69,0,285
WADN,70,0,285
WADT,68,0,285
WC,88,0,161
WD,74,0,218
WDN,167,0,414
WF,96,0,338
WFM,275,0,555
WH,150,0,417
WK,278,0,492
WL,113,0,358
WM,113,0,500
WP,91,0,230
WR,305,0,564
WS,283,0,555
WSM,267,0,541
WT,114,0,199
WTV,93,0,340
WV,200,0,472
WW,152,0,394
WWW,153,0,394
WZ,136,0,471
YPB,67,0,348
ZA,66,0,67
ZB,270,0,549
ZBM,41,0,64
ZD,107,0,497
ZDK,110,0,500
ZH,263,0,540
ZL,145,0,458
ZLSH,150,0,472
ZLW,32,0,130
ZP,117,0,341
ZTM,72,0,345
ZTMO,73,0,348
ZV,102,0,338
ZVB,40,0,135
ZVT,112,0,404
ZWD,19,0,130
ZZS,110,0,500
