Station Code,Distance from BKF,Services from/to BKF,Disruptions on path to BKF
AC,73,0.0,357
AH,154,0.0,637
AHP,155,0.0,894
AHPR,157,0.0,894
AHZ,162,0.0,894
AKL,144,0.0,460
AKM,246,0.0,407
ALM,88,0.0,343
ALMB,94,0.0,474
ALMM,87,0.0,350
ALMO,96,0.0,474
ALMP,90,0.0,474
AMF,103,0.0,357
AMFS,106,0.0,597
AML,200,0.0,663
AMPO,85,0.0,350
AMR,39,0.0,75
AMRI,202,0.0,733
AMRN,38,0.0,74
ANA,55,0.0,74
APD,146,0.0,597
APDM,147,0.0,632
APDO,149,0.0,632
APG,309,0.0,437
APN,113,0.0,102
ARN,259,0.0,210
ASA,64,23.387096774193548,343
ASB,68,7.0,343
ASD,58,37.354838709677416,85
ASDL,57,0.8709677419354839,85
ASDM,62,0.0,343
ASDZ,70,0.0,343
ASHD,69,0.0,357
ASN,247,0.0,357
ASS,54,38.38709677419355,64
ASSP,63,0.0,343
ATN,206,0.0,931
AVAT,109,0.0,603
BD,186,0.0,205
BDE,269,0.0,605
BDG,115,0.0,344
BDM,290,0.0,426
BDPB,181,0.0,327
BET,167,0.064516129032258,416
BF,294,0.0,426
BGN,207,0.0,326
BHDV,155,0.0,480
BHV,106,0.0,416
BK,262,0.0,606
BKF,0,0.0,0
BKG,1,38.41935483870968,0
BKL,85,0.0,484
BL,231,0.0,357
BLL,71,0.0,173
BMN,171,0.0,632
BMR,198,0.0,672
BN,209,0.0,733
BNC,122,0.0,598
BNK,105,0.0,416
BNN,119,0.0,597
BNZ,124,0.0,614
BP,288,0.0,614
BR,227,0.0,586
BRD,147,0.0,211
BRN,94,0.0,344
BSD,130,0.0,459
BSK,119,0.0,183
BSKS,120,0.0,206
BSMZ,82,0.0,361
BTL,157,0.032258064516129,489
BV,61,0.0,153
BZL,239,0.0,357
CAS,51,0.0,150
CK,188,0.0,669
CL,115,0.0,444
CO,224,0.0,377
CPS,133,0.0,429
CVM,268,0.0,121
DA,211,0.0,367
DB,109,0.0,416
DDN,204,0.0,647
DDR,156,0.0,205
DDRS,159,0.0,322
DDZD,157,0.0,322
DEI,268,0.0,614
DID,173,0.0,894
DL,181,0.0,357
DLD,106,0.0,358
DLN,228,0.0,391
DMN,65,0.0,343
DMNZ,68,0.0,383
DN,199,0.0,558
DR,170,0.0,894
DRH,66,0.0,171
DRON,137,0.0,488
DRP,275,0.0,628
DT,122,0.0,103
DTC,184,0.0,914
DTCH,182,0.0,914
DTCP,123,0.0,204
DV,161,0.0,597
DVC,165,0.0,632
DVD,66,0.0,380
DVN,163,0.0,896
DVNK,101,0.0,85
DWE,281,0.0,614
DZ,313,0.0,455
DZW,312,0.0,455
EC,242,0.0,603
ED,137,0.0,615
EDC,135,0.0,614
EDN,284,0.0,607
EEM,320,0.0,454
EGH,267,0.0,120
EGHM,268,0.0,120
EHS,176,0.0,492
EHV,177,23.096774193548388,492
EKZ,3,40.41935483870968,0
EML,126,0.0,597
EMN,244,0.0,392
EMNZ,240,0.0,391
ES,217,0.0,699
ESK,213,0.0,699
EST,165,0.0,894
ETN,197,0.0,528
FN,281,0.0,614
FWD,278,0.0,614
GBG,217,0.0,377
GD,120,0.0,344
GDG,117,0.0,344
GDM,123,0.0,416
GDR,189,0.0,931
GERP,273,0.0,410
GK,294,0.0,425
GLN,258,0.0,605
GN,275,0.0,410
GND,158,0.0,480
GNN,279,0.0,425
GO,194,0.0,639
GP,183,0.0,554
GR,149,0.0,478
GS,244,0.0,210
GV,114,0.0,88
GVC,113,0.0,88
GVM,109,0.0,85
GVMW,115,0.0,103
GW,251,0.0,414
GZ,178,0.0,504
HAD,73,0.0,85
HB,266,0.0,120
HBZM,161,0.0,490
HD,130,0.0,600
HDB,211,0.0,364
HDE,151,0.0,597
HDG,274,0.0,614
HDR,67,0.0,83
HDRZ,66,0.0,83
HFD,74,0.8709677419354839,135
HGL,209,0.0,680
HGLG,207,0.0,680
HGLO,211,0.0,699
HGV,217,0.0,357
HGZ,286,0.0,433
HIL,80,0.0,85
HK,58,0.0,154
HKS,5,38.41935483870968,4
HLG,290,0.0,615
HLGH,291,0.0,619
HLM,69,0.0,67
HLMS,68,0.0,85
HLO,44,0.0,150
HM,190,0.0,554
HMBH,191,0.0,558
HMBV,187,0.0,554
HMH,189,0.0,554
HMN,154,0.0,462
HN,15,38.41935483870968,8
HNK,14,38.41935483870968,8
HNO,181,0.0,357
HNP,306,0.0,617
HON,180,0.0,632
HOR,93,0.0,343
HR,235,0.0,414
HRL,262,11.806451612903226,103
HRLW,264,0.0,120
HRN,269,0.0,410
HRT,217,0.0,586
HT,145,23.096774193548388,416
HTN,105,0.0,416
HTNC,106,0.0,444
HTO,146,0.0,489
HVL,109,0.0,597
HVS,87,0.0,343
HVSM,86,0.0,394
HVSP,88,0.0,344
HWD,32,0.0,64
HWZB,61,0.0,85
HZE,188,0.0,560
IJT,289,0.0,615
KBD,226,0.0,210
KBK,155,0.0,633
KLP,131,0.0,416
KMA,56,0.0,77
KMR,270,0.0,120
KMW,311,0.0,622
KPN,184,0.0,67
KPNZ,154,0.0,489
KRD,270,0.0,131
KRG,233,0.0,210
KTR,147,0.0,459
KW,283,0.0,431
KZ,50,0.0,67
LAA,112,0.0,88
LC,181,0.0,632
LDL,99,0.0,95
LDM,137,0.0,460
LEDN,98,0.0,85
LG,265,0.0,120
LLS,112,0.0,474
LLZM,128,0.0,117
LP,301,0.0,437
LTN,129,0.0,614
LTV,199,0.0,634
LUT,258,0.0,605
LW,264,0.0,597
LWC,267,0.0,614
MAS,90,0.0,357
MDB,263,0.0,237
MES,281,0.0,607
MG,274,0.0,614
MMLH,183,0.0,658
MP,197,0.0,357
MRB,203,0.0,364
MRN,117,0.0,448
MT,275,8.96774193548387,605
MTH,284,0.0,433
MTN,278,0.0,607
MTR,276,0.0,607
MZ,198,0.0,565
NDB,81,0.0,350
NH,266,0.0,636
NKK,114,0.0,597
NM,173,0.0,637
NMD,178,0.0,658
NMGO,176,0.0,658
NMH,176,0.0,658
NML,172,0.0,908
NS,142,0.0,597
NSCH,319,0.0,440
NVD,201,0.0,366
NVP,79,0.0,135
NWK,129,0.0,429
O,164,0.0,489
OBD,26,0.032258064516129,64
ODB,187,0.0,327
ODZ,220,0.0,699
OMN,192,0.0,364
OP,151,0.0,462
OST,171,0.0,663
OT,166,0.0,532
OTB,150,0.0,637
OVN,71,0.0,104
OW,163,0.0,489
PMO,33,2.4516129032258065,64
PMR,34,2.161290322580645,64
PMW,35,1.8064516129032255,65
PT,121,0.0,597
RAI,69,0.0,383
RAT,187,0.0,357
RB,223,0.0,327
RD,313,0.0,441
RH,164,0.0,895
RHN,140,0.0,451
RL,186,0.0,634
RLB,143,0.0,205
RM,229,20.774193548387096,554
RS,152,0.0,489
RSD,194,0.0,205
RSN,187,0.0,632
RSW,117,0.0,103
RTA,134,0.0,429
RTB,137,0.0,205
RTD,136,0.0,135
RTN,139,0.0,431
RTST,141,0.0,205
RTZ,140,0.0,205
RV,240,0.0,603
RVS,172,0.0,510
SBK,261,0.0,635
SD,98,0.0,358
SDA,302,0.0,431
SDM,132,0.0,204
SDT,162,0.0,490
SDTB,163,0.0,322
SGL,278,0.0,120
SGN,46,0.0,74
SHL,69,0.8709677419354839,85
SK,286,0.0,614
SKND,285,0.0,614
SM,234,0.0,603
SN,263,0.0,636
SOG,272,0.0,120
SPTN,67,0.0,172
SPTZ,69,0.0,173
SRN,247,0.0,632
SSH,90,0.0,135
ST,99,0.0,358
STD,254,20.774193548387096,603
STM,297,0.0,437
STV,315,0.0,622
STZ,100,0.0,358
SWD,286,0.0,425
SWK,211,0.0,407
TB,167,0.0,489
TBG,190,0.0,931
TBR,172,0.0,502
TBU,168,0.0,502
TG,234,0.0,555
TL,135,0.0,459
TPSW,133,0.0,459
TWL,156,0.0,632
UHM,310,0.0,441
UHZ,307,0.0,441
UST,302,0.0,440
UT,97,23.387096774193548,343
UTG,55,0.0,153
UTLN,101,0.0,416
UTLR,100,0.0,416
UTO,100,0.0,416
UTT,102,0.0,416
UTVR,98,0.0,416
UTZL,95,0.0,360
VB,116,0.0,117
VD,176,0.0,632
VDL,266,0.0,120
VDM,302,0.0,438
VEM,160,0.0,634
VG,149,0.0,489
VH,90,0.0,85
VHP,209,0.0,367
VK,275,0.0,120
VL,229,0.0,554
VLB,205,0.0,700
VNDC,132,0.0,450
VNDW,131,0.0,450
VP,160,0.0,895
VRY,212,0.0,701
VS,269,0.0,237
VSS,268,0.0,210
VST,103,0.0,85
VSV,197,0.0,931
VTN,104,0.0,421
VZ,206,0.0,733
WAD,123,0.0,206
WADN,122,0.0,206
WADT,124,0.0,206
WC,179,0.0,513
WD,104,0.0,343
WDN,195,0.0,639
WF,146,0.0,637
WFM,299,0.0,440
WH,178,0.0,673
WK,302,0.0,617
WL,179,0.0,914
WM,54,0.0,67
WP,72,0.0,344
WR,329,0.0,449
WS,307,0.0,440
WSM,291,0.0,426
WT,205,20.774193548387096,554
WTV,159,0.0,896
WV,224,0.0,357
WW,209,0.0,646
WWW,208,0.0,646
WZ,160,0.0,610
YPB,120,0.0,120
ZA,157,0.0,462
ZB,294,0.0,434
ZBM,132,0.0,459
ZD,48,2.0,64
ZDK,45,1.8064516129032255,67
ZH,287,0.0,425
ZL,169,0.0,343
ZLSH,174,0.0,67
ZLW,171,0.0,322
ZP,164,0.0,632
ZTM,125,0.0,117
ZTMO,126,0.0,117
ZV,168,0.0,894
ZVB,179,0.0,327
ZVT,77,0.0,104
ZWD,154,0.0,310
ZZS,51,0.0,67
