station,distance,services_per_day,n_of_disruptions
AC,72,0,353
AH,153,0,620
AHP,154,0,877
AHPR,156,0,879
AHZ,161,0,877
AKL,143,0,537
AKM,245,0,491
ALM,87,0,339
ALMB,93,0,470
ALMM,86,0,360
ALMO,95,0,470
ALMP,89,0,470
AMF,102,0,340
AMFS,105,0,580
AML,199,0,646
AMPO,84,0,360
AMR,38,0,71
AMRI,201,0,716
AMRN,37,0,70
ANA,54,0,70
APD,145,0,580
APDM,146,0,615
APDO,148,0,615
APG,308,0,569
APN,112,0,148
ARN,258,0,237
ASA,63,0,339
ASB,67,0,339
ASD,57,0,81
ASDL,56,0,81
ASDM,61,0,339
ASDZ,69,0,339
ASHD,68,0,353
ASN,246,0,489
ASS,53,0,60
ASSP,62,0,353
ATN,205,0,914
AVAT,108,0,586
BD,185,0,201
BDE,268,0,599
BDG,120,0,229
BDM,289,0,558
BDPB,180,0,323
BET,166,0,528
BF,293,0,558
BGN,206,0,206
BHDV,154,0,557
BHV,105,0,412
BK,261,0,599
BKF,1,0,0
BKL,94,0,356
BL,230,0,489
BLL,70,0,170
BMN,170,0,615
BMR,197,0,912
BN,208,0,716
BNC,121,0,581
BNK,104,0,412
BNN,118,0,580
BNZ,123,0,597
BP,287,0,501
BR,226,0,579
BRD,146,0,216
BRN,93,0,340
BSD,129,0,536
BSK,118,0,229
BSKS,119,0,252
BSMZ,81,0,371
BTL,156,0,485
BV,60,0,150
BZL,238,0,237
CAS,50,0,146
CK,187,0,909
CL,114,0,440
CO,223,0,515
CPS,141,0,497
CVM,278,0,616
DA,210,0,716
DB,108,0,412
DDN,203,0,630
DDR,155,0,201
DDRS,158,0,318
DDZD,156,0,318
DEI,267,0,501
DID,172,0,877
DL,180,0,495
DLD,105,0,354
DLN,227,0,529
DMN,64,0,353
DMNZ,67,0,379
DN,198,0,551
DR,169,0,877
DRH,65,0,168
DRON,136,0,484
DRP,274,0,515
DT,121,0,156
DTC,183,0,897
DTCH,181,0,897
DTCP,122,0,257
DV,160,0,580
DVC,164,0,646
DVD,65,0,376
DVN,162,0,879
DVNK,100,0,141
DWE,280,0,501
DZ,312,0,593
DZW,311,0,593
EC,241,0,596
ED,136,0,598
EDC,134,0,597
EDN,283,0,600
EEM,319,0,592
EGH,277,0,615
EGHM,278,0,615
EHS,175,0,604
EHV,176,0,485
EKZ,4,0,8
EML,125,0,583
EMN,243,0,530
EMNZ,239,0,529
ES,216,0,682
ESE,222,0,711
ESK,212,0,682
EST,164,0,877
ETN,196,0,524
FN,280,0,501
FWD,277,0,501
GBG,216,0,515
GBR,225,0,711
GD,128,0,412
GDG,125,0,412
GDM,122,0,493
GDR,188,0,914
GERP,272,0,548
GK,293,0,563
GLN,257,0,598
GN,274,0,548
GND,157,0,557
GNN,278,0,563
GO,193,0,622
GP,182,0,547
GR,148,0,555
GS,243,0,237
GV,113,0,141
GVC,112,0,131
GVM,108,0,226
GVMW,114,0,156
GW,250,0,491
GZ,177,0,500
HAD,72,0,118
HB,268,0,629
HBZM,160,0,567
HD,129,0,583
HDB,210,0,502
HDE,150,0,580
HDG,273,0,501
HDR,66,0,79
HDRZ,65,0,79
HFD,73,0,131
HGL,208,0,663
HGLG,206,0,663
HGLO,210,0,682
HGV,216,0,484
HGZ,285,0,571
HIL,79,0,158
HK,57,0,150
HKS,4,0,0
HLG,289,0,502
HLGH,290,0,506
HLM,68,0,81
HLMS,67,0,81
HLO,43,0,146
HM,189,0,547
HMBH,190,0,551
HMBV,186,0,547
HMH,188,0,547
HMN,153,0,539
HN,14,0,4
HNK,13,0,4
HNO,180,0,495
HNP,305,0,504
HON,179,0,646
HOR,92,0,340
HR,234,0,484
HRL,272,0,598
HRLW,274,0,615
HRN,268,0,548
HRT,216,0,579
[HRY,inf,0,0
HT,144,0,412
HTN,104,0,412
HTNC,105,0,440
HTO,145,0,485
HVL,108,0,580
HVS,86,0,339
HVSM,85,0,404
HVSP,87,0,340
HWD,31,0,60
HWZB,60,0,81
HZE,187,0,553
IJT,288,0,502
KBD,225,0,237
KBK,154,0,616
KLP,130,0,412
KMA,55,0,73
KMR,280,0,615
KMW,310,0,509
KPN,183,0,495
KPNZ,153,0,485
KRD,280,0,626
KRG,232,0,237
KTR,146,0,536
KW,282,0,569
KZ,49,0,63
LAA,111,0,259
LC,180,0,615
LDL,98,0,141
LDM,136,0,537
LEDN,97,0,131
LEER,343,0,587
LG,275,0,615
LLS,111,0,470
LLZM,127,0,163
LP,300,0,575
LTN,128,0,597
LTV,198,0,617
LUT,257,0,598
LW,263,0,484
LWC,266,0,501
MAS,89,0,353
MDB,262,0,237
MES,280,0,600
MG,273,0,501
MMLH,182,0,898
MP,196,0,495
MRB,202,0,502
MRN,116,0,444
MT,274,0,598
MTH,283,0,571
MTN,277,0,600
MTR,275,0,600
MZ,197,0,558
[NEA,inf,0,0
NDB,80,0,360
NH,265,0,629
NKK,113,0,580
NM,172,0,877
NMD,177,0,898
NMGO,175,0,898
NMH,175,0,898
NML,171,0,891
NS,141,0,580
NSCH,318,0,578
NVD,200,0,495
NVP,78,0,259
NWK,137,0,497
O,163,0,485
OBD,25,0,60
ODB,186,0,323
ODZ,219,0,682
OMN,191,0,502
OP,150,0,539
OST,170,0,646
OT,165,0,528
OTB,149,0,620
OVN,70,0,118
OW,162,0,488
PMO,32,0,60
PMR,33,0,60
PMW,34,0,61
PT,120,0,583
RAI,68,0,379
RAT,186,0,495
RB,222,0,237
RD,312,0,579
RH,163,0,880
RHN,139,0,447
RL,185,0,617
RLB,142,0,210
RM,228,0,547
RS,151,0,488
RSD,193,0,201
RSN,186,0,646
RSW,116,0,156
RTA,142,0,497
RTB,136,0,201
RTD,135,0,131
RTN,140,0,201
RTST,140,0,210
RTZ,139,0,210
RV,239,0,596
RVS,171,0,506
SBK,260,0,628
SD,97,0,354
SDA,301,0,569
SDM,131,0,257
SDT,161,0,567
SDTB,162,0,320
SGL,284,0,614
SGN,45,0,70
SHL,68,0,81
SK,285,0,501
SKND,284,0,501
SM,233,0,596
SN,262,0,629
SOG,282,0,615
SPTN,66,0,169
SPTZ,68,0,170
SRN,246,0,625
SSH,89,0,259
ST,98,0,354
STD,253,0,596
STM,296,0,575
STV,314,0,509
STZ,99,0,354
SWD,285,0,563
SWK,210,0,545
TB,166,0,485
TBG,189,0,914
TBR,171,0,498
TBU,167,0,498
TG,233,0,632
TL,134,0,536
TPSW,132,0,536
TWL,155,0,615
UHM,309,0,579
UHZ,306,0,579
UST,301,0,578
UT,96,0,339
UTG,54,0,149
UTLN,100,0,412
UTLR,99,0,412
UTM,104,0,412
UTO,99,0,412
UTT,101,0,412
UTVR,97,0,412
UTZL,94,0,356
VB,115,0,160
VD,175,0,615
VDL,276,0,615
VDM,301,0,576
VEM,159,0,617
VG,148,0,485
VH,89,0,161
VHP,208,0,505
VK,285,0,615
VL,228,0,631
VLB,204,0,940
VNDC,131,0,446
VNDW,130,0,446
VP,159,0,880
VRY,211,0,941
VS,268,0,239
VSS,267,0,239
VST,102,0,226
VSV,196,0,914
VTN,103,0,417
VZ,205,0,716
WAD,122,0,252
WADN,121,0,252
WADT,123,0,252
WC,178,0,509
WD,112,0,412
WDN,194,0,653
WF,145,0,620
WFM,298,0,578
WH,177,0,656
WK,301,0,504
WL,178,0,897
WM,53,0,63
WP,71,0,354
WR,328,0,587
WS,306,0,578
WSM,290,0,564
WT,204,0,547
WTV,158,0,879
WV,223,0,484
WW,208,0,629
WWW,207,0,629
WZ,159,0,593
YPB,119,0,163
ZA,156,0,539
ZB,293,0,572
ZBM,131,0,536
ZD,47,0,60
ZDK,44,0,63
ZH,286,0,563
ZL,168,0,481
ZLSH,173,0,495
ZLW,170,0,318
ZP,163,0,615
ZTM,124,0,160
ZTMO,125,0,163
ZV,167,0,877
ZVB,178,0,323
ZVT,76,0,119
ZWD,153,0,315
ZZS,50,0,63
