Station Code,Distance from BNC,Services from/to BNC,Disruptions on path to BNC
AC,64,0.0,350
AH,32,0.0,23
AHP,33,0.0,280
AHPR,35,0.0,282
AHZ,40,0.0,280
AKL,87,0.0,439
AKM,162,0.0,305
ALM,66,0.0,254
ALMB,72,0.0,385
ALMM,65,0.0,253
ALMO,74,0.0,385
ALMP,68,0.0,385
AMF,19,62.0,1
AMFS,22,0.0,241
AML,116,0.0,307
AMPO,63,0.0,253
AMR,103,0.0,527
AMRI,118,0.0,377
AMRN,104,0.0,602
ANA,133,0.0,613
APD,62,0.0,241
APDM,63,0.0,276
APDO,65,0.0,276
APG,225,0.0,335
APN,75,0.0,251
ARN,218,0.0,625
ASA,61,0.0,245
ASB,61,0.0,245
ASD,64,0.0,242
ASDL,71,0.0,521
ASDM,60,0.0,260
ASDZ,63,0.0,245
ASHD,62,0.0,259
ASN,163,0.0,255
ASS,68,0.0,500
ASSP,59,0.0,260
ATN,84,0.0,317
AVAT,25,0.0,247
BD,131,0.0,400
BDE,176,0.0,482
BDG,67,0.0,242
BDM,206,0.0,324
BDPB,136,0.0,723
BET,110,0.0,430
BF,210,0.0,324
BGN,166,0.0,594
BHDV,98,0.0,459
BHV,31,0.0,245
BK,169,0.0,482
BKF,122,0.0,585
BKG,121,0.0,581
BKL,52,0.0,317
BL,147,0.0,260
BLL,86,0.0,537
BMN,54,0.0,283
BMR,76,0.0,315
BN,111,0.0,350
BNC,0,0.0,0
BNK,48,0.0,314
BNN,3,62.0,0
BNZ,2,61.87096774193548,0
BP,204,0.0,272
BR,111,0.0,344
BRD,107,0.0,484
BRN,28,0.0,241
BSD,73,0.0,438
BSK,81,0.0,332
BSKS,82,0.0,355
BSMZ,40,0.0,242
BTL,100,0.0,387
BV,93,0.0,560
BZL,198,0.0,625
CAS,91,0.0,524
CK,66,0.0,312
CL,58,0.0,342
CO,140,0.0,275
CPS,85,0.0,399
CVM,186,0.0,499
DA,127,0.0,377
DB,44,0.0,23
DDN,101,0.0,298
DDR,115,0.0,472
DDRS,112,0.0,470
DDZD,116,0.0,589
DEI,184,0.0,272
DID,51,0.0,280
DL,97,0.0,255
DLD,28,0.0,241
DLN,144,0.0,289
DMN,57,0.0,259
DMNZ,57,0.0,259
DN,139,0.0,396
DR,48,0.0,280
DRH,91,0.0,556
DRON,115,0.0,399
DRP,191,0.0,286
DT,109,0.0,414
DTC,62,0.0,300
DTCH,60,0.0,300
DTCP,109,0.0,469
DV,77,0.0,241
DVC,81,0.0,307
DVD,59,0.0,242
DVN,41,0.0,282
DVNK,93,0.0,349
DWE,197,0.0,272
DZ,229,0.0,353
DZW,228,0.0,353
EC,149,0.0,479
ED,15,38.25806451612903,1
EDC,13,38.25806451612903,0
EDN,191,0.0,483
EEM,236,0.0,352
EGH,185,0.0,498
EGHM,186,0.0,498
EHS,119,0.0,506
EHV,120,0.0,387
EKZ,125,0.0,593
EML,42,0.0,244
EMN,160,0.0,290
EMNZ,156,0.0,289
ES,114,0.0,350
ESK,110,0.0,350
EST,43,0.0,280
ETN,142,0.0,723
FN,197,0.0,272
FWD,194,0.0,272
GBG,133,0.0,275
GD,72,0.0,314
GDG,69,0.0,314
GDM,66,0.0,395
GDR,67,0.0,317
GERP,189,0.0,308
GK,210,0.0,323
GLN,165,0.0,481
GN,191,0.0,308
GND,101,0.0,459
GNN,195,0.0,323
GO,91,0.0,290
GP,126,0.0,449
GR,92,0.0,457
GS,203,0.0,625
GV,101,0.0,399
GVC,100,0.0,399
GVM,101,0.0,434
GVMW,102,0.0,414
GW,167,0.0,312
GZ,121,0.0,402
HAD,87,0.0,537
HB,176,0.0,512
HBZM,104,0.0,469
HD,46,0.0,244
HDB,127,0.0,262
HDE,67,0.0,241
HDG,190,0.0,272
HDR,145,0.0,622
HDRZ,144,0.0,622
HFD,79,0.0,369
HGL,106,0.0,331
HGLG,104,0.0,331
HGLO,108,0.0,350
HGV,133,0.0,255
HGZ,202,0.0,331
HIL,94,0.0,577
HK,90,0.0,560
HKS,117,0.0,577
HLG,206,0.0,273
HLGH,207,0.0,277
HLM,83,0.0,500
HLMS,82,0.0,521
HLO,98,0.0,527
HM,133,0.0,449
HMBH,134,0.0,453
HMBV,130,0.0,449
HMH,132,0.0,449
HMN,57,0.0,294
HN,107,0.0,521
HNK,108,0.0,577
HNO,97,0.0,255
HNP,222,0.0,275
HON,96,0.0,307
HOR,41,0.0,242
HR,151,0.0,255
HRL,180,0.0,481
HRLW,182,0.0,498
HRN,185,0.0,308
HRT,121,0.0,396
HT,88,0.0,314
HTN,48,0.0,314
HTNC,49,0.0,342
HTO,89,0.0,387
HVL,13,62.0,1
HVS,35,0.0,241
HVSM,36,0.0,242
HVSP,36,0.0,242
HWD,110,0.0,603
HWZB,75,0.0,521
HZE,131,0.0,455
IJT,205,0.0,273
KBD,185,0.0,625
KBK,70,0.0,283
KLP,22,0.0,23
KMA,82,0.0,534
KMR,188,0.0,498
KMW,227,0.0,280
KPN,100,0.0,255
KPNZ,100,0.0,255
KRD,188,0.0,509
KRG,192,0.0,625
KTR,64,0.0,294
KW,199,0.0,329
KZ,76,0.0,524
LAA,101,0.0,428
LC,78,0.0,283
LDL,89,0.0,332
LDM,80,0.0,439
LEDN,90,0.0,339
LG,183,0.0,498
LLS,90,0.0,385
LLZM,85,0.0,399
LP,217,0.0,335
LTN,7,38.25806451612903,0
LTV,96,0.0,285
LUT,165,0.0,481
LW,180,0.0,255
LWC,183,0.0,272
MAS,47,0.0,314
MDB,222,0.0,625
MES,188,0.0,483
MG,190,0.0,272
MMLH,61,0.0,301
MP,113,0.0,255
MRB,119,0.0,262
MRN,52,0.0,55
MT,182,0.0,481
MTH,200,0.0,331
MTN,185,0.0,483
MTR,183,0.0,483
MZ,141,0.0,460
NDB,41,0.0,242
NH,173,0.0,512
NKK,30,0.0,241
NM,51,0.0,280
NMD,56,0.0,301
NMGO,54,0.0,301
NMH,54,0.0,301
NML,50,0.0,294
NS,58,0.0,241
NSCH,235,0.0,338
NVD,117,0.0,255
NVP,84,0.0,497
NWK,81,0.0,399
O,75,0.0,301
OBD,116,0.0,613
ODB,146,0.0,594
ODZ,117,0.0,350
OMN,108,0.0,262
OP,60,0.0,294
OST,87,0.0,307
OT,109,0.0,430
OTB,28,0.0,23
OVN,85,0.0,537
OW,76,0.0,322
PMO,89,0.0,522
PMR,88,0.0,521
PMW,87,0.0,524
PT,37,0.0,244
RAI,62,0.0,245
RAT,103,0.0,255
RB,182,0.0,625
RD,229,0.0,339
RH,42,0.0,283
RHN,75,0.0,58
RL,83,0.0,285
RLB,103,0.0,478
RM,136,0.0,430
RS,87,0.0,322
RSD,153,0.0,589
RSN,103,0.0,307
RSW,104,0.0,414
RTA,86,0.0,399
RTB,97,0.0,469
RTD,96,0.0,399
RTN,91,0.0,401
RTST,101,0.0,478
RTZ,100,0.0,478
RV,125,0.0,416
RVS,67,0.0,280
SBK,168,0.0,511
SD,32,0.0,255
SDA,218,0.0,329
SDM,100,0.0,469
SDT,105,0.0,469
SDTB,108,0.0,470
SGL,192,0.0,497
SGN,124,0.0,613
SHL,74,0.0,319
SK,202,0.0,272
SKND,201,0.0,272
SM,131,0.0,430
SN,170,0.0,512
SOG,190,0.0,498
SPTN,90,0.0,555
SPTZ,88,0.0,555
SRN,154,0.0,508
SSH,95,0.0,497
ST,33,0.0,255
STD,161,0.0,479
STM,213,0.0,335
STV,231,0.0,280
STZ,34,0.0,245
SWD,202,0.0,323
SWK,127,0.0,305
TB,110,0.0,387
TBG,68,0.0,317
TBR,115,0.0,400
TBU,111,0.0,400
TG,118,0.0,397
TL,76,0.0,297
TPSW,76,0.0,438
TWL,72,0.0,276
UHM,226,0.0,339
UHZ,223,0.0,339
UST,218,0.0,338
UT,40,0.0,241
UTG,87,0.0,559
UTLN,44,0.0,314
UTLR,43,0.0,314
UTO,37,0.0,265
UTT,45,0.0,314
UTVR,41,0.0,314
UTZL,42,0.0,314
VB,97,0.0,399
VD,73,0.0,283
VDL,184,0.0,498
VDM,218,0.0,336
VEM,65,0.0,283
VG,92,0.0,387
VH,98,0.0,349
VHP,125,0.0,265
VK,193,0.0,498
VL,113,0.0,396
VLB,83,0.0,343
VNDC,67,0.0,57
VNDW,66,0.0,57
VP,38,0.0,283
VRY,90,0.0,344
VS,228,0.0,627
VSS,227,0.0,627
VST,95,0.0,434
VSV,75,0.0,317
VTN,47,0.0,319
VZ,122,0.0,377
WAD,80,0.0,399
WADN,81,0.0,399
WADT,79,0.0,399
WC,60,0.0,280
WD,56,0.0,241
WDN,111,0.0,314
WF,24,0.0,23
WFM,215,0.0,338
WH,94,0.0,317
WK,218,0.0,275
WL,57,0.0,300
WM,80,0.0,524
WP,50,0.0,253
WR,245,0.0,347
WS,223,0.0,338
WSM,207,0.0,324
WT,148,0.0,449
WTV,37,0.0,282
WV,140,0.0,255
WW,96,0.0,336
WWW,97,0.0,336
WZ,76,0.0,254
