station,distance,services_per_day,n_of_disruptions
AC,61,0,349
AH,35,0,39
AHP,36,0,296
AHPR,38,0,298
AHZ,43,0,296
AKL,84,0,438
AKM,159,0,304
ALM,63,0,253
ALMB,69,0,384
ALMM,62,0,252
ALMO,71,0,384
ALMP,65,0,384
AMF,16,62.0,0
AMFS,19,0,240
AML,113,0,306
AMPO,60,0,252
AMR,100,0,526
AMRI,115,0,376
AMRN,101,0,601
ANA,130,0,612
APD,59,0,240
APDM,60,0,275
APDO,62,0,275
APG,222,0,334
APN,72,0,250
ARN,215,0,624
ASA,58,0,244
ASB,58,0,244
ASD,61,0,241
ASDL,68,0,520
ASDM,57,0,259
ASDZ,60,0,244
ASHD,59,0,258
ASN,160,0,254
ASS,65,0,499
ASSP,56,0,259
ATN,87,0,333
AVAT,22,0,246
BD,128,0,399
BDE,179,0,498
BDG,64,0,241
BDM,203,0,323
BDPB,133,0,722
BET,107,0,429
BF,207,0,323
BGN,163,0,593
BHDV,95,0,458
BHV,28,0,244
BK,172,0,498
BKF,119,0,584
BKG,118,0,580
BKL,49,0,316
BL,144,0,259
BLL,83,0,536
BMN,57,0,299
BMR,79,0,331
BN,114,0,366
BNC,3,61.87096774193548,0
BNK,45,0,313
BNZ,5,61.87096774193548,16
BP,201,0,271
BR,114,0,360
BRD,104,0,483
BRN,25,0,240
BSD,70,0,437
BSK,78,0,331
BSKS,79,0,354
BSMZ,37,0,241
BTL,97,0,386
BV,90,0,559
BZL,195,0,624
CAS,88,0,523
CK,69,0,328
CL,55,0,341
CO,137,0,274
CPS,82,0,398
CVM,189,0,515
DA,124,0,376
DB,47,0,39
DDN,104,0,314
DDR,112,0,471
DDRS,109,0,469
DDZD,113,0,588
DEI,181,0,271
DID,54,0,296
DL,94,0,254
DLD,25,0,240
DLN,141,0,288
DMN,54,0,258
DMNZ,54,0,258
DN,139,0,452
DR,51,0,296
DRH,88,0,555
DRON,112,0,398
DRP,188,0,285
DT,106,0,413
DTC,65,0,316
DTCH,63,0,316
DTCP,106,0,468
DV,74,0,240
DVC,78,0,306
DVD,56,0,241
DVN,44,0,298
DVNK,90,0,348
DWE,194,0,271
DZ,226,0,352
DZW,225,0,352
EC,152,0,495
ED,18,38.25806451612903,17
EDC,16,38.25806451612903,16
EDN,194,0,499
EEM,233,0,351
EGH,188,0,514
EGHM,189,0,514
EHS,116,0,505
EHV,117,0,386
EKZ,122,0,592
EML,39,0,243
EMN,157,0,289
EMNZ,153,0,288
ES,117,0,366
ESE,123,0,395
ESK,113,0,366
EST,46,0,296
ETN,139,0,722
FN,194,0,271
