Station Code,Distance from BNZ,Services from/to BNZ,Disruptions on path to BNZ
AC,66,0.0,363
AH,30,0.0,23
AHP,31,0.0,280
AHPR,33,0.0,280
AHZ,38,0.0,280
AKL,89,0.0,374
AKM,164,0.0,321
ALM,68,0.0,270
ALMB,74,0.0,401
ALMM,67,0.0,269
ALMO,76,0.0,401
ALMP,70,0.0,401
AMF,21,62.0,17
AMFS,24,0.0,257
AML,114,0.0,349
AMPO,65,0.0,269
AMR,105,0.0,556
AMRI,116,0.0,419
AMRN,106,0.0,631
ANA,135,0.0,642
APD,64,0.0,257
APDM,65,0.0,292
APDO,67,0.0,292
APG,227,0.0,351
APN,77,0.0,267
ARN,220,0.0,527
ASA,63,0.0,261
ASB,63,0.0,261
ASD,66,0.0,271
ASDL,73,0.0,529
ASDM,62,0.0,257
ASDZ,65,0.0,258
ASHD,64,0.0,275
ASN,165,0.0,271
ASS,70,0.0,529
ASSP,61,0.0,276
ATN,82,0.0,317
AVAT,27,0.0,263
BD,133,0.0,416
BDE,174,0.0,224
BDG,69,0.0,258
BDM,208,0.0,340
BDPB,138,0.0,739
BET,112,0.0,330
BF,212,0.0,340
BGN,168,0.0,526
BHDV,100,0.0,394
BHV,33,0.0,261
BK,167,0.0,225
BKF,124,0.0,614
BKG,123,0.0,610
BKL,54,0.0,330
BL,149,0.0,271
BLL,88,0.0,566
BMN,52,0.0,283
BMR,74,0.0,58
BN,109,0.0,350
BNC,2,62.0,0
BNK,46,0.0,55
BNN,5,62.0,16
BNZ,0,0.0,0
BP,206,0.0,274
BR,109,0.0,87
BRD,109,0.0,491
BRN,30,0.0,257
BSD,75,0.0,373
BSK,83,0.0,348
BSKS,84,0.0,371
BSMZ,42,0.0,258
BTL,102,0.0,403
BV,95,0.0,550
BZL,200,0.0,557
CAS,93,0.0,553
CK,64,0.0,55
CL,60,0.0,358
CO,142,0.0,291
CPS,87,0.0,415
CVM,184,0.0,242
DA,125,0.0,419
DB,42,0.0,23
DDN,99,0.0,298
DDR,117,0.0,405
DDRS,114,0.0,405
DDZD,118,0.0,522
DEI,186,0.0,274
DID,49,0.0,280
DL,99,0.0,271
DLD,30,0.0,257
DLN,146,0.0,305
DMN,59,0.0,275
DMNZ,59,0.0,258
DN,137,0.0,139
DR,46,0.0,280
DRH,93,0.0,567
DRON,117,0.0,415
DRP,193,0.0,288
DT,111,0.0,430
DTC,60,0.0,300
DTCH,58,0.0,300
DTCP,111,0.0,485
DV,75,0.0,283
DVC,79,0.0,349
DVD,61,0.0,258
DVN,39,0.0,282
DVNK,95,0.0,365
DWE,199,0.0,274
DZ,231,0.0,369
DZW,230,0.0,369
EC,147,0.0,222
ED,13,38.25806451612903,1
EDC,11,38.25806451612903,0
EDN,189,0.0,226
EEM,238,0.0,368
EGH,183,0.0,241
EGHM,184,0.0,241
EHS,121,0.0,406
EHV,122,0.0,406
EKZ,127,0.0,622
EML,44,0.0,257
EMN,162,0.0,306
EMNZ,158,0.0,305
ES,112,0.0,350
ESK,108,0.0,350
EST,41,0.0,280
ETN,144,0.0,739
FN,199,0.0,274
FWD,196,0.0,274
GBG,135,0.0,291
GD,74,0.0,330
GDG,71,0.0,330
GDM,68,0.0,330
GDR,65,0.0,317
GERP,191,0.0,324
GK,212,0.0,339
GLN,163,0.0,224
GN,193,0.0,324
GND,103,0.0,394
GNN,197,0.0,339
GO,89,0.0,290
GP,128,0.0,468
GR,94,0.0,392
GS,205,0.0,527
GV,103,0.0,415
GVC,102,0.0,333
GVM,103,0.0,450
GVMW,104,0.0,430
GW,169,0.0,328
GZ,123,0.0,418
HAD,89,0.0,550
HB,174,0.0,255
HBZM,106,0.0,404
HD,48,0.0,260
HDB,129,0.0,278
HDE,69,0.0,257
HDG,192,0.0,274
HDR,147,0.0,651
HDRZ,146,0.0,651
HFD,81,0.0,332
HGL,104,0.0,331
HGLG,102,0.0,331
HGLO,106,0.0,350
HGV,135,0.0,271
HGZ,204,0.0,347
HIL,96,0.0,550
HK,92,0.0,589
HKS,119,0.0,606
HLG,208,0.0,275
HLGH,209,0.0,279
HLM,85,0.0,529
HLMS,84,0.0,550
HLO,100,0.0,556
HM,135,0.0,468
HMBH,136,0.0,472
HMBV,132,0.0,468
HMH,134,0.0,468
HMN,55,0.0,294
HN,109,0.0,550
HNK,110,0.0,606
HNO,99,0.0,271
HNP,224,0.0,277
HON,94,0.0,283
HOR,43,0.0,258
HR,153,0.0,328
HRL,178,0.0,224
HRLW,180,0.0,241
HRN,187,0.0,324
HRT,119,0.0,139
HT,90,0.0,330
HTN,50,0.0,330
HTNC,51,0.0,358
HTO,91,0.0,403
HVL,15,62.0,17
HVS,37,0.0,257
HVSM,38,0.0,258
HVSP,38,0.0,258
HWD,112,0.0,632
HWZB,77,0.0,550
HZE,133,0.0,474
IJT,207,0.0,275
KBD,187,0.0,527
KBK,68,0.0,283
KLP,20,0.0,23
KMA,84,0.0,563
KMR,186,0.0,241
KMW,229,0.0,282
KPN,102,0.0,271
KPNZ,102,0.0,271
KRD,186,0.0,252
KRG,194,0.0,527
KTR,62,0.0,294
KW,201,0.0,345
KZ,78,0.0,553
LAA,103,0.0,362
LC,76,0.0,283
LDL,91,0.0,348
LDM,82,0.0,374
LEDN,92,0.0,355
LG,181,0.0,241
LLS,92,0.0,401
LLZM,87,0.0,415
LP,219,0.0,351
LTN,5,38.25806451612903,0
LTV,94,0.0,285
LUT,163,0.0,224
LW,182,0.0,257
LWC,185,0.0,274
MAS,49,0.0,330
MDB,224,0.0,554
MES,186,0.0,226
MG,192,0.0,274
MMLH,59,0.0,44
MP,115,0.0,271
MRB,121,0.0,278
MRN,50,0.0,55
MT,180,0.0,224
MTH,202,0.0,347
MTN,183,0.0,226
MTR,181,0.0,226
MZ,143,0.0,479
NDB,43,0.0,258
NH,171,0.0,255
NKK,32,0.0,257
NM,49,0.0,23
NMD,54,0.0,44
NMGO,52,0.0,44
NMH,52,0.0,44
NML,48,0.0,294
NS,60,0.0,257
NSCH,237,0.0,354
NVD,117,0.0,290
NVP,86,0.0,460
NWK,83,0.0,415
O,73,0.0,44
OBD,118,0.0,550
ODB,148,0.0,527
ODZ,115,0.0,350
OMN,110,0.0,278
OP,58,0.0,294
OST,85,0.0,349
OT,111,0.0,446
OTB,26,0.0,23
OVN,87,0.0,566
OW,74,0.0,65
PMO,91,0.0,529
PMR,90,0.0,550
PMW,89,0.0,553
PT,39,0.0,257
RAI,64,0.0,261
RAT,105,0.0,271
RB,184,0.0,527
RD,231,0.0,355
RH,40,0.0,281
RHN,73,0.0,58
RL,81,0.0,285
RLB,105,0.0,485
RM,134,0.0,173
RS,85,0.0,65
RSD,155,0.0,522
RSN,101,0.0,283
RSW,106,0.0,430
RTA,88,0.0,415
RTB,99,0.0,485
RTD,98,0.0,415
RTN,93,0.0,417
RTST,103,0.0,485
RTZ,102,0.0,485
RV,123,0.0,159
RVS,65,0.0,280
SBK,166,0.0,254
SD,34,0.0,271
SDA,220,0.0,345
SDM,102,0.0,485
SDT,107,0.0,404
SDTB,110,0.0,405
SGL,190,0.0,240
SGN,126,0.0,642
SHL,76,0.0,332
SK,204,0.0,274
SKND,203,0.0,274
SM,129,0.0,173
SN,168,0.0,255
SOG,188,0.0,241
SPTN,92,0.0,566
SPTZ,90,0.0,566
SRN,152,0.0,251
SSH,97,0.0,460
ST,35,0.0,271
STD,159,0.0,222
STM,215,0.0,351
STV,233,0.0,282
STZ,36,0.0,261
SWD,204,0.0,339
SWK,129,0.0,321
TB,112,0.0,403
TBG,66,0.0,317
TBR,117,0.0,416
TBU,113,0.0,416
TG,116,0.0,140
TL,74,0.0,297
TPSW,76,0.0,297
TWL,74,0.0,292
UHM,228,0.0,355
UHZ,225,0.0,355
UST,220,0.0,354
UT,42,0.0,257
UTG,89,0.0,588
UTLN,46,0.0,330
UTLR,45,0.0,330
UTO,39,0.0,257
UTT,47,0.0,330
UTVR,43,0.0,330
UTZL,44,0.0,330
VB,99,0.0,415
VD,71,0.0,283
VDL,182,0.0,241
VDM,220,0.0,352
VEM,63,0.0,283
VG,94,0.0,403
VH,100,0.0,365
VHP,127,0.0,281
VK,191,0.0,241
VL,111,0.0,139
VLB,81,0.0,86
VNDC,65,0.0,57
VNDW,64,0.0,57
VP,36,0.0,281
VRY,88,0.0,87
VS,230,0.0,554
VSS,229,0.0,527
VST,97,0.0,450
VSV,73,0.0,317
VTN,49,0.0,335
VZ,120,0.0,419
WAD,82,0.0,415
WADN,83,0.0,415
WADT,81,0.0,415
WC,58,0.0,280
WD,58,0.0,257
WDN,109,0.0,290
WF,22,0.0,23
WFM,217,0.0,354
WH,92,0.0,359
WK,220,0.0,277
WL,55,0.0,300
WM,82,0.0,553
WP,52,0.0,269
WR,247,0.0,363
WS,225,0.0,354
WSM,209,0.0,340
WT,150,0.0,468
WTV,35,0.0,282
WV,142,0.0,271
WW,94,0.0,336
WWW,95,0.0,336
WZ,78,0.0,270
YPB,95,0.0,333
ZA,52,0.0,294
ZB,212,0.0,348
ZBM,77,0.0,373
ZD,76,0.0,550
ZDK,79,0.0,553
ZH,205,0.0,339
ZL,87,0.0,257
ZLSH,92,0.0,271
ZLW,132,0.0,522
ZP,59,0.0,283
ZTM,90,0.0,330
ZTMO,89,0.0,415
ZV,44,0.0,280
ZVB,140,0.0,527
ZVT,93,0.0,566
ZWD,116,0.0,590
ZZS,79,0.0,553
