Station Code,Distance from BP,Services from/to BP,Disruptions on path to BP
AC,230,0.0,380
AH,195,0.0,110
AHP,194,0.0,114
AHPR,192,0.0,113
AHZ,203,0.0,367
AKL,253,0.0,469
AKM,42,0.0,19
ALM,200,0.0,31
ALMB,194,0.0,31
ALMM,201,0.0,162
ALMO,192,0.0,31
ALMP,198,0.0,36
AMF,185,0.0,31
AMFS,182,0.0,31
AML,164,0.0,43
AMPO,203,0.0,163
AMR,269,0.0,447
AMRI,166,0.0,113
AMRN,270,0.0,522
ANA,299,0.0,533
APD,165,0.0,31
APDM,166,0.0,66
APDO,162,0.0,107
APG,64,0.0,27
APN,241,0.0,281
ARN,384,0.0,655
ASA,227,0.0,165
ASB,227,0.0,165
ASD,230,0.0,162
ASDL,237,0.0,441
ASDM,226,0.0,170
ASDZ,229,0.0,162
ASHD,228,0.0,179
ASN,58,0.0,15
ASS,234,0.0,420
ASSP,225,0.0,170
ATN,223,0.0,121
AVAT,179,0.0,37
BD,297,0.0,430
BDE,339,0.0,569
BDG,233,0.0,272
BDM,45,0.0,16
BDPB,302,0.0,753
BET,276,0.0,460
BF,49,0.0,16
BGN,332,0.0,624
BHDV,264,0.0,489
BHV,197,0.0,275
BK,332,0.0,569
BKF,288,0.0,505
BKG,287,0.0,501
BKL,218,0.0,347
BL,74,0.0,68
BLL,252,0.0,457
BMN,173,0.0,107
BMR,239,0.0,402
BN,173,0.0,113
BNC,204,0.0,272
BNK,214,0.0,344
BNN,201,0.0,271
BNZ,206,0.0,288
BP,0,0.0,0
BR,274,0.0,431
BRD,273,0.0,514
BRN,194,0.0,271
BSD,239,0.0,468
BSK,247,0.0,362
BSKS,248,0.0,385
BSMZ,206,0.0,272
BTL,266,0.0,417
BV,259,0.0,480
BZL,364,0.0,655
CAS,257,0.0,444
CK,229,0.0,399
CL,224,0.0,372
CO,174,0.0,51
CPS,251,0.0,429
CVM,349,0.0,586
DA,161,0.0,41
DB,218,0.0,344
DDN,183,0.0,132
DDR,281,0.0,502
DDRS,278,0.0,500
DDZD,282,0.0,619
DEI,28,0.0,17
DID,212,0.0,119
DL,131,0.0,31
DLD,194,0.0,271
DLN,178,0.0,65
DMN,223,0.0,169
DMNZ,223,0.0,169
DN,302,0.0,483
DR,179,0.0,107
DRH,257,0.0,476
DRON,151,0.0,31
DRP,35,0.0,31
DT,275,0.0,444
DTC,223,0.0,139
DTCH,221,0.0,139
DTCP,275,0.0,499
DV,150,0.0,41
DVC,154,0.0,107
DVD,225,0.0,162
DVN,202,0.0,116
DVNK,259,0.0,379
DWE,7,31.451612903225808,0
DZ,68,0.0,45
DZW,67,0.0,45
EC,312,0.0,566
ED,212,0.0,367
EDC,214,0.0,389
EDN,354,0.0,570
EEM,75,0.0,44
EGH,348,0.0,585
EGHM,349,0.0,585
EHS,285,0.0,536
EHV,286,0.0,417
EKZ,291,0.0,513
EML,162,0.0,34
EMN,194,0.0,66
EMNZ,190,0.0,65
ES,186,0.0,132
ESK,182,0.0,132
EST,206,0.0,367
ETN,308,0.0,753
FN,41,0.0,17
FWD,10,48.87096774193548,0
GBG,167,0.0,51
GD,238,0.0,344
GDG,235,0.0,344
GDM,232,0.0,425
GDR,228,0.0,156
GERP,32,0.0,15
GK,11,31.451612903225808,0
GLN,328,0.0,568
GN,30,48.87096774193548,0
GND,267,0.0,489
GNN,34,0.0,15
GO,193,0.0,165
GP,292,0.0,479
GR,258,0.0,487
GS,369,0.0,655
GV,267,0.0,429
GVC,266,0.0,429
GVM,267,0.0,464
GVMW,268,0.0,444
GW,37,0.0,17
GZ,287,0.0,432
HAD,253,0.0,457
HB,339,0.0,599
HBZM,270,0.0,499
HD,158,0.0,31
HDB,161,0.0,38
HDE,137,0.0,31
HDG,14,31.516129032258064,0
HDR,311,0.0,542
HDRZ,310,0.0,542
HFD,245,0.0,286
HGL,178,0.0,113
HGLG,180,0.0,132
HGLO,180,0.0,132
HGV,88,0.0,68
HGZ,45,0.0,38
HIL,260,0.0,497
HK,256,0.0,480
HKS,283,0.0,497
HLG,50,0.0,18
HLGH,51,0.0,22
HLM,249,0.0,420
HLMS,248,0.0,441
HLO,264,0.0,447
HM,299,0.0,479
HMBH,300,0.0,483
HMBV,296,0.0,479
HMH,298,0.0,479
HMN,220,0.0,381
HN,273,0.0,441
HNK,274,0.0,497
HNO,131,0.0,31
HNP,66,0.0,20
HON,169,0.0,107
HOR,207,0.0,272
HR,53,0.0,17
HRL,343,0.0,568
HRLW,345,0.0,585
HRN,36,0.0,15
HRT,284,0.0,483
HT,254,0.0,344
HTN,214,0.0,344
HTNC,215,0.0,372
HTO,255,0.0,417
HVL,191,0.0,271
HVS,201,0.0,271
HVSM,202,0.0,272
HVSP,202,0.0,272
HWD,276,0.0,523
HWZB,241,0.0,441
HZE,297,0.0,485
IJT,49,0.0,18
KBD,351,0.0,655
KBK,174,0.0,67
KLP,219,0.0,389
KMA,248,0.0,454
KMR,351,0.0,585
KMW,71,0.0,25
KPN,134,0.0,31
KPNZ,134,0.0,31
KRD,351,0.0,596
KRG,358,0.0,655
KTR,227,0.0,381
KW,42,0.0,36
KZ,242,0.0,444
LAA,267,0.0,458
LC,183,0.0,107
LDL,255,0.0,362
LDM,246,0.0,469
LEDN,256,0.0,369
LG,346,0.0,585
LLS,176,0.0,17
LLZM,251,0.0,429
LP,56,0.0,27
LTN,211,0.0,288
LTV,201,0.0,109
LUT,328,0.0,568
LW,24,48.87096774193548,0
LWC,21,31.451612903225808,10
MAS,213,0.0,344
MDB,388,0.0,655
MES,351,0.0,570
MG,34,0.0,17
MMLH,224,0.0,388
MP,91,0.0,62
MRB,153,0.0,38
MRN,226,0.0,376
MT,345,0.0,568
MTH,43,0.0,38
MTN,348,0.0,570
MTR,346,0.0,570
MZ,307,0.0,490
NDB,207,0.0,272
NH,336,0.0,599
NKK,174,0.0,34
NM,214,0.0,367
NMD,219,0.0,388
NMGO,217,0.0,388
NMH,217,0.0,388
NML,213,0.0,381
NS,146,0.0,31
NSCH,78,0.0,45
NVD,151,0.0,31
NVP,250,0.0,414
NWK,247,0.0,429
O,238,0.0,388
OBD,282,0.0,533
ODB,312,0.0,624
ODZ,189,0.0,132
OMN,142,0.0,38
OP,223,0.0,381
OST,140,0.0,31
OT,275,0.0,460
OTB,199,0.0,367
OVN,251,0.0,457
OW,239,0.0,409
PMO,255,0.0,442
PMR,254,0.0,441
PMW,253,0.0,444
PT,167,0.0,48
RAI,228,0.0,165
