Station Code,distance_BRN,services_per_day_BRN,n_of_disruptions_BRN
AC,38,0,18
AH,60,0,280
AHP,61,0,537
AHPR,63,0,539
AHZ,68,0,537
AKL,71,0,222
AKM,152,0,304
ALM,38,0,13
ALMB,44,0,144
ALMM,37,0,12
ALMO,46,0,144
ALMP,40,0,144
AMF,9,42.87096774193548,0
AMFS,12,32.96774193548387,240
AML,106,0.03225806451612903,306
AMPO,35,0,12
AMR,75,0,286
AMRI,108,0,376
AMRN,76,0,361
ANA,105,0,372
APD,52,0.03225806451612903,240
APDM,53,0,275
APDO,55,0,275
APG,215,0,334
APN,59,0,107
ARN,202,0,408
ASA,33,0,4
ASB,33,0,4
ASD,36,37.12903225806452,1
ASDL,43,18.677419354838708,280
ASDM,32,37.064516129032256,19
ASDZ,35,0,4
ASHD,34,0,18
ASN,153,0,254
ASS,40,18.677419354838708,259
ASSP,31,37.12903225806452,19
ATN,112,0,574
AVAT,15,32.96774193548387,246
BD,115,0,183
BDE,196,0,284
BDG,51,0,98
BDM,196,0,323
BDPB,120,0,506
BET,94,0,213
BF,200,0,323
BGN,150,0,377
BHDV,82,0,242
BHV,15,28.225806451612904,4
BK,189,0,284
BKF,94,0,344
BKG,93,0,340
BKL,36,0,100
BL,137,0,259
BLL,58,0,296
BMN,77,0,275
BMR,104,0,572
BN,115,0,376
BNC,28,0,241
BNK,32,0,97
BNN,25,0,240
BNZ,30,0,257
BP,194,0,271
BR,139,0,601
BRD,91,0,267
BRN,0,0,0
BSD,57,0,221
BSK,65,0,188
BSKS,66,0,211
BSMZ,12,37.61290322580645,1
BTL,84,0,170
BV,65,0,319
BZL,182,0,408
CAS,63,0,283
CK,94,0,569
CL,42,0,125
CO,130,0,274
CPS,69,0,182
CVM,206,0,301
DA,117,0,376
DB,36,0,97
DDN,110,0,290
DDR,99,0,255
DDRS,96,0,253
DDZD,100,0,372
DEI,174,0,271
DID,79,0,537
DL,87,0,254
DLD,12,30.483870967741936,0
DLN,134,0,288
DMN,29,37.12903225806452,18
DMNZ,29,0,18
DN,126,0,236
DR,76,0,537
DRH,63,0,315
DRON,87,0,158
DRP,181,0,285
DT,93,0,197
DTC,90,0,557
DTCH,88,0,557
DTCP,93,0,252
DV,67,0.03225806451612903,240
DVC,71,0,306
DVD,31,0,1
DVN,69,0,539
DVNK,77,0,205
DWE,187,0,271
DZ,219,0,352
DZW,218,0,352
EC,169,0,281
ED,43,0,258
