Station Code,distance_BSD,services_per_day_BSD,n_of_disruptions_BSD
AC,57,0,233
AH,63,0,60
AHP,64,0,317
AHPR,66,0,319
AHZ,55,0,60
AKL,14,32.193548387096776,0
AKM,197,0,501
ALM,82,0,210
ALMB,88,0,341
ALMM,81,0,209
ALMO,90,0,341
ALMP,84,0,341
AMF,54,0,197
AMFS,57,0,437
AML,147,0,386
AMPO,79,0,209
AMR,111,0,482
AMRI,149,0,456
AMRN,112,0,557
ANA,141,0,568
APD,97,0,437
APDM,98,0,472
APDO,100,0,472
APG,260,0,531
APN,68,0,207
ARN,145,0,186
ASA,66,0,197
ASB,62,0,197
ASD,72,0,197
ASDL,79,0,476
ASDM,68,0,234
ASDZ,68,0,200
ASHD,63,0,211
ASN,198,0,451
ASS,76,0,455
ASSP,69,0,248
ATN,115,0,354
AVAT,60,0,443
BD,72,0,129
BDE,153,0,230
BDG,60,0,198
BDM,241,0,520
BDPB,67,0,155
BET,51,0,159
BF,245,0,520
BGN,93,0,155
BHDV,25,32.12903225806452,20
BHV,42,0,197
BK,146,0,230
BKF,130,0,540
BKG,129,0,536
BKL,45,0,200
BL,182,0,456
BLL,94,0,492
BMN,85,0,320
BMR,85,0,95
BN,142,0,387
BNC,73,0,438
BNK,39,0,124
BNN,70,0,437
BNZ,75,0,454
BP,239,0,468
BR,111,0,210
BRD,51,0,150
BRN,57,0,221
BSD,0,0,0
BSK,74,0,288
BSKS,75,0,311
BSMZ,56,0,198
BTL,41,0,116
BV,101,0,515
BZL,125,0,186
CAS,99,0,479
CK,75,0,92
CL,15,0,43
CO,175,0,471
CPS,73,0,222
CVM,163,0,247
DA,158,0,456
DB,43,0,168
DDN,132,0,335
DDR,42,32.193548387096776,33
DDRS,39,32.12903225806452,31
DDZD,43,0,150
DEI,219,0,468
DID,82,0,317
DL,132,0,451
DLD,45,0,217
DLN,179,0,485
DMN,71,0,248
DMNZ,66,0,200
DN,83,0,182
DR,79,0,317
DRH,99,0,511
DRON,131,0,355
DRP,226,0,482
DT,76,0,220
DTC,93,0,337
DTCH,91,0,337
DTCP,75,0,220
DV,108,0,320
DVC,112,0,386
DVD,64,0,197
DVN,72,0,319
DVNK,86,0,305
DWE,232,0,468
DZ,264,0,549
DZW,263,0,549
EC,126,0,227
ED,72,0,200
EDC,74,0,222
EDN,168,0,231
EEM,271,0,548
EGH,162,0,246
EGHM,163,0,246
EHS,60,0,235
EHV,61,0,116
EKZ,133,0,548
EML,77,0,440
EMN,195,0,486
EMNZ,191,0,485
ES,145,0,387
ESK,141,0,387
EST,52,0,46
ETN,83,0,452
FN,232,0,468
FWD,229,0,468
GBG,168,0,471
GD,65,0,197
GDG,62,0,197
GDM,7,32.225806451612904,0
GDR,98,0,354
GERP,224,0,504
GK,245,0,519
GLN,142,0,229
GN,226,0,504
GND,28,32.193548387096776,20
GNN,230,0,519
GO,122,0,327
GP,67,0,178
GR,19,32.193548387096776,18
GS,130,0,186
GV,84,0,321
GVC,85,0,336
GVM,89,0,336
GVMW,83,0,321
GW,202,0,508
GZ,62,0,131
HAD,95,0,492
HB,153,0,260
