Station Code,Distance from BSK,Services from/to BSK,Disruptions on path to BSK
AC,56,0.0,124
AH,99,0.0,164
AHP,100,0.0,421
AHPR,102,0.0,421
AHZ,107,0.0,421
AKL,84,0.0,285
AKM,205,0.0,395
ALM,88,0.0,108
ALMB,94,0.0,239
ALMM,87,0.0,257
ALMO,96,0.0,239
ALMP,90,0.0,239
AMF,62,0.0,91
AMFS,65,0.0,331
AML,159,0.0,397
AMPO,85,0.0,257
AMR,85,0.0,138
AMRI,161,0.0,467
AMRN,86,0.0,213
ANA,115,0.0,224
APD,105,0.0,331
APDM,106,0.0,366
APDO,108,0.0,366
APG,268,0.0,425
APN,6,56.58064516129032,0
ARN,159,0.0,160
ASA,65,0.0,105
ASB,61,0.0,91
ASD,69,0.0,98
ASDL,62,0.0,148
ASDM,67,0.0,105
ASDZ,61,0.0,148
ASHD,60,0.0,251
ASN,206,0.0,345
ASS,65,0.0,98
ASSP,68,0.0,119
ATN,151,0.0,458
AVAT,68,0.0,337
BD,86,0.0,155
BDE,213,0.0,353
BDG,14,0.0,81
BDM,249,0.0,414
BDPB,81,0.0,277
BET,111,0.0,164
BF,253,0.0,414
BGN,107,0.0,276
BHDV,73,0.0,283
BHV,50,0.0,164
BK,206,0.0,354
BKF,119,0.0,183
BKG,118,0.0,179
BKL,44,0.0,91
BL,190,0.0,345
BLL,53,0.0,98
BMN,121,0.0,424
BMR,143,0.0,456
BN,168,0.0,467
BNC,81,0.0,332
BNK,49,0.0,164
BNN,78,0.0,331
BNZ,83,0.0,348
BP,247,0.0,348
BR,171,0.0,334
BRD,47,0.0,161
BRN,65,0.0,188
BSD,74,0.0,207
BSK,0,0.0,0
BSKS,1,56.58064516129032,0
BSMZ,64,0.0,165
BTL,101,0.0,237
BV,63,0.0,100
BZL,139,0.0,307
CAS,73,0.0,135
CK,133,0.0,453
CL,59,0.0,192
CO,183,0.0,365
CPS,25,0.0,85
CVM,191,0.0,131
DA,170,0.0,467
DB,53,0.0,164
DDN,163,0.0,381
DDR,56,0.0,155
DDRS,59,0.0,272
DDZD,57,0.0,272
DEI,227,0.0,348
DID,118,0.0,421
DL,140,0.0,345
DLD,53,0.0,184
DLN,187,0.0,379
DMN,70,0.0,119
DMNZ,65,0.0,108
DN,143,0.0,306
DR,115,0.0,421
DRH,58,0.0,99
DRON,137,0.0,253
DRP,234,0.0,362
DT,45,0.0,113
DTC,129,0.0,441
DTCH,127,0.0,441
DTCP,46,0.0,214
DV,120,0.0,331
DVC,124,0.0,366
DVD,63,0.0,105
DVN,108,0.0,423
DVNK,24,0.0,98
DWE,240,0.0,348
DZ,272,0.0,443
DZW,271,0.0,443
EC,186,0.0,351
ED,82,0.0,164
EDC,84,0.0,186
EDN,220,0.0,132
EEM,279,0.0,442
EGH,190,0.0,130
EGHM,191,0.0,130
EHS,120,0.0,240
EHV,121,0.0,240
EKZ,122,0.0,191
EML,85,0.0,331
EMN,203,0.0,380
EMNZ,199,0.0,379
ES,176,0.0,433
ESK,172,0.0,433
EST,110,0.0,421
ETN,97,0.0,478
FN,240,0.0,348
FWD,237,0.0,348
GBG,176,0.0,365
GD,12,56.58064516129032,0
GDG,15,0.0,85
GDM,67,0.0,164
GDR,134,0.0,458
GERP,232,0.0,398
GK,253,0.0,413
GLN,200,0.0,131
GN,234,0.0,398
GND,70,0.0,273
GNN,238,0.0,413
GO,153,0.0,373
GP,127,0.0,302
GR,79,0.0,283
GS,144,0.0,160
GV,37,0.0,98
GVC,36,0.0,98
GVM,32,0.0,183
GVMW,38,0.0,113
GW,210,0.0,402
GZ,96,0.0,478
HAD,46,0.0,98
HB,189,0.0,130
HBZM,67,0.0,273
HD,89,0.0,334
HDB,170,0.0,352
HDE,110,0.0,331
HDG,233,0.0,348
HDR,127,0.0,233
HDRZ,126,0.0,233
HFD,45,0.0,98
HGL,168,0.0,414
HGLG,166,0.0,414
HGLO,170,0.0,433
HGV,176,0.0,345
HGZ,245,0.0,421
HIL,39,0.0,98
HK,66,0.0,118
HKS,114,0.0,175
HLG,249,0.0,349
HLGH,250,0.0,353
HLM,50,0.0,98
HLMS,51,0.0,98
HLO,80,0.0,118
HM,134,0.0,302
HMBH,135,0.0,306
HMBV,131,0.0,302
HMH,133,0.0,302
HMN,98,0.0,210
HN,104,0.0,119
HNK,105,0.0,175
HNO,140,0.0,345
HNP,265,0.0,351
HON,139,0.0,366
HOR,53,0.0,164
HR,194,0.0,402
HRL,185,0.0,113
HRLW,187,0.0,130
HRN,228,0.0,398
HRT,161,0.0,334
HT,89,0.0,164
HTN,49,0.0,164
HTNC,50,0.0,192
HTO,90,0.0,237
HVL,68,0.0,331
HVS,59,0.0,164
HVSM,60,0.0,165
HVSP,58,0.0,164
HWD,92,0.0,214
HWZB,58,0.0,98
HZE,132,0.0,308
IJT,248,0.0,349
KBD,126,0.0,160
KBK,114,0.0,367
KLP,75,0.0,164
KMA,74,0.0,119
KMR,193,0.0,130
KMW,270,0.0,356
KPN,143,0.0,345
KPNZ,143,0.0,345
KRD,193,0.0,141
KRG,133,0.0,160
KTR,91,0.0,207
KW,242,0.0,419
KZ,73,0.0,122
LAA,35,0.0,98
LC,140,0.0,366
LDL,20,0.0,81
LDM,81,0.0,208
LEDN,21,0.0,88
LG,188,0.0,130
LLS,112,0.0,239
LLZM,25,0.0,85
LP,260,0.0,425
LTN,88,0.0,348
LTV,158,0.0,368
LUT,202,0.0,353
LW,223,0.0,331
LWC,226,0.0,348
MAS,48,0.0,164
MDB,163,0.0,187
MES,205,0.0,130
MG,233,0.0,348
MMLH,128,0.0,442
MP,156,0.0,345
MRB,162,0.0,352
MRN,61,0.0,196
MT,211,0.0,130
MTH,243,0.0,421
MTN,208,0.0,144
MTR,212,0.0,132
MZ,142,0.0,313
NDB,65,0.0,165
NH,192,0.0,130
NKK,73,0.0,331
NM,118,0.0,421
NMD,123,0.0,442
NMGO,121,0.0,442
NMH,121,0.0,442
NML,117,0.0,435
NS,101,0.0,331
NSCH,278,0.0,428
NVD,160,0.0,354
NVP,40,0.0,98
NWK,21,0.0,85
O,108,0.0,237
OBD,98,0.0,224
ODB,87,0.0,277
ODZ,179,0.0,433
OMN,151,0.0,352
OP,95,0.0,210
OST,130,0.0,397
OT,110,0.0,280
OTB,95,0.0,186
OVN,52,0.0,98
OW,107,0.0,237
PMO,86,0.0,119
PMR,85,0.0,119
PMW,84,0.0,122
PT,80,0.0,331
RAI,62,0.0,222
RAT,146,0.0,345
RB,123,0.0,277
RD,272,0.0,429
RH,109,0.0,422
RHN,84,0.0,199
RL,145,0.0,368
RLB,43,0.0,155
RM,173,0.0,302
RS,96,0.0,237
RSD,94,0.0,155
RSN,146,0.0,366
RSW,40,0.0,113
RTA,26,0.0,85
RTB,37,0.0,155
RTD,36,0.0,85
RTN,31,0.0,87
RTST,41,0.0,155
RTZ,40,0.0,155
RV,184,0.0,351
RVS,116,0.0,258
SBK,197,0.0,130
SD,61,0.0,188
SDA,261,0.0,419
SDM,40,0.0,155
SDT,66,0.0,272
SDTB,63,0.0,272
SGL,201,0.0,130
SGN,106,0.0,224
SHL,50,0.0,98
SK,245,0.0,348
SKND,244,0.0,348
SM,178,0.0,351
SN,195,0.0,130
SOG,195,0.0,130
SPTN,57,0.0,98
SPTZ,55,0.0,98
SRN,191,0.0,380
SSH,29,0.0,98
ST,60,0.0,188
STD,198,0.0,351
STM,256,0.0,425
STV,274,0.0,356
STZ,59,0.0,188
SWD,245,0.0,413
SWK,170,0.0,395
TB,107,0.0,478
TBG,135,0.0,458
TBR,102,0.0,497
TBU,106,0.0,499
TG,178,0.0,303
TL,79,0.0,207
TPSW,77,0.0,207
TWL,115,0.0,366
UHM,269,0.0,429
UHZ,266,0.0,429
UST,261,0.0,428
UT,41,0.0,91
UTG,69,0.0,118
UTLN,45,0.0,164
UTLR,38,0.0,105
UTO,44,0.0,164
UTT,36,0.0,100
UTVR,42,0.0,164
UTZL,43,0.0,164
VB,37,0.0,85
VD,135,0.0,366
VDL,189,0.0,130
VDM,261,0.0,426
VEM,119,0.0,368
VG,93,0.0,237
VH,29,0.0,98
VHP,168,0.0,355
VK,198,0.0,130
VL,173,0.0,302
VLB,150,0.0,484
VNDC,76,0.0,198
VNDW,75,0.0,198
VP,105,0.0,422
VRY,157,0.0,485
VS,169,0.0,187
VSS,168,0.0,160
VST,26,0.0,183
VSV,142,0.0,458
VTN,34,0.0,91
VZ,165,0.0,467
WAD,4,56.58064516129032,0
WADN,3,56.58064516129032,0
WADT,5,56.58064516129032,0
WC,123,0.0,261
WD,25,0.0,90
WDN,154,0.0,373
WF,91,0.0,186
WFM,258,0.0,428
WH,137,0.0,407
WK,261,0.0,351
WL,124,0.0,441
WM,76,0.0,144
WP,72,0.0,251
WR,288,0.0,437
WS,266,0.0,428
WSM,250,0.0,414
WT,149,0.0,302
WTV,104,0.0,423
WV,183,0.0,345
WW,163,0.0,477
WWW,164,0.0,477
WZ,119,0.0,344
YPB,33,0.0,88
ZA,101,0.0,210
ZB,253,0.0,422
ZBM,76,0.0,207
ZD,71,0.0,119
ZDK,74,0.0,122
ZH,246,0.0,413
ZL,128,0.0,331
ZLSH,133,0.0,345
ZLW,71,0.0,272
ZP,123,0.0,366
ZTM,28,0.0,85
ZTMO,27,0.0,85
ZV,113,0.0,421
ZVB,79,0.0,277
ZVT,58,0.0,98
ZWD,54,0.0,260
ZZS,74,0.0,122
