Station Code,Distance from BSMZ,Services from/to BSMZ,Disruptions on path to BSMZ
AC,26,0.0,17
AH,72,0.0,281
AHP,73,0.0,538
AHPR,75,0.0,538
AHZ,80,0.0,538
AKL,70,0.0,118
AKM,164,0.0,65
ALM,26,0.0,12
ALMB,32,0.0,143
ALMM,25,0.0,11
ALMO,34,0.0,143
ALMP,28,0.0,143
AMF,21,38.2258064516129,1
AMFS,24,32.96774193548387,241
AML,118,0.0,307
AMPO,23,0.0,11
AMR,63,0.0,303
AMRI,120,0.0,377
AMRN,64,0.0,378
ANA,93,0.0,389
APD,64,0.0,241
APDM,65,0.0,276
APDO,67,0.0,276
APG,227,0.0,95
APN,58,0.0,84
ARN,201,0.0,271
ASA,21,0.0,29
ASB,21,0.0,29
ASD,24,37.45161290322581,18
ASDL,31,18.774193548387096,276
ASDM,20,37.38709677419355,18
ASDZ,23,15.064516129032258,29
ASHD,22,0.0,43
ASN,165,0.0,15
ASS,28,18.774193548387096,276
ASSP,19,37.45161290322581,18
ATN,124,0.0,575
AVAT,27,32.96774193548387,247
BD,114,0.0,160
BDE,195,0.0,263
BDG,50,0.0,75
BDM,208,0.0,84
BDPB,119,0.0,483
BET,93,0.0,74
BF,212,0.0,84
BGN,149,0.0,270
BHDV,81,0.0,138
BHV,26,0.0,1
BK,188,0.0,264
BKF,82,0.0,361
BKG,81,0.0,357
BKL,35,0.0,74
BL,149,0.0,15
BLL,46,0.0,313
BMN,89,0.0,276
BMR,116,0.0,316
BN,127,0.0,377
BNC,40,0.0,242
BNK,31,0.0,74
BNN,37,0.0,241
BNZ,42,0.0,258
BP,206,0.0,258
BR,151,0.0,345
BRD,90,0.0,235
BRN,12,38.2258064516129,1
BSD,56,0.0,117
BSK,64,0.0,165
BSKS,65,0.0,188
BSMZ,0,0.0,0
BTL,83,0.0,147
BV,53,0.0,297
BZL,181,0.0,301
CAS,51,0.0,300
CK,106,0.0,313
CL,41,0.0,102
CO,142,0.0,35
CPS,68,0.0,159
CVM,205,0.0,281
DA,129,0.0,25
DB,35,0.0,74
DDN,122,0.0,291
DDR,98,0.0,149
DDRS,95,0.0,149
DDZD,99,0.0,266
DEI,186,0.0,258
DID,91,0.0,538
DL,99,0.0,15
DLD,24,0.0,15
DLN,146,0.0,49
DMN,17,37.45161290322581,17
DMNZ,17,15.064516129032258,17
DN,125,0.0,216
