Station Code,Distance from BTL,Services from/to BTL,Disruptions on path to BTL
AC,84,0.0,106
AH,74,0.0,97
AHP,75,0.0,354
AHPR,77,0.0,354
AHZ,66,0.0,129
AKL,55,0.0,117
AKM,224,0.0,450
ALM,109,0.0,159
ALMB,115,0.0,290
ALMM,108,0.0,158
ALMO,117,0.0,290
ALMP,111,0.0,290
AMF,81,0.0,146
AMFS,84,0.0,386
AML,158,0.0,423
AMPO,106,0.0,158
AMR,138,0.0,431
AMRI,160,0.0,493
AMRN,139,0.0,506
ANA,168,0.0,517
APD,121,0.0,357
APDM,120,0.0,358
APDO,124,0.0,392
APG,287,0.0,480
APN,95,0.0,156
ARN,127,0.0,341
ASA,93,0.064516129032258,146
ASB,89,0.0967741935483871,146
ASD,99,0.064516129032258,146
ASDL,106,0.0,404
ASDM,95,0.0,183
ASDZ,95,0.064516129032258,160
ASHD,88,0.0,233
ASN,225,0.0,400
ASS,103,0.064516129032258,404
ASSP,96,0.0,197
ATN,126,0.0,391
AVAT,87,0.0,392
BD,38,0.064516129032258,13
BDE,112,0.0,51
BDG,87,0.0,147
BDM,268,0.0,469
BDPB,43,0.0,336
BET,10,59.903225806451616,0
BF,272,0.0,469
BGN,75,0.0,341
BHDV,66,0.0,137
BHV,69,0.0,146
BK,105,0.0,52
BKF,157,0.064516129032258,489
BKG,156,0.064516129032258,485
BKL,72,0.0,73
BL,209,0.0,400
BLL,121,0.0,441
BMN,96,0.0,357
BMR,80,0.0,129
BN,153,0.0,424
BNC,100,0.0,387
BNK,66,0.0,197
BNN,97,0.0,386
BNZ,102,0.0,403
BP,266,0.0,403
BR,70,0.032258064516129,32
BRD,77,0.0,453
BRN,84,0.0,170
BSD,41,0.0,116
BSK,101,0.0,237
BSKS,102,0.0,260
BSMZ,83,0.0,147
BTL,0,0.0,0
BV,128,0.0,425
BZL,107,0.0,372
CAS,126,0.0,428
CK,70,0.0,126
CL,42,0.0,116
CO,198,0.0,510
CPS,99,0.0,408
CVM,122,0.0,69
DA,169,0.0,493
DB,70,0.0,241
DDN,143,0.0,372
DDR,68,0.0,336
DDRS,71,0.0,453
DDZD,67,0.0,359
DEI,246,0.0,403
DID,93,0.0,354
DL,159,0.0,400
DLD,72,0.0,166
DLN,202,0.0,524
DMN,98,0.0,197
DMNZ,93,0.0,149
DN,42,28.741935483870968,4
DR,90,0.0,354
DRH,126,0.0,442
DRON,158,0.0,304
DRP,253,0.0,417
DT,102,0.064516129032258,453
DTC,104,0.0,374
DTCH,102,0.0,374
DTCP,101,0.0,406
DV,119,0.0,357
DVC,123,0.0,423
DVD,91,0.0,146
DVN,83,0.0,356
DVNK,113,0.0,254
DWE,259,0.0,403
DZ,291,0.0,498
DZW,290,0.0,498
EC,85,0.0,49
ED,91,0.0,354
EDC,93,0.0,376
EDN,127,0.0,53
EEM,298,0.0,497
EGH,121,0.0,68
EGHM,122,0.0,68
EHS,19,59.903225806451616,76
EHV,20,60.064516129032256,0
EKZ,160,0.064516129032258,497
EML,104,0.0,386
EMN,218,0.0,525
EMNZ,214,0.0,524
ES,156,0.0,424
ESK,152,0.0,424
EST,63,0.0,115
ETN,49,0.0,336
FN,259,0.0,403
FWD,256,0.0,403
GBG,191,0.0,510
GD,92,0.0,146
GDG,89,0.0,146
GDM,34,0.0,73
GDR,109,0.0,391
GERP,251,0.0,453
GK,272,0.0,468
GLN,101,0.0,51
GN,253,0.0,453
GND,69,0.0,137
GNN,257,0.0,468
GO,133,0.0,364
GP,26,28.516129032258064,62
GR,60,0.0,135
GS,112,0.0,341
GV,110,0.064516129032258,554
GVC,111,0.064516129032258,569
GVM,115,0.0,569
GVMW,109,0.0,554
GW,229,0.0,457
GZ,28,0.0,15
HAD,122,0.0,425
HB,112,0.0,82
HBZM,72,0.0,147
HD,108,0.0,389
HDB,185,0.0,497
HDE,129,0.0,386
HDG,252,0.0,403
HDR,180,0.0,526
HDRZ,179,0.0,526
HFD,111,0.0,234
HGL,148,0.0,405
HGLG,146,0.0,405
HGLO,150,0.0,424
HGV,195,0.0,400
HGZ,264,0.0,476
HIL,128,0.0,254
HK,125,0.0,464
HKS,152,0.064516129032258,481
HLG,268,0.0,404
HLGH,269,0.0,408
HLM,118,0.0,404
HLMS,117,0.0,425
HLO,133,0.0,431
HM,33,28.741935483870968,0
HMBH,34,28.70967741935484,4
HMBV,30,28.70967741935484,62
HMH,32,28.70967741935484,62
HMN,65,0.0,119
HN,142,0.064516129032258,425
HNK,143,0.064516129032258,481
HNO,159,0.0,400
HNP,284,0.0,406
HON,138,0.0,357
HOR,72,0.0,146
HR,213,0.0,457
HRL,116,0.032258064516129,51
HRLW,118,0.0,68
HRN,247,0.0,453
HRT,60,0.032258064516129,32
HT,12,31.06451612903226,0
HTN,52,0.0,169
HTNC,51,0.0,169
HTO,13,0.935483870967742,73
HVL,87,0.0,386
HVS,78,0.0,146
HVSM,79,0.0,147
HVSP,77,0.0,146
HWD,145,0.0,507
HWZB,110,0.0,425
HZE,31,28.516129032258064,68
IJT,267,0.0,404
KBD,94,0.0,341
KBK,112,0.0,357
KLP,92,0.0,273
KMA,117,0.0,438
KMR,124,0.0,68
KMW,289,0.0,411
KPN,162,0.0,400
KPNZ,162,0.0,400
KRD,124,0.0,79
KRG,101,0.0,341
KTR,58,0.0,116
KW,261,0.0,474
KZ,111,0.0,428
LAA,112,0.0,569
LC,120,0.0,357
LDL,109,0.0,237
LDM,48,0.0,117
LEDN,110,0.0,244
LG,119,0.0,68
LLS,133,0.0,290
LLZM,105,0.0,231
