Station Code,Distance from BV,Services from/to BV,Disruptions on path to BV
AC,44,0.0,293
AH,125,0.0967741935483871,573
AHP,126,0.0,830
AHPR,128,0.0,830
AHZ,133,0.0,830
AKL,115,0.0,396
AKM,217,0.0,343
ALM,59,0.0,279
ALMB,65,0.0,410
ALMM,58,0.0,286
ALMO,67,0.0,410
ALMP,61,0.0,410
AMF,74,0.0,293
AMFS,77,0.0,533
AML,171,0.0,599
AMPO,56,0.0,286
AMR,22,35.03225806451613,3
AMRI,173,0.0,669
AMRN,23,29.161290322580644,78
ANA,52,0.0967741935483871,89
APD,117,0.0,533
APDM,118,0.0,568
APDO,120,0.0,568
APG,280,0.0,373
APN,57,0.0,54
ARN,203,0.0,238
ASA,35,0.0967741935483871,279
ASB,39,0.0,279
ASD,29,35.38709677419355,21
ASDL,28,0.0,21
ASDM,33,0.0,279
ASDZ,41,0.0,279
ASHD,40,0.0,293
ASN,218,0.0,293
ASS,25,35.38709677419355,0
ASSP,34,0.0,279
ATN,177,0.0,867
AVAT,80,0.0,539
BD,130,0.0,233
BDE,238,0.0,81
BDG,65,0.0,135
BDM,261,0.0,362
BDPB,125,0.0,285
BET,138,0.0,352
BF,265,0.0,362
BGN,151,0.0,284
BHDV,117,0.0,291
BHV,77,0.0,352
BK,233,0.0,82
BKF,61,0.0,153
BKG,60,0.0,149
BKL,56,0.0,420
BL,202,0.0,293
BLL,10,35.41935483870968,2
BMN,142,0.0,568
BMR,169,0.0,608
BN,180,0.0,669
BNC,93,0.0,534
BNK,76,0.0,352
BNN,90,0.0,533
BNZ,95,0.0,550
BP,259,0.0,550
BR,198,0.0,522
BRD,91,0.0,239
BRN,65,0.0,280
BSD,101,0.0,395
BSK,63,0.0,135
BSKS,64,0.0,158
BSMZ,53,0.0,297
BTL,128,0.0,425
BV,0,0.0,0
BZL,183,0.0,315
CAS,10,35.064516129032256,0
CK,159,0.0,605
CL,86,0.0,380
CO,195,0.0,313
CPS,88,0.0,243
CVM,212,0.0,80
DA,182,0.0,303
DB,80,0.0967741935483871,352
DDN,175,0.0,583
DDR,100,0.0,163
DDRS,103,0.0,280
DDZD,101,0.0,280
DEI,239,0.0,550
DID,144,0.0,830
DL,152,0.0,293
DLD,77,0.0,294
DLN,199,0.0,327
DMN,36,0.0,279
DMNZ,39,0.0,319
DN,170,0.0,494
DR,141,0.0,830
DRH,5,37.774193548387096,0
DRON,108,0.0,424
DRP,246,0.0,564
DT,66,0.0,62
DTC,155,0.0,850
DTCH,153,0.0,850
DTCP,67,0.0,163
DV,132,0.0,533
DVC,136,0.0,568
DVD,37,0.0,316
DVN,134,0.0,832
DVNK,45,0.0,47
DWE,252,0.0,550
DZ,284,0.0,391
DZW,283,0.0,391
EC,213,0.0,539
ED,108,0.0967741935483871,551
EDC,106,0.0,550
EDN,241,0.0,81
EEM,291,0.0,390
EGH,211,0.0,79
EGHM,212,0.0,79
EHS,147,0.0,428
EHV,148,0.0,428
EKZ,64,0.0,161
EML,97,0.0,533
EMN,215,0.0,328
EMNZ,211,0.0,327
ES,188,0.0,635
ESK,184,0.0,635
EST,136,0.0,830
ETN,141,0.0,556
FN,252,0.0,550
FWD,249,0.0,550
GBG,188,0.0,313
GD,75,0.0,158
GDG,78,0.0,243
GDM,94,0.0,352
GDR,160,0.0,867
GERP,244,0.0,346
GK,265,0.0,361
GLN,221,0.0,80
GN,246,0.0,346
GND,114,0.0,281
GNN,250,0.0,361
GO,165,0.0,575
GP,154,0.0,490
GR,120,0.0,414
GS,188,0.0,238
GV,58,0.0,47
GVC,57,0.0,47
GVM,53,0.0,132
GVMW,59,0.0,62
GW,222,0.0,350
GZ,140,0.0,556
HAD,17,0.0,37
HB,210,0.0,79
HBZM,111,0.0,281
HD,101,0.0,536
HDB,182,0.0,300
HDE,122,0.0,533
HDG,245,0.0,550
HDR,64,0.0967741935483871,98
HDRZ,63,0.0967741935483871,98
HFD,45,0.0,71
HGL,180,0.0,616
HGLG,178,0.0,616
HGLO,182,0.0,635
HGV,188,0.0,293
HGZ,257,0.0,369
HIL,24,0.0,2
HK,3,37.935483870967744,0
HKS,56,0.0,145
HLG,261,0.0,551
HLGH,262,0.0,555
HLM,13,35.516129032258064,0
HLMS,14,35.29032258064516,37
HLO,17,35.03225806451613,0
HM,161,0.0,490
HMBH,162,0.0,494
HMBV,158,0.0,490
HMH,160,0.0,490
HMN,125,0.0,398
HN,46,29.06451612903226,89
HNK,47,0.0,145
HNO,152,0.0,293
HNP,277,0.0,553
HON,151,0.0,568
HOR,64,0.0,279
HR,206,0.0,350
HRL,206,0.0,62
HRLW,208,0.0,79
HRN,240,0.0,346
HRT,188,0.0,522
HT,116,0.0,352
HTN,76,0.0,352
HTNC,77,0.0,380
HTO,117,0.0,425
HVL,80,0.0,533
HVS,58,0.0,279
HVSM,57,0.0,330
HVSP,59,0.0,280
HWD,29,29.161290322580644,79
HWZB,21,35.29032258064516,37
HZE,159,0.0,496
IJT,260,0.0,551
KBD,170,0.0,238
KBK,126,0.0,569
KLP,102,0.032258064516129,352
KMA,11,0.0,1
KMR,214,0.0,79
KMW,282,0.0,558
KPN,155,0.0,3
KPNZ,125,0.0,425
KRD,214,0.0,90
KRG,177,0.0,238
KTR,118,0.0,395
KW,254,0.0,367
KZ,17,0.0,36
LAA,56,0.0,47
LC,152,0.0,568
LDL,43,0.0,47
LDM,108,0.0,396
LEDN,42,0.0,37
LG,209,0.0,79
LLS,83,0.0,410
LLZM,72,0.0,76
LP,272,0.0,373
LTN,100,0.0,550
LTV,170,0.0,570
LUT,229,0.0,81
LW,235,0.0,533
LWC,238,0.0,550
MAS,61,0.0,293
MDB,207,0.0,265
MES,226,0.0,79
MG,245,0.0,550
MMLH,154,0.0,594
MP,168,0.0,293
MRB,174,0.0,300
MRN,88,0.0,384
MT,232,0.0,79
MTH,255,0.0,369
MTN,229,0.0,93
MTR,233,0.0,81
MZ,169,0.0,501
NDB,52,0.0,286
NH,213,0.0,79
NKK,85,0.0,533
NM,144,0.0967741935483871,573
NMD,149,0.0,594
NMGO,147,0.0,594
NMH,147,0.0,594
NML,143,0.0,844
NS,113,0.0,533
NSCH,290,0.0,376
NVD,172,0.0,302
NVP,50,0.0,71
NWK,84,0.0,243
O,135,0.0,425
OBD,35,29.06451612903226,89
ODB,131,0.0,285
ODZ,191,0.0,635
OMN,163,0.0,300
OP,122,0.0,398
OST,142,0.0,599
OT,137,0.0,468
OTB,121,0.0,573
OVN,15,0.0,37
OW,134,0.0,425
PMO,34,0.0,3
PMR,33,0.0,5
PMW,32,0.0,3
PT,92,0.0,533
RAI,40,0.0,319
RAT,158,0.0,293
RB,167,0.0,285
RD,284,0.0,377
RH,135,0.0,831
RHN,111,0.0,387
RL,157,0.0,570
RLB,87,0.0,233
RM,200,0.0,490
RS,123,0.0,425
RSD,138,0.0,233
RSN,158,0.0,568
RSW,61,0.0,62
RTA,89,0.0,243
RTB,81,0.0,233
RTD,80,0.0,163
RTN,85,0.0,233
RTST,85,0.0,233
RTZ,84,0.0,233
RV,211,0.0,539
RVS,143,0.0,446
SBK,218,0.0,79
SD,69,0.0,294
SDA,273,0.0,367
SDM,76,0.0,163
SDT,110,0.0,280
SDTB,107,0.0,280
SGL,222,0.0,79
SGN,43,0.0967741935483871,89
SHL,40,0.0,21
SK,257,0.0,550
SKND,256,0.0,550
SM,205,0.0,539
SN,216,0.0,79
SOG,216,0.0,79
SPTN,6,37.774193548387096,1
SPTZ,8,35.41935483870968,2
SRN,218,0.0,568
SSH,50,0.0,47
ST,70,0.0,294
STD,225,0.0,79
STM,268,0.0,373
STV,286,0.0,558
STZ,71,0.0,294
SWD,257,0.0,361
SWK,182,0.0,343
TB,138,0.0,425
TBG,161,0.0,867
TBR,143,0.0,438
TBU,139,0.0,438
TG,205,0.0,491
TL,106,0.0,395
TPSW,104,0.0,395
TWL,127,0.0,568
UHM,281,0.0,377
UHZ,278,0.0,377
UST,273,0.0,376
UT,68,0.0967741935483871,279
UTG,6,37.935483870967744,0
UTLN,72,0.0,352
UTLR,71,0.0,352
UTO,71,0.0,352
UTT,73,0.0,352
UTVR,69,0.0,352
UTZL,66,0.0,296
VB,60,0.0,76
VD,147,0.0,568
VDL,210,0.0,79
VDM,273,0.0,374
VEM,131,0.0,570
VG,120,0.0,425
VH,34,0.0,2
VHP,180,0.0,303
VK,219,0.0,79
VL,200,0.0,490
VLB,176,0.0,636
VNDC,103,0.0,386
VNDW,102,0.0,386
VP,131,0.0,831
VRY,183,0.0,637
VS,213,0.0,265
VSS,212,0.0,238
VST,47,0.0,132
VSV,168,0.0,867
VTN,75,0.0,357
VZ,177,0.0,669
WAD,67,0.0,158
WADN,66,0.0,158
WADT,68,0.0,158
WC,150,0.0,449
WD,75,0.0,279
WDN,166,0.0,575
WF,117,0.0,573
WFM,270,0.0,376
WH,149,0.0,609
WK,273,0.0,553
WL,150,0.0,850
WM,13,0.0,26
WP,43,0.0,280
WR,300,0.0,385
WS,278,0.0,376
WSM,262,0.0,362
WT,176,0.0,490
WTV,130,0.0,832
WV,195,0.0,293
WW,180,0.0,582
WWW,179,0.0,582
WZ,131,0.0,546
YPB,64,0.0,79
ZA,128,0.0,398
ZB,265,0.0,370
ZBM,103,0.0,395
ZD,19,0.064516129032258,0
ZDK,22,0.0,3
ZH,258,0.0,361
ZL,140,0.0,279
ZLSH,145,0.0,3
ZLW,115,0.0,280
ZP,135,0.0,568
ZTM,69,0.0,76
ZTMO,70,0.0,76
ZV,139,0.0,830
ZVB,123,0.0,285
ZVT,21,0.0,37
ZWD,98,0.0,338
ZZS,16,0.0,36
