Station Code,distance_BZL,services_per_day_BZL,n_of_disruptions_BZL
AC,174,0,233
AH,174,0,487
AHP,175,0,744
AHPR,177,0,746
AHZ,166,0,501
AKL,111,0,168
AKM,322,0,688
ALM,207,0,397
ALMB,213,0,528
ALMM,206,0,396
ALMO,215,0,528
ALMP,209,0,528
AMF,179,0,384
AMFS,182,0,624
AML,258,0,813
AMPO,204,0,396
AMR,205,0,351
AMRI,260,0,883
AMRN,206,0,426
ANA,235,0,437
APD,221,0,747
APDM,220,0,748
APDO,224,0,782
APG,385,0,718
APN,145,0,214
ARN,20,33.903225806451616,0
ASA,187,0,233
ASB,187,0,156
ASD,189,17.387096774193548,156
ASDL,182,0,156
ASDM,189,0,270
ASDZ,181,0,156
ASHD,188,0,170
ASN,323,0,638
ASS,185,17.387096774193548,156
ASSP,190,0,284
ATN,226,0,781
AVAT,185,0,630
BD,69,0,36
BDE,219,0,473
BDG,153,0,295
BDM,366,0,707
BDPB,74,0,359
BET,117,0,415
BF,370,0,707
BGN,32,33.516129032258064,0
BHDV,100,0,166
BHV,167,0,384
BK,212,0,473
BKF,239,0,241
BKG,238,0,237
BKL,162,0,200
BL,307,0,643
BLL,173,0,309
BMN,196,0,747
BMR,180,0,501
BN,253,0,814
BNC,198,0,625
BNK,164,0,311
BNN,195,0,624
BNZ,200,0,641
BP,364,0,655
BR,177,0,453
BRD,92,0,153
BRN,182,0,408
BSD,125,0,186
BSK,139,0,191
BSKS,138,0,191
BSMZ,181,0,385
BTL,107,0,372
BV,183,0,329
BZL,0,0,0
CAS,193,0,348
CK,170,0,498
CL,140,0,230
CO,298,0,900
CPS,114,0,108
CVM,229,0,490
DA,269,0,883
DB,168,0,355
DDN,243,0,762
DDR,83,21.64516129032258,36
DDRS,86,0,153
DDZD,82,0.06451612903225806,41
DEI,344,0,655
DID,193,0,744
DL,257,0,638
DLD,170,0,404
DLN,302,0,914
DMN,192,0,284
DMNZ,187,0,233
DN,149,0,425
DR,190,0,744
DRH,178,0,328
DRON,256,0,542
DRP,351,0,669
DT,117,21.612903225806452,106
DTC,204,0,764
DTCH,202,0,764
DTCP,116,0,106
DV,219,0,747
DVC,223,0,813
DVD,185,0,230
DVN,183,0,746
DVNK,138,0,225
DWE,357,0,655
DZ,389,0,736
DZW,388,0,736
EC,192,0,470
ED,191,0,744
EDC,193,0,766
EDN,234,0,474
EEM,396,0,735
EGH,228,0,489
EGHM,229,0,489
EHS,126,0,491
EHV,127,0,359
EKZ,242,0,249
EML,202,0,627
EMN,318,0,915
EMNZ,314,0,914
ES,256,0,814
ESK,252,0,814
EST,163,0,487
ETN,58,0,36
FN,357,0,655
FWD,354,0,655
GBG,291,0,900
GD,127,0,106
GDG,130,0,191
GDM,132,0,187
GDR,209,0,781
GERP,349,0,691
GK,370,0,706
GLN,208,0,472
GN,351,0,691
GND,97,0,156
GNN,355,0,706
GO,233,0,754
GP,133,0,421
GR,106,0,166
GS,5,41.225806451612904,0
GV,125,19.419354838709676,207
GVC,126,0,222
GVM,130,0,222
GVMW,124,0,207
GW,327,0,695
GZ,79,0,359
HAD,166,17.387096774193548,232
HB,219,0,503
HBZM,94,0,156
HD,206,0,627
HDB,285,0,887
HDE,227,0,624
HDG,350,0,655
HDR,247,0,446
HDRZ,246,0,446
HFD,165,0,222
HGL,248,0,795
HGLG,246,0,795
HGLO,250,0,814
HGV,293,0,638
HGZ,362,0,714
HIL,159,0,232
HK,186,0,347
HKS,234,0,233
HLG,366,0,656
HLGH,367,0,660
HLM,170,17.387096774193548,272
HLMS,171,0,309
HLO,200,0,351
HM,140,0,421
HMBH,141,0,425
HMBV,137,0,421
HMH,139,0,421
HMN,163,0,233
HN,224,0,177
HNK,225,0,233
HNO,257,0,638
HNP,382,0,658
HON,238,0,813
HOR,170,0,384
HR,311,0,638
HRL,223,0,472
HRLW,225,0,489
HRN,345,0,691
HRT,167,0,453
HT,112,0,372
HTN,150,0,283
HTNC,149,0,283
HTO,113,0,445
HVL,185,0,624
HVS,176,0,384
HVSM,177,0,385
HVSP,175,0,384
HWD,212,0,427
HWZB,178,0,309
HZE,138,0,427
IJT,365,0,656
KBD,13,33.483870967741936,0
KBK,212,0,747
KLP,190,0,387
KMA,194,0,348
KMR,231,0,489
KMW,387,0,663
KPN,260,0,638
KPNZ,260,0,638
KRD,231,0,500
KRG,6,33.516129032258064,0
KTR,156,0,230
KW,359,0,712
KZ,193,0,180
LAA,127,19.419354838709676,222
LC,220,0,747
LDL,142,0,232
LDM,118,0,186
LEDN,141,19.419354838709676,222
LG,226,0,489
LLS,231,0,528
LLZM,140,0,191
LP,377,0,718
LTN,199,0,767
LTV,238,0,749
LUT,208,0,472
LW,340,0,638
LWC,343,0,655
MAS,165,0,384
MDB,24,34.0,0
MES,231,0,474
MG,350,0,655
MMLH,165,0,487
MP,273,0,638
MRB,277,0,884
MRN,176,0,387
MT,225,0,472
MTH,360,0,714
MTN,228,0,474
MTR,226,0,474
MZ,148,0,432
NDB,182,0,385
NH,216,0,503
NKK,190,0,624
NM,155,0,466
NMD,150,0,469
NMGO,152,0,470
NMH,158,0,487
NML,156,0,487
NS,218,0,624
NSCH,395,0,721
NVD,261,0,820
NVP,160,0,232
NWK,118,0,164
O,131,0,445
OBD,218,0,437
ODB,52,0.06451612903225806,36
ODZ,259,0,814
OMN,268,0,645
OP,160,0,233
OST,229,0,813
OT,98,0,372
OTB,178,0,744
OVN,172,0,309
OW,130,0,448
PMO,206,0,178
PMR,205,0,177
PMW,204,0,180
PT,197,0,627
RAI,182,0,230
RAT,263,0,638
RB,16,33.516129032258064,0
RD,389,0,722
RH,184,0,747
RHN,199,0,390
RL,225,0,749
RLB,96,0,252
RM,179,0,421
RS,119,0,448
RSD,45,33.516129032258064,31
RSN,245,0,813
RSW,122,0,207
RTA,113,0,106
RTB,102,21.64516129032258,153
RTD,103,21.64516129032258,36
RTN,108,0,106
RTST,98,0,258
RTZ,99,0,258
RV,190,0,470
RVS,139,0,466
SBK,211,0,502
SD,178,0,408
SDA,378,0,712
SDM,107,21.612903225806452,106
SDT,93,0,155
SDTB,90,0,155
SGL,235,0,488
SGN,226,0,437
SHL,170,0,106
SK,362,0,655
SKND,361,0,655
SM,184,0,470
SN,213,0,503
SOG,233,0,489
SPTN,177,0,327
SPTZ,175,0,327
SRN,197,0,499
SSH,149,0,232
ST,177,0,408
STD,204,0,470
STM,373,0,718
STV,391,0,663
STZ,176,0,408
SWD,362,0,706
SWK,287,0,688
TB,90,0,359
TBG,210,0,781
TBR,85,0,378
TBU,89,0,380
TG,184,0,506
TL,144,0,230
TPSW,142,0,230
TWL,224,0,813
UHM,386,0,722
UHZ,383,0,722
UST,378,0,721
UT,158,0,311
UTG,189,0,347
UTLN,154,0,311
UTLR,156,0,214
UTO,161,0,384
UTT,154,0,209
UTVR,157,0,311
UTZL,160,0,384
VB,129,0,251
VD,215,0,747
VDL,227,0,489
VDM,378,0,719
VEM,207,0,747
VG,115,0,415
VH,149,0,232
VHP,271,0,884
VK,236,0,489
VL,179,0,505
VLB,187,0,529
VNDC,191,0,389
VNDW,190,0,389
VP,180,0,747
VRY,194,0,530
VS,30,33.903225806451616,2
VSS,29,33.903225806451616,2
VST,136,0,225
VSV,217,0,781
VTN,152,0,200
VZ,264,0,883
WAD,135,0,191
WADN,136,0,191
WADT,134,0,191
WC,146,0,469
WD,143,0,199
WDN,253,0,820
WF,182,0,744
WFM,375,0,721
WH,236,0,823
WK,378,0,658
WL,199,0,764
WM,196,0,373
WP,191,0,396
WR,405,0,730
WS,383,0,721
WSM,367,0,707
WT,155,0,421
WTV,179,0,746
WV,300,0,638
WW,238,0,800
WWW,239,0,800
WZ,236,0,637
YPB,133,0,254
ZA,166,0,233
ZB,370,0,715
ZBM,125,0,445
ZD,191,0,177
ZDK,194,0,180
ZH,363,0,706
ZL,245,0,624
ZLSH,250,0,638
ZLW,68,0.06451612903225806,36
ZP,203,0,747
ZTM,138,0,251
ZTMO,139,0,254
ZV,188,0,744
ZVB,60,0.06451612903225806,66
ZVT,178,0,310
ZWD,85,0,153
ZZS,194,0,180
