Station Code,distance_CAS,services_per_day_CAS,n_of_disruptions_CAS
AC,42,2.5806451612903225,296
AH,123,35.806451612903224,563
AHP,124,0,820
AHPR,126,0,822
AHZ,131,0.8387096774193549,820
AKL,113,0,480
AKM,215,0,434
ALM,57,0,282
ALMB,63,0,413
ALMM,56,0,303
ALMO,65,0,413
ALMP,59,0,413
AMF,72,0,283
AMFS,75,0,523
AML,169,0,589
AMPO,54,0,303
AMR,12,90.3225806451613,0
AMRI,171,0,659
AMRN,13,65.16129032258064,75
ANA,42,36.096774193548384,86
APD,115,0,523
APDM,116,0,558
APDO,118,0,558
APG,278,0,512
APN,67,0,133
ARN,213,0,348
ASA,33,53.41935483870968,282
ASB,37,3.225806451612903,282
ASD,27,89.7741935483871,24
ASDL,26,0,24
ASDM,31,2.5806451612903225,282
ASDZ,39,0,282
ASHD,38,2.5806451612903225,296
ASN,216,0,432
ASS,23,89.7741935483871,3
ASSP,32,0,296
ATN,175,0,857
AVAT,78,0,529
BD,140,0,312
BDE,238,0.03225806451612903,542
BDG,75,0,214
BDM,259,0,501
BDPB,135,0,434
BET,136,0.03225806451612903,471
BF,263,0,501
BGN,161,0,317
BHDV,124,0,500
BHV,75,0,355
BK,231,0,542
BKF,51,0,150
BKG,50,0,146
BKL,64,2.5806451612903225,299
BL,200,0,432
BLL,20,33.193548387096776,21
BMN,140,0,558
BMR,167,0,855
BN,178,0,659
BNC,91,0,524
BNK,74,0.5161290322580645,355
BNN,88,0,523
BNZ,93,0,540
BP,257,0,444
BR,196,0,522
BRD,101,0,327
BRN,63,0,283
BSD,99,0,479
BSK,73,0,214
BSKS,74,0,237
BSMZ,51,0,314
BTL,126,0,428
BV,10,35.61290322580645,1
BZL,193,0,348
CAS,0,0,0
CK,157,0,852
CL,84,0,383
CO,193,0,458
CPS,98,2.064516129032258,322
CVM,248,0,559
DA,180,0,659
DB,78,36.32258064516129,355
DDN,173,0,573
DDR,110,0,312
DDRS,113,0,429
DDZD,111,0,429
DEI,237,0,444
DID,142,0,820
DL,150,0,438
DLD,75,0,297
DLN,197,0,472
DMN,34,0,296
DMNZ,37,0,322
DN,168,0,494
DR,139,0,820
DRH,15,35.54838709677419,19
DRON,106,0,427
DRP,244,0,458
DT,76,0,141
DTC,153,0,840
DTCH,151,0,840
DTCP,77,0,242
DV,130,0,523
DVC,134,0,589
DVD,35,2.838709677419355,319
DVN,132,0,822
DVNK,55,0,126
DWE,250,0,444
DZ,282,0,536
DZW,281,0,536
EC,211,0,539
ED,106,35.806451612903224,541
EDC,104,0,540
EDN,253,0,543
EEM,289,0,535
EGH,247,0,558
EGHM,248,0,558
EHS,145,0,547
EHV,146,14.612903225806452,428
EKZ,54,0,158
EML,95,0,526
EMN,213,0,473
EMNZ,209,0,472
ES,186,0,625
