Station Code,Distance from CPS,Services from/to CPS,Disruptions on path to CPS
AC,60,36.483870967741936,127
AH,103,0.0,158
AHP,104,0.0,415
AHPR,106,0.0,417
AHZ,111,0.0,415
AKL,59,0.0,204
AKM,209,0.0,462
ALM,94,0.0,171
ALMB,100,0.0,302
ALMM,93,0.0,170
ALMO,102,0.0,302
ALMP,96,0.0,302
AMF,66,0.0,158
AMFS,69,0.0,398
AML,163,0.0,464
AMPO,91,0.0,170
AMR,110,2.838709677419355,325
AMRI,165,0.0,534
AMRN,111,0.0,400
ANA,140,0.0,411
APD,109,0.0,398
APDM,110,0.0,433
APDO,112,0.0,433
APG,272,0.0,492
APN,31,0.0,108
ARN,134,0.0,108
ASA,78,36.483870967741936,158
ASB,74,36.483870967741936,158
ASD,84,36.483870967741936,158
ASDL,87,0.0,256
ASDM,80,36.483870967741936,195
ASDZ,80,0.0,161
ASHD,75,36.483870967741936,172
ASN,210,0.0,412
ASS,88,36.193548387096776,416
ASSP,81,0.0,209
ATN,155,0.0,452
AVAT,72,0.0,404
BD,61,0.0,72
BDE,211,0.0,509
BDG,39,0.0,189
BDM,253,0.0,481
BDPB,56,0.0,194
BET,109,0.0,451
BF,257,0.0,481
BGN,82,0.0,77
BHDV,48,0.0,202
BHV,54,0.0,158
BK,204,0.0,509
BKF,142,0.0,501
BKG,141,0.0,497
BKL,48,36.483870967741936,94
BL,194,0.0,417
BLL,78,0.0,283
BMN,125,0.0,418
BMR,147,0.0,450
BN,172,0.0,534
BNC,85,0.0,399
BNK,53,0.0,158
BNN,82,0.0,398
BNZ,87,0.0,415
BP,251,0.0,429
BR,169,0.0,489
BRD,22,0.0,87
BRN,69,0.0,182
BSD,73,0.0,222
BSK,25,0.0,85
BSKS,24,0.0,85
BSMZ,68,0.0,159
BTL,99,0.0,408
BV,88,0.0,303
BZL,114,0.0,108
CAS,98,2.838709677419355,322
CK,137,0.0,447
CL,63,0.0,186
CO,187,0.0,432
CPS,0,0.0,0
CVM,221,0.0,526
DA,174,0.0,534
DB,57,0.0,158
DDN,167,0.0,448
DDR,31,0.0,72
DDRS,34,0.0,189
DDZD,32,0.0,189
DEI,231,0.0,429
DID,122,0.0,415
DL,144,0.0,412
DLD,57,0.0,178
DLN,191,0.0,446
DMN,83,0.0,209
DMNZ,78,0.0,161
DN,141,0.0,461
DR,119,0.0,415
DRH,83,0.0,302
DRON,143,0.0,316
DRP,238,0.0,443
DT,25,0.0,72
DTC,133,0.0,435
DTCH,131,0.0,435
DTCP,24,0.0,72
DV,124,0.0,398
DVC,128,0.0,464
DVD,76,36.483870967741936,158
DVN,112,0.0,417
DVNK,46,0.0,191
DWE,244,0.0,429
DZ,276,0.0,510
DZW,275,0.0,510
EC,184,0.0,506
ED,86,0.0,158
EDC,88,0.0,180
EDN,226,0.0,510
EEM,283,0.0,509
EGH,220,0.0,525
EGHM,221,0.0,525
EHS,118,0.0,527
EHV,119,0.0,395
EKZ,145,0.0,509
EML,89,0.0,401
EMN,207,0.0,447
EMNZ,203,0.0,446
ES,180,0.0,500
ESK,176,0.0,500
EST,114,0.0,415
ETN,72,0.0,395
FN,244,0.0,429
FWD,241,0.0,429
GBG,180,0.0,432
GD,13,38.38709677419355,0
GDG,16,38.38709677419355,85
GDM,71,0.0,239
GDR,138,0.0,452
GERP,236,0.0,465
GK,257,0.0,480
GLN,200,0.0,508
GN,238,0.0,465
GND,45,0.0,192
GNN,242,0.0,480
GO,157,0.0,440
GP,125,0.0,457
GR,54,0.0,202
GS,119,0.0,108
GV,33,0.0,173
GVC,34,0.0,188
GVM,38,0.0,188
GVMW,32,0.0,173
GW,214,0.0,469
GZ,71,0.0,395
HAD,71,0.0,206
HB,211,0.0,539
HBZM,42,0.0,192
HD,93,0.0,401
HDB,174,0.0,419
HDE,114,0.0,398
HDG,237,0.0,429
HDR,152,0.0,420
HDRZ,151,0.0,420
HFD,70,0.0,206
HGL,172,0.0,481
HGLG,170,0.0,481
HGLO,174,0.0,500
HGV,180,0.0,412
HGZ,249,0.0,488
HIL,64,0.0,206
HK,91,0.0,321
HKS,137,0.0,493
HLG,253,0.0,430
HLGH,254,0.0,434
HLM,75,0.0,246
HLMS,76,0.0,283
HLO,105,2.838709677419355,325
HM,132,0.0,457
HMBH,133,0.0,461
HMBV,129,0.0,457
HMH,131,0.0,457
HMN,102,0.0,285
HN,127,0.0,437
HNK,128,0.0,493
HNO,144,0.0,412
HNP,269,0.0,432
HON,143,0.0,464
HOR,57,0.0,158
HR,198,0.0,412
HRL,215,0.0,508
HRLW,217,0.0,525
HRN,232,0.0,465
HRT,159,0.0,489
HT,93,0.0,158
HTN,53,0.0,158
HTNC,54,0.0,186
HTO,94,0.0,231
HVL,72,0.0,398
HVS,63,0.0,158
HVSM,64,0.0,159
HVSP,62,0.0,158
HWD,117,0.0,401
HWZB,83,0.0,283
HZE,130,0.0,463
IJT,252,0.0,430
KBD,101,0.0,108
KBK,118,0.0,434
KLP,79,0.0,158
KMA,99,36.193548387096776,322
KMR,223,0.0,525
KMW,274,0.0,437
KPN,147,0.0,412
KPNZ,147,0.0,412
KRD,223,0.0,536
KRG,108,0.0,108
KTR,95,0.0,282
KW,246,0.0,486
KZ,96,36.193548387096776,440
LAA,35,0.0,188
LC,144,0.0,433
LDL,45,0.0,189
LDM,66,0.0,222
LEDN,46,0.0,196
LG,218,0.0,525
LLS,118,0.0,302
LLZM,26,0.0,85
LP,264,0.0,492
LTN,92,0.0,415
LTV,162,0.0,435
LUT,200,0.0,508
LW,227,0.0,412
LWC,230,0.0,429
MAS,52,0.0,158
MDB,138,0.0,108
MES,223,0.0,510
MG,237,0.0,429
MMLH,132,0.0,436
MP,160,0.0,412
MRB,166,0.0,419
MRN,65,0.0,190
MT,217,0.0,508
MTH,247,0.0,488
MTN,220,0.0,510
MTR,218,0.0,510
MZ,140,0.0,468
NDB,69,0.0,159
NH,208,0.0,539
NKK,77,0.0,398
NM,122,0.0,415
NMD,127,0.0,436
NMGO,125,0.0,436
NMH,125,0.0,436
NML,121,0.0,429
NS,105,0.0,398
NSCH,282,0.0,495
NVD,164,0.0,412
NVP,65,0.0,206
NWK,4,38.38709677419355,0
O,112,0.0,231
OBD,123,0.0,411
ODB,62,0.0,194
ODZ,183,0.0,500
OMN,155,0.0,419
OP,99,0.0,285
OST,134,0.0,464
OT,90,0.0,408
OTB,99,0.0,180
OVN,77,0.0,283
OW,111,0.0,234
PMO,109,0.0,438
PMR,108,0.0,437
PMW,107,0.0,440
PT,84,0.0,401
RAI,79,0.0,161
RAT,150,0.0,412
RB,98,0.0,108
RD,276,0.0,496
RH,113,0.0,418
RHN,88,0.0,193
RL,149,0.0,435
RLB,18,0.0,81
RM,171,0.0,457
RS,100,0.0,234
RSD,69,0.0,72
RSN,150,0.0,464
RSW,30,0.0,173
RTA,1,38.516129032258064,0
RTB,12,0.0,72
RTD,11,38.516129032258064,2
RTN,6,38.516129032258064,2
RTST,16,0.0,81
RTZ,15,0.0,81
RV,182,0.0,506
RVS,120,0.0,252
SBK,203,0.0,538
SD,65,0.0,182
SDA,265,0.0,486
SDM,15,0.0,72
SDT,41,0.0,191
SDTB,38,0.0,191
SGL,227,0.0,524
SGN,131,0.0,411
SHL,75,0.0,206
SK,249,0.0,429
SKND,248,0.0,429
SM,176,0.0,506
SN,205,0.0,539
SOG,225,0.0,525
SPTN,82,0.0,301
SPTZ,80,0.0,301
SRN,189,0.0,535
SSH,54,0.0,206
ST,64,0.0,182
STD,196,0.0,506
STM,260,0.0,492
STV,278,0.0,437
STZ,63,0.0,182
SWD,249,0.0,480
SWK,174,0.0,462
TB,82,0.0,395
TBG,139,0.0,452
TBR,77,0.0,414
TBU,81,0.0,416
TG,176,0.0,542
TL,83,0.0,282
TPSW,81,0.0,282
TWL,119,0.0,433
UHM,273,0.0,496
UHZ,270,0.0,496
UST,265,0.0,495
UT,45,1.903225806451613,85
UTG,94,36.193548387096776,321
UTLN,49,0.0,158
UTLR,42,1.870967741935484,108
UTO,48,0.0,158
UTT,40,1.870967741935484,103
UTVR,46,0.0,158
UTZL,47,0.0,158
VB,37,0.0,217
VD,139,0.0,433
VDL,219,0.0,525
VDM,265,0.0,493
VEM,123,0.0,435
VG,97,0.0,231
VH,54,0.0,206
VHP,172,0.0,422
VK,228,0.0,525
VL,171,0.0,541
VLB,154,0.0,478
VNDC,80,0.0,192
VNDW,79,0.0,192
VP,109,0.0,418
VRY,161,0.0,479
VS,144,0.0,110
VSS,143,0.0,110
VST,44,0.0,191
VSV,146,0.0,452
VTN,38,1.870967741935484,94
VZ,169,0.0,534
WAD,21,0.0,85
WADN,22,0.0,85
