Station Code,Distance from CVM,Services from/to CVM,Disruptions on path to CVM
AC,206,0.0,218
AH,154,0.0,219
AHP,155,0.0,476
AHPR,157,0.0,476
AHZ,146,0.0,233
AKL,177,0.0,229
AKM,307,0.0,619
ALM,231,0.0,271
ALMB,237,0.0,402
ALMM,230,0.0,270
ALMO,239,0.0,402
ALMP,233,0.0,402
AMF,203,0.0,258
AMFS,206,0.0,498
AML,238,0.0,545
AMPO,228,0.0,270
AMR,234,0.0,83
AMRI,240,0.0,615
AMRN,235,0.0,158
ANA,264,0.0,169
APD,201,0.0,479
APDM,200,0.0,480
APDO,204,0.0,514
APG,370,0.0,649
APN,185,0.0,50
ARN,249,0.0,459
ASA,215,0.0,258
ASB,211,0.0,258
ASD,218,0.0,62
ASDL,211,0.0,112
ASDM,217,0.0,295
ASDZ,210,0.0,112
ASHD,210,0.0,345
ASN,308,0.0,569
ASS,214,0.0,43
ASSP,218,0.0,309
ATN,206,0.0,513
AVAT,209,0.0,504
BD,160,0.0,131
BDE,38,0.0,20
BDG,193,0.0,131
BDM,351,0.0,638
BDPB,165,0.0,454
BET,112,0.0,131
BF,355,0.0,638
BGN,197,0.0,459
BHDV,188,0.0,249
BHV,191,0.0,258
BK,33,0.0,21
BKF,268,0.0,128
BKG,267,0.0,124
BKL,194,0.0,185
BL,292,0.0,569
BLL,202,0.0,43
BMN,176,0.0,479
BMR,110,0.0,156
BN,233,0.0,546
BNC,186,0.0,242
BNK,188,0.0,309
BNN,189,0.0,258
BNZ,184,0.0,242
BP,349,0.0,586
BR,75,0.0,103
BRD,185,0.0,195
BRN,206,0.0,282
BSD,163,0.0,228
BSK,191,0.0,131
BSKS,192,0.0,154
BSMZ,205,0.0,259
BTL,122,0.0,69
BV,212,0.0,45
BZL,229,0.0,490
CAS,222,0.0,80
CK,120,0.0,184
CL,164,0.0,228
CO,278,0.0,632
CPS,185,0.0,191
CVM,0,0.0,0
DA,249,0.0,615
DB,192,0.0,353
DDN,223,0.0,494
DDR,190,0.0,454
DDRS,193,0.0,571
DDZD,189,0.0,477
DEI,329,0.0,586
DID,173,0.0,476
DL,242,0.0,569
DLD,194,0.0,278
DLN,282,0.0,646
DMN,220,0.0,309
DMNZ,215,0.0,261
DN,103,0.0,103
DR,170,0.0,476
DRH,207,0.0,44
DRON,262,0.0,569
DRP,336,0.0,600
DT,160,0.0,18
DTC,184,0.0,496
DTCH,182,0.0,496
DTCP,161,0.0,119
DV,199,0.0,479
DVC,203,0.0,545
DVD,213,0.0,258
DVN,163,0.0,478
DVNK,167,0.0,36
DWE,342,0.0,586
DZ,374,0.0,667
DZW,373,0.0,667
EC,37,0.0,22
ED,171,0.0,219
EDC,173,0.0,241
EDN,41,0.0,20
EEM,381,0.0,666
EGH,1,37.54838709677419,0
EGHM,6,0.0,1
EHS,103,0.0,131
EHV,102,0.0,69
EKZ,271,0.0,136
EML,226,0.0,498
EMN,298,0.0,647
EMNZ,294,0.0,646
ES,236,0.0,546
ESK,232,0.0,546
EST,143,0.0,219
ETN,171,0.0,454
FN,342,0.0,586
FWD,339,0.0,586
GBG,271,0.0,632
GD,183,0.0,33
GDG,186,0.0,118
GDM,156,0.0,185
GDR,189,0.0,513
GERP,334,0.0,622
GK,355,0.0,637
GLN,21,0.0,19
GN,336,0.0,622
GND,191,0.0,249
GNN,340,0.0,637
GO,213,0.0,486
GP,96,0.0,76
GR,182,0.0,247
GS,234,0.0,459
GV,154,0.0,18
GVC,155,0.0,33
GVM,159,0.0,33
GVMW,153,0.0,18
GW,312,0.0,626
GZ,150,0.0,127
HAD,195,0.0,43
HB,10,0.0,18
HBZM,194,0.0,259
HD,230,0.0,501
HDB,265,0.0,619
HDE,248,0.0,569
HDG,335,0.0,586
HDR,276,0.0,178
HDRZ,275,0.0,178
HFD,194,0.0,33
HGL,228,0.0,527
HGLG,226,0.0,527
