station,distance,services_per_day,n_of_disruptions
AC,36,0,109
AH,46,0,22
AHP,47,0,279
AHPR,49,0,281
AHZ,54,0,279
AKL,57,0,169
AKM,176,0,377
ALM,61,0,86
ALMB,67,0,217
ALMM,60,0,85
ALMO,69,0,217
ALMP,63,0,217
AMF,33,0,73
AMFS,36,0,313
AML,130,0,379
AMPO,58,0,85
AMR,90,0,358
AMRI,132,0,449
AMRN,91,0,433
ANA,120,0,444
APD,76,0,313
APDM,77,0,348
APDO,79,0,348
APG,239,0,407
APN,47,0,83
ARN,188,0,355
ASA,45,0,73
ASB,41,0,73
ASD,51,0,73
ASDL,58,0,352
ASDM,47,0,110
ASDZ,47,0,76
ASHD,42,0,87
ASN,177,0,327
ASS,55,0,331
ASSP,48,0,124
ATN,98,0,316
AVAT,39,0,319
BD,101,0,254
BDE,182,0,355
BDG,39,0,74
BDM,220,0,396
BDPB,106,0,577
BET,80,0,284
BF,224,0,396
BGN,136,0,324
BHDV,68,0,189
BHV,21,0,73
BK,175,0,355
BKF,109,0,416
BKG,108,0,412
BKL,24,0,76
BL,161,0,332
BLL,73,0,368
BMN,68,0,282
BMR,90,0,314
BN,125,0,349
BNC,44,0,23
BNK,4,0,0
BNN,47,0,39
BNZ,42,0,23
BP,218,0,344
BR,125,0,343
BRD,79,0,243
BRN,36,0,97
BSD,43,0,168
BSK,53,0,164
BSKS,54,0,187
BSMZ,35,0,74
BTL,70,0,241
BV,80,0,391
BZL,168,0,355
CAS,78,0,355
CK,80,0,311
CL,28,0,72
CO,154,0,347
CPS,57,0,158
CVM,192,0,372
DA,141,0,449
DDN,115,0,297
DDR,85,0,202
DDRS,82,0,200
DDZD,86,0,319
DEI,198,0,344
DID,65,0,279
DL,111,0,327
DLD,24,0,93
DLN,158,0,361
DMN,50,0,124
DMNZ,45,0,76
DN,112,0,307
DR,62,0,279
DRH,78,0,387
DRON,110,0,231
DRP,205,0,358
DT,81,0,173
DTC,76,0,299
DTCH,74,0,299
DTCP,81,0,228
DV,91,0,313
DVC,95,0,379
DVD,43,0,73
DVN,55,0,281
DVNK,65,0,181
DWE,211,0,344
DZ,243,0,425
DZW,242,0,425
EC,155,0,352
ED,29,0,0
EDC,31,0,22
EDN,197,0,356
EEM,250,0,424
EGH,191,0,371
EGHM,192,0,371
EHS,89,0,360
EHV,90,0,241
EKZ,112,0,424
EML,56,0,316
EMN,174,0,362
EMNZ,170,0,361
ES,128,0,349
ESE,134,0,378
ESK,124,0,349
EST,57,0,279
ETN,112,0,577
FN,211,0,344
FWD,208,0,344
GBG,147,0,347
GBR,137,0,378
GD,44,0,73
GDG,41,0,73
