Station Code,Distance from DDR,Services from/to DDR,Disruptions on path to DDR
AC,91,0.0,189
AH,105,7.354838709677419,92
AHP,106,0.0,349
AHPR,108,0.0,349
AHZ,97,7.354838709677419,92
AKL,28,32.193548387096776,13
AKM,239,0.0,452
ALM,123,6.387096774193548,172
ALMB,129,6.387096774193548,303
ALMM,122,0.0,322
ALMO,131,0.032258064516129,303
ALMP,125,0.0,303
AMF,96,0.0,148
AMFS,99,0.0,388
AML,189,0.0,418
AMPO,120,0.0,322
AMR,122,0.0,166
AMRI,191,0.0,488
AMRN,123,0.0,241
ANA,152,0.0,252
APD,139,0.0,388
APDM,140,0.0,423
APDO,142,0.0,423
APG,302,0.0,482
APN,62,0.0,178
ARN,103,22.83870967741936,5
ASA,100,0.0,169
ASB,96,0.0,155
ASD,106,30.548387096774192,145
ASDL,99,0.0,195
ASDM,102,0.0,169
ASDZ,98,7.096774193548387,195
ASHD,95,0.0,316
ASN,240,0.0,402
ASS,102,28.161290322580644,126
ASSP,103,0.0,183
ATN,157,0.0,386
AVAT,102,0.0,394
BD,30,31.258064516129032,0
BDE,180,0.0,436
BDG,70,0.0,259
BDM,283,0.0,471
BDPB,25,30.70967741935484,5
BET,78,0.0,379
BF,287,0.0,471
BGN,51,34.225806451612904,4
BHDV,17,57.193548387096776,11
BHV,84,0.0,148
BK,173,0.0,437
BKF,156,0.0,211
BKG,155,0.0,207
BKL,79,0.0,156
BL,224,0.0,402
BLL,90,0.0,126
BMN,127,0.0,352
BMR,127,0.0,127
BN,184,0.0,419
BNC,115,0.0,389
BNK,81,0.0,156
BNN,112,0.0,388
BNZ,117,0.0,405
BP,281,0.0,405
BR,138,0.0,417
BRD,9,61.25806451612903,0
BRN,99,0.0,172
BSD,42,32.193548387096776,31
BSK,56,0.0,155
BSKS,55,0.0,155
BSMZ,98,0.0,149
BTL,68,0.0,336
BV,100,0.0,128
BZL,83,22.83870967741936,35
CAS,110,0.0,163
CK,117,0.0,124
CL,57,0.0,75
CO,217,0.0,422
CPS,31,0.0,72
CVM,190,0.0,454
DA,200,0.0,488
DB,85,0.0,200
DDN,174,0.0,367
DDR,0,0.0,0
DDRS,3,57.45161290322581,0
DDZD,1,60.12903225806452,0
DEI,261,0.0,405
DID,124,0.0,349
DL,174,0.0,402
DLD,87,0.0,168
DLN,221,0.0,436
DMN,105,0.0,183
DMNZ,100,0.0,172
DN,110,0.0,389
DR,121,0.0,349
DRH,95,0.0,127
DRON,172,0.0,317
DRP,268,0.0,419
DT,34,127.19354838709675,0
DTC,135,0.0,369
DTCH,133,0.0,369
DTCP,33,59.935483870967744,70
DV,150,0.0,352
DVC,154,0.0,418
DVD,98,6.387096774193548,169
DVN,114,0.0,351
DVNK,55,0.0,119
DWE,274,0.0,405
DZ,306,0.0,500
DZW,305,0.0,500
EC,153,0.0,434
ED,114,0.0,232
EDC,116,0.0,254
EDN,195,0.0,438
EEM,313,0.0,499
EGH,189,0.0,453
EGHM,190,0.0,453
EHS,87,0.0,455
EHV,88,0.5483870967741935,323
EKZ,159,0.0,219
EML,119,0.0,388
EMN,237,0.0,437
EMNZ,233,0.0,436
ES,187,0.0,419
ESK,183,0.0,419
EST,94,7.354838709677419,78
ETN,41,0.0,323
FN,274,0.0,405
FWD,271,0.0,405
GBG,210,0.0,422
GD,44,0.0,70
GDG,47,0.0,155
GDM,49,32.193548387096776,32
GDR,140,0.0,386
GERP,266,0.0,455
GK,287,0.0,470
GLN,169,0.0,436
GN,268,0.0,455
GND,14,57.25806451612903,1
GNN,272,0.0,470
GO,164,0.0,359
GP,94,0.0,385
GR,23,57.25806451612903,11
GS,88,33.483870967741936,5
GV,42,122.38709677419357,101
GVC,43,57.516129032258064,116
GVM,47,0.0,116
GVMW,41,57.516129032258064,101
GW,244,0.0,459
GZ,40,28.870967741935484,323
HAD,83,28.161290322580644,126
HB,180,0.0,467
HBZM,11,33.96774193548387,1
HD,123,0.0,391
HDB,204,0.0,409
HDE,144,0.0,388
HDG,267,0.0,405
HDR,164,0.0,261
HDRZ,163,0.0,261
HFD,82,0.064516129032258,116
HGL,179,0.0,400
HGLG,177,0.0,400
HGLO,181,0.0,419
HGV,210,0.0,402
HGZ,279,0.0,478
HIL,76,0.0,126
HK,103,0.0,146
HKS,151,0.0,203
HLG,283,0.0,406
HLGH,284,0.0,410
HLM,87,28.161290322580644,126
HLMS,88,0.0,126
HLO,117,0.0,146
HM,101,0.0,385
HMBH,102,0.0,389
HMBV,98,0.0,385
HMH,100,0.0,385
HMN,80,0.0,78
HN,141,0.0,147
HNK,142,0.0,203
HNO,174,0.0,402
HNP,299,0.0,408
HON,169,0.0,352
HOR,87,0.0,148
HR,228,0.0,459
HRL,184,0.0,436
HRLW,186,0.0,453
HRN,262,0.0,455
HRT,128,0.0,417
HT,71,28.161290322580644,75
HTN,67,0.0,128
HTNC,66,0.0,128
HTO,72,27.41935483870968,148
HVL,102,0.0,388
HVS,93,0.0,148
HVSM,94,0.0,149
HVSP,92,0.0,148
HWD,129,0.0,242
HWZB,95,0.0,126
HZE,99,0.0,391
IJT,282,0.0,406
KBD,70,22.83870967741936,5
KBK,143,0.0,352
KLP,107,0.0,232
KMA,111,0.0,147
