Station Code,Distance from DDZD,Services from/to DDZD,Disruptions on path to DDZD
AC,92,0.0,314
AH,106,7.354838709677419,211
AHP,107,0.0,468
AHPR,109,0.0,470
AHZ,98,7.354838709677419,211
AKL,29,0.0,132
AKM,240,0.0,652
ALM,125,0.0,361
ALMB,131,0.0,492
ALMM,124,0.0,360
ALMO,133,0.0,492
ALMP,127,0.0,492
AMF,97,0.0,348
AMFS,100,0.0,588
AML,190,0.0,537
AMPO,122,0.0,360
AMR,123,0.0,432
AMRI,192,0.0,607
AMRN,124,0.0,507
ANA,153,0.0,518
APD,140,0.0,588
APDM,141,0.0,623
APDO,143,0.0,623
APG,303,0.0,682
APN,63,0.0,295
ARN,102,0.032258064516129,41
ASA,105,0.0,314
ASB,105,0.0,237
ASD,107,0.8064516129032258,237
ASDL,100,0.0,237
ASDM,107,0.0,351
ASDZ,99,0.0,237
ASHD,106,0.0,251
ASN,241,0.0,602
ASS,103,0.7419354838709677,237
ASSP,108,0.0,365
ATN,158,0.0,505
AVAT,103,0.0,594
BD,29,30.70967741935484,23
BDE,179,0.0,460
BDG,71,0.0,376
BDM,284,0.0,671
BDPB,24,30.70967741935484,5
BET,77,0.0,402
BF,288,0.0,671
BGN,50,0.032258064516129,10
BHDV,18,0.0,130
BHV,85,0.0,348
BK,172,0.0,460
BKF,157,0.0,322
BKG,156,0.0,318
BKL,80,0.0,281
BL,225,0.0,607
BLL,91,0.0,390
BMN,128,0.0,471
BMR,128,0.0,246
BN,185,0.0,538
BNC,116,0.0,589
BNK,82,0.0,275
BNN,113,0.0,588
BNZ,118,0.0,605
BP,282,0.0,619
BR,137,0.0,440
BRD,10,0.0,117
BRN,100,0.0,372
BSD,43,0.0,150
BSK,57,0.0,272
BSKS,56,0.0,272
BSMZ,99,0.0,349
BTL,67,0.0,359
BV,101,0.0,410
BZL,82,0.032258064516129,41
CAS,111,0.0,429
CK,118,0.0,243
CL,58,0.0,194
CO,218,0.0,622
CPS,32,0.0,189
CVM,189,0.0,477
DA,201,0.0,607
DB,86,0.0,319
DDN,175,0.0,486
DDR,1,60.774193548387096,0
DDRS,4,0.0,117
DDZD,0,0.0,0
DEI,262,0.0,619
DID,125,0.0,468
DL,175,0.0,602
DLD,88,0.0,368
DLN,222,0.0,636
DMN,110,0.0,365
DMNZ,105,0.0,314
DN,109,0.0,412
DR,122,0.0,468
DRH,96,0.0,409
DRON,174,0.0,506
DRP,269,0.0,633
DT,35,1.064516129032258,187
DTC,136,0.0,488
DTCH,134,0.0,488
DTCP,34,0.0,187
DV,151,0.0,471
DVC,155,0.0,537
DVD,103,0.0,311
DVN,115,0.0,470
DVNK,56,0.0,306
DWE,275,0.0,619
DZ,307,0.0,700
DZW,306,0.0,700
EC,152,0.0,457
ED,115,0.0,351
EDC,117,0.0,373
EDN,194,0.0,461
EEM,314,0.0,699
EGH,188,0.0,476
EGHM,189,0.0,476
EHS,86,0.0,478
EHV,87,0.0,346
EKZ,160,0.0,330
EML,120,0.0,591
EMN,238,0.0,637
EMNZ,234,0.0,636
ES,188,0.0,538
ESK,184,0.0,538
EST,95,7.354838709677419,197
ETN,40,0.0,346
FN,275,0.0,619
FWD,272,0.0,619
GBG,211,0.0,622
GD,45,0.0,187
GDG,48,0.0,272
GDM,50,0.0,151
GDR,141,0.0,505
GERP,267,0.0,655
GK,288,0.0,670
GLN,168,0.0,459
GN,269,0.0,655
GND,15,0.0,120
GNN,273,0.0,670
GO,165,0.0,478
GP,93,0.0,408
GR,24,0.0,130
GS,87,0.032258064516129,41
GV,43,0.935483870967742,288
GVC,44,0.0,303
GVM,48,0.0,303
GVMW,42,0.0,288
GW,245,0.0,659
GZ,39,28.870967741935484,346
HAD,84,0.7419354838709677,313
HB,179,0.0,490
HBZM,12,0.0,120
HD,124,0.0,591
HDB,205,0.0,609
HDE,145,0.0,588
HDG,268,0.0,619
HDR,165,0.0,527
HDRZ,164,0.0,527
HFD,83,0.0,303
HGL,180,0.0,519
HGLG,178,0.0,519
HGLO,182,0.0,538
HGV,211,0.0,602
HGZ,280,0.0,678
HIL,77,0.0,313
HK,104,0.0,428
HKS,152,0.0,314
HLG,284,0.0,620
HLGH,285,0.0,624
HLM,88,0.7419354838709677,353
HLMS,89,0.0,390
HLO,118,0.0,432
HM,100,0.0,408
HMBH,101,0.0,412
HMBV,97,0.0,408
HMH,99,0.0,408
HMN,81,0.0,197
HN,142,0.0,258
HNK,143,0.0,314
HNO,175,0.0,602
HNP,300,0.0,622
HON,170,0.0,537
HOR,88,0.0,348
HR,229,0.0,602
HRL,183,0.0,459
HRLW,185,0.0,476
HRN,263,0.0,655
HRT,127,0.0,440
HT,72,28.161290322580644,359
HTN,68,0.0,247
HTNC,67,0.0,247
HTO,73,27.41935483870968,432
HVL,103,0.0,588
HVS,94,0.0,348
HVSM,95,0.0,349
HVSP,93,0.0,348
HWD,130,0.0,508
HWZB,96,0.0,390
HZE,98,0.0,414
IJT,283,0.0,620
KBD,69,0.032258064516129,41
KBK,144,0.0,471
KLP,108,0.0,351
KMA,112,0.0,429
KMR,191,0.0,476
KMW,305,0.0,627
KPN,178,0.0,602
KPNZ,178,0.0,602
KRD,191,0.0,487
KRG,76,0.032258064516129,41
KTR,74,0.0,194
KW,277,0.0,676
KZ,111,0.0,261
LAA,45,0.935483870967742,303
LC,152,0.0,471
LDL,60,0.0,313
LDM,36,0.0,150
LEDN,59,0.935483870967742,303
LG,186,0.0,476
LLS,149,0.0,492
LLZM,58,0.0,272
LP,295,0.0,682
LTN,123,0.0,374
LTV,170,0.0,473
LUT,168,0.0,459
LW,258,0.0,602
LWC,261,0.0,619
MAS,83,0.0,348
MDB,106,0.032258064516129,41
MES,191,0.0,461
MG,268,0.0,619
MMLH,113,0.0,232
MP,191,0.0,602
MRB,197,0.0,609
MRN,94,0.0,351
MT,185,0.0,459
MTH,278,0.0,678
MTN,188,0.0,461
MTR,186,0.0,461
MZ,108,0.0,419
NDB,100,0.0,349
NH,176,0.0,490
NKK,108,0.0,588
NM,103,27.41935483870968,211
NMD,108,27.41935483870968,232
NMGO,106,27.41935483870968,232
NMH,106,0.0,232
NML,102,7.354838709677419,211
NS,136,0.0,588
NSCH,313,0.0,685
NVD,193,0.0,544
NVP,78,0.0,313
NWK,36,0.0,245
O,91,27.41935483870968,432
OBD,136,0.0,518
ODB,30,29.41935483870968,5
ODZ,191,0.0,538
OMN,186,0.0,609
OP,78,0.0,197
OST,161,0.0,537
OT,58,0.0,359
OTB,110,0.0,468
OVN,90,0.0,390
OW,90,27.41935483870968,435
PMO,124,0.0,259
PMR,123,0.0,258
PMW,122,0.0,261
PT,115,0.0,591
RAI,100,0.0,311
RAT,181,0.0,602
RB,66,0.032258064516129,41
RD,307,0.0,686
RH,116,0.0,471
RHN,117,0.0,354
RL,157,0.0,473
RLB,14,0.0,216
RM,139,0.0,408
RS,79,27.41935483870968,435
RSD,37,29.451612903225808,5
RSN,177,0.0,537
RSW,40,0.0,288
RTA,31,0.0,187
RTB,20,1.064516129032258,117
RTD,21,1.064516129032258,117
RTN,26,0.0,187
RTST,16,0.0,222
RTZ,17,0.0,222
RV,150,0.0,457
RVS,99,27.41935483870968,453
SBK,171,0.0,489
SD,96,0.0,372
SDA,296,0.0,676
SDM,25,1.064516129032258,187
SDT,11,0.0,119
SDTB,8,0.0,119
SGL,195,0.0,475
SGN,144,0.0,518
SHL,88,0.064516129032258,187
SK,280,0.0,619
SKND,279,0.0,619
SM,144,0.0,457
SN,173,0.0,490
SOG,193,0.0,476
SPTN,95,0.0,408
SPTZ,93,0.0,408
SRN,157,0.0,486
SSH,67,0.0,313
ST,95,0.0,372
STD,164,0.0,457
STM,291,0.0,682
STV,309,0.0,627
STZ,94,0.0,372
SWD,280,0.0,670
SWK,205,0.0,652
TB,50,28.870967741935484,346
TBG,142,0.0,505
TBR,45,28.870967741935484,365
TBU,49,28.870967741935484,367
TG,144,0.0,493
TL,62,0.0,194
TPSW,60,0.0,194
TWL,150,0.0,623
UHM,304,0.0,686
UHZ,301,0.0,686
UST,296,0.0,685
UT,76,0.0,275
UTG,107,0.0,428
UTLN,72,0.0,275
UTLR,74,0.0,295
UTO,79,0.0,348
UTT,72,0.0,290
UTVR,75,0.0,275
UTZL,78,0.0,348
VB,47,0.0,332
VD,147,0.0,471
VDL,187,0.0,476
VDM,296,0.0,683
VEM,139,0.0,471
VG,75,0.0,402
VH,67,0.0,313
VHP,203,0.0,612
VK,196,0.0,476
VL,139,0.0,492
VLB,135,0.0,274
VNDC,109,0.0,353
VNDW,108,0.0,353
VP,112,0.0,471
VRY,142,0.0,275
VS,112,0.032258064516129,43
VSS,111,0.032258064516129,43
VST,54,0.0,306
VSV,149,0.0,505
VTN,70,0.0,281
VZ,196,0.0,607
WAD,53,0.0,272
WADN,54,0.0,272
