Station Code,Distance from DLD,Services from/to DLD,Disruptions on path to DLD
AC,36,0.0,126
AH,60,0.0,280
AHP,61,0.0,537
AHPR,63,0.0,537
AHZ,68,0.0,537
AKL,59,0.0,137
AKM,152,0.0,304
ALM,50,0.0,27
ALMB,56,0.0,158
ALMM,49,0.0,26
ALMO,58,0.0,158
ALMP,52,0.0,158
AMF,9,37.58064516129032,0
AMFS,12,36.67741935483871,240
AML,106,0.0,306
AMPO,47,0.0,26
AMR,87,0.0,300
AMRI,108,0.0,376
AMRN,88,0.0,375
ANA,117,0.0,386
APD,52,0.0,240
APDM,53,0.0,275
APDO,55,0.0,275
APG,215,0.0,334
APN,47,0.0,103
ARN,190,0.0,290
ASA,45,0.0,18
ASB,41,0.0,93
ASD,48,0.1290322580645161,15
ASDL,55,0.1290322580645161,273
ASDM,44,0.1290322580645161,15
ASDZ,47,0.0,15
ASHD,40,0.0,253
ASN,153,0.0,254
ASS,52,0.1290322580645161,273
ASSP,43,0.1290322580645161,33
ATN,112,0.0,574
AVAT,15,36.67741935483871,246
BD,103,0.0,179
BDE,184,0.0,282
BDG,39,0.0,94
BDM,196,0.0,323
BDPB,108,0.0,502
BET,82,0.0,93
BF,200,0.0,323
BGN,138,0.0,289
BHDV,70,0.0,157
BHV,3,63.74193548387097,0
BK,177,0.0,283
BKF,106,0.0,358
BKG,105,0.0,354
BKL,24,0.0,93
BL,137,0.0,254
BLL,70,0.0,310
BMN,77,0.0,275
BMR,104,0.0,315
BN,115,0.0,376
BNC,28,0.0,241
BNK,20,0.0,93
BNN,25,0.0,240
BNZ,30,0.0,257
BP,194,0.0,257
BR,139,0.0,344
BRD,79,0.0,254
BRN,12,31.32258064516129,0
BSD,45,0.0,136
BSK,53,0.0,184
BSKS,54,0.0,207
BSMZ,24,0.1290322580645161,15
BTL,72,0.0,166
BV,77,0.0,294
BZL,170,0.0,320
CAS,75,0.0,297
CK,94,0.0,312
CL,30,0.0,121
CO,130,0.0,274
CPS,57,0.0,178
CVM,194,0.0,300
DA,117,0.0,376
DB,24,0.0,93
DDN,110,0.0,290
DDR,87,0.0,168
DDRS,84,0.0,168
DDZD,88,0.0,285
DEI,174,0.0,257
DID,79,0.0,537
DL,87,0.0,254
DLD,0,0.0,0
DLN,134,0.0,288
DMN,41,0.1290322580645161,32
DMNZ,41,0.0,15
DN,114,0.0,235
DR,76,0.0,537
DRH,75,0.0,311
DRON,99,0.0,172
DRP,181,0.0,271
DT,81,0.0,193
DTC,90,0.0,557
DTCH,88,0.0,557
DTCP,81,0.0,248
DV,67,0.0,240
DVC,71,0.0,275
DVD,43,0.0,15
DVN,69,0.0,539
DVNK,65,0.0,201
DWE,187,0.0,257
DZ,219,0.0,352
DZW,218,0.0,352
EC,157,0.0,280
ED,43,0.0,258
EDC,41,0.0,257
EDN,199,0.0,284
EEM,226,0.0,351
EGH,193,0.0,299
EGHM,194,0.0,299
EHS,91,0.0,169
EHV,92,0.0,169
EKZ,109,0.0,366
EML,32,36.67741935483871,240
EMN,150,0.0,289
EMNZ,146,0.0,288
ES,123,0.0,342
ESK,119,0.0,342
EST,71,0.0,537
ETN,114,0.0,502
FN,187,0.0,257
FWD,184,0.0,257
GBG,123,0.0,274
GD,44,0.0,93
GDG,41,0.0,93
GDM,38,0.0,93
GDR,95,0.0,574
GERP,179,0.0,307
GK,200,0.0,322
GLN,173,0.0,282
GN,181,0.0,307
GND,73,0.0,157
GNN,185,0.0,322
GO,100,0.0,282
GP,98,0.0,231
GR,64,0.0,155
GS,175,0.0,290
GV,73,0.0,178
GVC,72,0.0,96
GVM,73,0.0,286
GVMW,74,0.0,193
GW,157,0.0,311
GZ,93,0.0,181
HAD,71,0.0,294
HB,184,0.0,313
HBZM,76,0.0,167
HD,36,36.67741935483871,243
HDB,117,0.0,261
HDE,57,36.67741935483871,240
HDG,180,0.0,257
HDR,129,0.0,395
HDRZ,128,0.0,395
HFD,63,0.1290322580645161,89
HGL,115,0.0,323
HGLG,113,0.0,323
HGLO,117,0.0,342
HGV,123,0.0,254
HGZ,192,0.0,330
HIL,78,0.0,294
HK,74,0.0,333
HKS,101,0.0,350
HLG,196,0.0,258
HLGH,197,0.0,262
HLM,67,0.0,273
HLMS,66,0.0,294
HLO,82,0.0,300
HM,105,0.0,231
HMBH,106,0.0,235
HMBV,102,0.0,231
HMH,104,0.0,231
HMN,69,0.0,139
HN,91,0.0,294
HNK,92,0.0,350
HNO,87,0.0,254
HNP,212,0.0,260
HON,86,0.0,275
HOR,18,0.0,20
HR,141,0.0,311
HRL,188,0.0,282
HRLW,190,0.0,299
HRN,175,0.0,307
HRT,132,0.0,263
HT,60,0.0,93
HTN,20,0.0,93
HTNC,21,0.0,121
HTO,61,0.0,166
HVL,15,0.0,240
HVS,19,0.1290322580645161,14
HVSM,20,0.1290322580645161,15
HVSP,20,0.0,15
HWD,94,0.0,376
HWZB,59,0.0,294
HZE,103,0.0,237
IJT,195,0.0,258
KBD,157,0.0,290
KBK,61,0.0,276
KLP,46,0.0,93
KMA,66,0.0,307
KMR,196,0.0,299
KMW,217,0.0,265
KPN,90,0.0,254
KPNZ,90,0.0,254
KRD,196,0.0,310
KRG,164,0.0,290
KTR,62,0.0,136
KW,189,0.0,328
KZ,60,0.0,297
LAA,73,0.0,125
LC,87,0.0,275
LDL,61,0.0,184
LDM,52,0.0,137
LEDN,62,0.1290322580645161,191
LG,191,0.0,299
LLS,74,0.0,158
LLZM,57,0.0,178
LP,207,0.0,334
LTN,35,0.0,257
LTV,105,0.0,277
LUT,173,0.0,282
LW,170,0.0,240
LWC,173,0.0,257
MAS,19,0.0,93
MDB,194,0.0,317
MES,196,0.0,284
MG,180,0.0,257
MMLH,89,0.0,301
MP,103,0.0,254
MRB,109,0.0,261
MRN,32,0.0,125
MT,190,0.0,282
MTH,190,0.0,330
MTN,193,0.0,284
MTR,191,0.0,284
MZ,113,0.0,242
NDB,25,0.1290322580645161,15
NH,181,0.0,313
NKK,20,36.67741935483871,240
NM,79,0.0,280
NMD,84,0.0,301
NMGO,82,0.0,301
NMH,82,0.0,301
NML,78,0.0,551
NS,48,36.67741935483871,240
NSCH,225,0.0,337
NVD,107,0.0,263
NVP,68,0.0,217
NWK,53,0.0,178
O,79,0.0,166
OBD,100,0.0,294
ODB,118,0.0,290
ODZ,126,0.0,342
OMN,98,0.0,261
OP,66,0.0,139
OST,77,0.0,306
OT,81,0.0,209
OTB,56,0.0,280
OVN,69,0.0,310
OW,78,0.0,166
PMO,73,0.0,273
PMR,72,0.0,294
PMW,71,0.0,297
PT,27,36.67741935483871,240
RAI,46,0.0,18
RAT,93,0.0,254
RB,154,0.0,290
RD,219,0.0,338
RH,70,0.0,538
RHN,55,0.0,128
RL,92,0.0,277
RLB,75,0.0,248
RM,144,0.0,231
RS,67,0.0,166
RSD,125,0.0,285
RSN,93,0.0,275
RSW,76,0.0,193
RTA,58,0.0,178
RTB,69,0.0,248
RTD,68,0.0,178
RTN,63,0.0,180
RTST,73,0.0,248
RTZ,72,0.0,248
RV,153,0.0,416
RVS,87,0.0,187
SBK,176,0.0,312
SD,8,31.193548387096776,0
SDA,208,0.0,328
SDM,72,0.0,248
SDT,77,0.0,167
SDTB,80,0.0,168
SGL,200,0.0,298
SGN,108,0.0,386
SHL,58,0.1290322580645161,89
SK,192,0.0,257
SKND,191,0.0,257
SM,149,0.0,280
SN,178,0.0,313
SOG,198,0.0,299
SPTN,74,0.0,310
SPTZ,72,0.0,310
SRN,162,0.0,309
SSH,70,0.0,201
ST,7,31.225806451612904,0
STD,169,0.0,280
STM,203,0.0,334
STV,221,0.0,265
STZ,6,31.193548387096776,0
SWD,192,0.0,322
SWK,117,0.0,304
TB,82,0.0,166
TBG,96,0.0,574
TBR,87,0.0,179
TBU,83,0.0,179
TG,146,0.0,397
TL,50,0.0,136
TPSW,48,0.0,136
TWL,62,0.0,275
UHM,216,0.0,338
UHZ,213,0.0,338
UST,208,0.0,337
UT,12,63.74193548387097,20
UTG,71,0.0,332
UTLN,16,0.0,93
UTLR,15,0.0,93
UTO,9,63.74193548387097,20
UTT,17,0.0,93
UTVR,13,0.0,93
UTZL,14,0.0,93
VB,69,0.0,178
VD,82,0.0,275
VDL,192,0.0,299
VDM,208,0.0,335
VEM,66,0.0,277
VG,64,0.0,166
VH,70,0.0,201
VHP,115,0.0,264
VK,201,0.0,299
VL,141,0.0,396
VLB,111,0.0,343
VNDC,47,0.0,127
VNDW,46,0.0,127
VP,66,0.0,538
VRY,118,0.0,344
VS,200,0.0,317
VSS,199,0.0,290
VST,67,0.0,286
VSV,103,0.0,574
VTN,19,0.0,98
VZ,112,0.0,376
WAD,52,0.0,178
WADN,53,0.0,178
WADT,51,0.0,178
WC,88,0.0,537
WD,28,0.0,93
WDN,101,0.0,282
WF,52,0.0,280
WFM,205,0.0,337
WH,84,0.0,316
WK,208,0.0,260
WL,85,0.0,557
WM,64,0.0,297
WP,34,0.1290322580645161,26
WR,235,0.0,346
WS,213,0.0,337
WSM,197,0.0,323
WT,120,0.0,231
WTV,65,0.0,539
WV,130,0.0,254
WW,115,0.0,289
WWW,114,0.0,289
WZ,66,36.67741935483871,253
YPB,65,0.0,96
ZA,72,0.0,139
ZB,200,0.0,331
ZBM,47,0.0,136
ZD,58,0.0,294
ZDK,61,0.0,297
ZH,193,0.0,322
ZL,75,36.67741935483871,240
ZLSH,80,0.0,254
ZLW,102,0.0,285
ZP,70,0.0,275
ZTM,60,0.0,93
ZTMO,59,0.0,178
ZV,74,0.0,537
ZVB,110,0.0,290
ZVT,75,0.0,310
ZWD,86,0.0,353
ZZS,61,0.0,297
