Station Code,Distance from DLN,Services from/to DLN,Disruptions on path to DLN
AC,170,0.0,397
AH,128,0.0,170
AHP,127,0.0,174
AHPR,125,0.0,173
AHZ,136,0.0,427
AKL,193,0.0,486
AKM,136,0.0,98
ALM,140,0.0,59
ALMB,134,0.0,59
ALMM,141,0.0,190
ALMO,132,0.0,48
ALMP,138,0.0,64
AMF,125,0.0,48
AMFS,122,0.0,48
AML,44,0.0,31
AMPO,143,0.0,191
AMR,209,0.0,475
AMRI,46,0.0,101
AMRN,210,0.0,550
ANA,239,0.0,561
APD,98,0.0,167
APDM,99,0.0,202
APDO,95,0.0,167
APG,199,0.0,128
APN,181,0.0,298
ARN,322,0.0,914
ASA,167,0.0,193
ASB,167,0.0,193
ASD,170,0.0,190
ASDL,177,0.0,469
ASDM,166,0.0,307
ASDZ,169,0.0,190
ASHD,168,0.0,207
ASN,137,0.0,48
ASS,174,0.0,448
ASSP,165,0.0,307
ATN,156,0.0,181
AVAT,119,0.0,54
BD,233,0.0,555
BDE,272,0.0,629
BDG,173,0.0,289
BDM,180,0.0,117
BDPB,238,0.0,878
BET,212,0.0,585
BF,184,0.0,117
BGN,270,0.0,883
BHDV,204,0.0,506
BHV,137,0.0,292
BK,265,0.0,629
BKF,228,0.0,533
BKG,227,0.0,529
BKL,158,0.0,364
BL,121,0.0,53
BLL,192,0.0,485
BMN,106,0.0,167
BMR,172,0.0,462
BN,53,0.0,101
BNC,144,0.0,289
BNK,154,0.0,361
BNN,141,0.0,288
BNZ,146,0.0,305
BP,178,0.0,65
BR,207,0.0,491
BRD,213,0.0,531
BRN,134,0.0,288
BSD,179,0.0,485
BSK,187,0.0,379
BSKS,188,0.0,402
BSMZ,146,0.0,289
BTL,202,0.0,542
BV,199,0.0,508
BZL,302,0.0,914
CAS,197,0.0,472
CK,162,0.0,459
CL,164,0.0,389
CO,4,20.93548387096774,0
CPS,191,0.0,446
CVM,282,0.0,646
DA,33,0.0,30
DB,158,0.0,361
DDN,63,0.0,120
DDR,221,0.0,519
DDRS,218,0.0,517
DDZD,222,0.0,636
DEI,158,0.0,65
DID,145,0.0,179
DL,47,20.93548387096774,27
DLD,134,0.0,288
DLN,0,0.0,0
DMN,163,0.0,306
DMNZ,163,0.0,306
DN,235,0.0,543
DR,112,0.0,167
DRH,197,0.0,507
DRON,91,0.0,48
