Station Code,Distance from DN,Services from/to DN,Disruptions on path to DN
AC,126,0.0,153
AH,107,0.0,116
AHP,108,0.0,373
AHPR,110,0.0,373
AHZ,99,0.0,130
AKL,97,0.0,164
AKM,260,0.0,516
ALM,151,0.0,206
ALMB,157,0.0,337
ALMM,150,0.0,205
ALMO,159,0.0,337
ALMP,153,0.0,337
AMF,123,0.0,193
AMFS,126,0.0,433
AML,191,0.0,442
AMPO,148,0.0,205
AMR,180,0.0,478
AMRI,193,0.0,512
AMRN,181,0.0,553
ANA,210,0.0,564
APD,154,0.0,376
APDM,153,0.0,377
APDO,157,0.0,411
APG,323,0.0,546
APN,137,0.0,203
ARN,169,0.0,394
ASA,135,0.0,193
ASB,131,43.54838709677419,193
ASD,141,0.0,193
ASDL,148,0.0,451
ASDM,137,0.0,230
ASDZ,137,43.54838709677419,207
ASHD,130,0.0,280
ASN,261,0.0,466
ASS,145,0.0,451
ASSP,138,0.0,244
ATN,159,0.0,410
AVAT,129,0.0,439
BD,80,0.0,66
BDE,93,0.0,85
BDG,129,0.0,194
BDM,304,0.0,535
BDPB,85,0.0,389
BET,32,27.870967741935484,66
BF,308,0.0,535
BGN,117,0.0,394
BHDV,108,0.0,184
BHV,111,0.0,193
BK,86,0.0,86
BKF,199,0.0,536
BKG,198,0.0,532
BKL,114,0.0,120
BL,245,0.0,466
BLL,163,0.0,488
BMN,129,0.0,376
BMR,63,0.0,53
BN,186,0.0,443
BNC,139,0.0,139
BNK,108,0.0,244
BNN,139,0.0,433
BNZ,137,0.0,139
BP,302,0.0,483
BR,28,36.41935483870968,0
BRD,119,0.0,506
BRN,126,0.0,217
BSD,83,0.0,163
BSK,143,0.0,284
BSKS,144,0.0,307
BSMZ,125,0.0,194
BTL,42,27.93548387096774,4
BV,170,0.0,472
BZL,149,0.0,425
CAS,168,0.0,475
CK,73,0.0,81
CL,84,0.0,163
CO,231,0.0,529
CPS,141,0.0,461
CVM,103,0.0,103
DA,202,0.0,512
DB,112,0.0,288
DDN,176,0.0,391
DDR,110,1.4516129032258065,389
DDRS,113,0.0,506
DDZD,109,0.0,412
DEI,282,0.0,483
DID,126,0.0,373
DL,195,0.0,466
DLD,114,0.0,213
DLN,235,0.0,543
DMN,140,0.0,244
DMNZ,135,0.0,196
DN,0,0.0,0
DR,123,0.0,373
DRH,168,0.0,489
DRON,200,0.0,351
DRP,289,0.0,497
DT,144,1.4516129032258065,506
DTC,137,0.0,393
DTCH,135,0.0,393
DTCP,143,0.0,459
DV,152,0.0,376
DVC,156,0.0,442
DVD,133,0.0,193
DVN,116,0.0,375
DVNK,155,0.0,301
DWE,295,0.0,483
DZ,327,0.0,564
DZW,326,0.0,564
EC,66,0.0,83
ED,124,0.0,116
EDC,126,0.0,138
EDN,108,0.0,87
EEM,334,0.0,563
EGH,102,0.0,102
EGHM,103,0.0,102
EHS,23,27.870967741935484,66
EHV,22,76.51612903225806,4
EKZ,202,0.0,544
EML,146,0.0,433
EMN,251,0.0,544
EMNZ,247,0.0,543
ES,189,0.0,443
ESK,185,0.0,443
EST,96,0.0,116
ETN,91,0.0,389
FN,295,0.0,483
FWD,292,0.0,483
GBG,224,0.0,529
GD,134,0.0,193
GDG,131,0.0,193
GDM,76,0.0,120
GDR,142,0.0,410
GERP,287,0.0,519
GK,308,0.0,534
GLN,82,0.0,85
GN,289,0.0,519
GND,111,0.0,184
GNN,293,0.0,534
GO,166,0.0,383
GP,28,0.0,66
GR,102,0.0,182
GS,154,0.0,394
GV,152,1.4516129032258065,607
GVC,153,0.0,622
GVM,157,0.0,622
GVMW,151,0.0,607
GW,265,0.0,523
GZ,70,0.0,62
HAD,164,0.0,472
HB,93,0.0,116
HBZM,114,0.0,194
HD,150,0.0,436
HDB,218,0.0,516
HDE,171,0.0,433
HDG,288,0.0,483
HDR,222,0.0,573
HDRZ,221,0.0,573
HFD,153,0.0,281
HGL,181,0.0,424
HGLG,179,0.0,424
HGLO,183,0.0,443
HGV,231,0.0,466
HGZ,300,0.0,542
HIL,170,0.0,301
HK,167,0.0,511
HKS,194,0.0,528
HLG,304,0.0,484
HLGH,305,0.0,488
HLM,160,0.0,451
HLMS,159,0.0,472
HLO,175,0.0,478
HM,9,76.54838709677419,0
HMBH,8,29.258064516129032,0
HMBV,12,29.225806451612904,4
HMH,10,29.225806451612904,4
HMN,107,0.0,166
HN,184,0.0,472
HNK,185,0.0,528
HNO,195,0.0,466
HNP,320,0.0,486
HON,171,0.0,376
HOR,114,0.0,193
HR,249,0.0,523
HRL,97,0.0,85
HRLW,99,0.0,102
HRN,283,0.0,519
HRT,18,36.41935483870968,0
