Station Code,Distance from DVD,Services from/to DVD,Disruptions on path to DVD
AC,7,46.70967741935484,14
AH,89,0.0,73
AHP,90,0.0,330
AHPR,92,0.0,330
AHZ,97,0.0,330
AKL,78,0.0,117
AKM,183,0.0,65
ALM,25,44.096774193548384,0
ALMB,31,29.096774193548388,131
ALMM,24,37.29032258064516,15
ALMO,33,22.32258064516129,131
ALMP,27,22.29032258064516,131
AMF,40,36.54838709677419,1
AMFS,43,17.161290322580644,241
AML,137,16.806451612903224,307
AMPO,22,37.29032258064516,15
AMR,47,2.838709677419355,322
AMRI,139,0.0,377
AMRN,48,0.0,397
ANA,77,0.0,408
APD,83,18.06451612903226,241
APDM,84,0.0,276
APDO,86,0.0,276
APG,246,0.0,95
APN,57,0.0,24
ARN,201,0.0,174
ASA,2,49.58064516129032,0
ASB,2,48.935483870967744,0
ASD,8,49.58064516129032,37
ASDL,15,0.0,295
ASDM,4,47.354838709677416,37
ASDZ,4,93.6774193548387,0
ASHD,3,46.70967741935484,14
ASN,184,0.0,15
ASS,12,45.54838709677419,295
ASSP,5,0.0,51
ATN,141,0.0,367
AVAT,46,0.0,247
BD,122,0.0,159
BDE,203,0.0,262
BDG,49,0.0,15
BDM,227,0.0,84
BDPB,123,0.0,291
BET,101,0.0,73
BF,231,0.0,84
BGN,149,0.0,290
BHDV,89,0.0,137
BHV,40,0.0,73
BK,196,0.0,263
BKF,66,0.0,380
BKG,65,0.0,376
BKL,19,46.70967741935484,141
BL,168,0.0,15
BLL,30,0.0,332
BMN,108,0.0,276
BMR,133,0.0,365
BN,146,0.0,377
BNC,59,0.0,242
BNK,39,6.580645161290323,73
BNN,56,0.0,241
BNZ,61,0.0,258
BP,225,0.0,258
BR,161,0.0,243
BRD,89,0.0,175
BRN,31,0.032258064516129,1
BSD,64,0.0,116
BSK,63,0.0,105
BSKS,64,0.0,128
BSMZ,19,16.774193548387096,26
BTL,91,0.0,146
BV,37,0.0,316
BZL,181,0.0,321
CAS,35,2.838709677419355,319
CK,123,0.0,362
CL,49,0.0,101
CO,161,0.0,35
CPS,67,36.483870967741936,99
CVM,213,0.0,280
DA,148,0.0,25
DB,43,6.580645161290323,73
DDN,141,0.0,291
DDR,98,6.806451612903226,169
DDRS,101,0.0,286
DDZD,99,0.0,286
DEI,205,0.0,258
DID,108,0.0,330
DL,118,0.0,15
DLD,43,0.0,93
DLN,165,0.0,49
DMN,7,0.0,51
DMNZ,2,54.096774193548384,0
DN,133,0.0,215
DR,105,0.0,330
DRH,35,0.0,333
DRON,74,0.0,145
DRP,212,0.0,272
DT,68,7.225806451612903,79
DTC,119,0.0,350
DTCH,117,0.0,350
