Station Code,Distance from DVN,Services from/to DVN,Disruptions on path to DVN
AC,91,0.0,365
AH,9,55.483870967741936,2
AHP,8,55.483870967741936,0
AHPR,10,0.0,2
AHZ,17,0.0,259
AKL,86,0.0,320
AKM,160,0.0,149
ALM,107,0.0,552
ALMB,113,0.0,683
ALMM,106,0.0,551
ALMO,115,0.0,683
ALMP,109,0.0,683
AMF,60,0.0,299
AMFS,63,0.0,539
AML,91,0.0,75
AMPO,104,0.0,551
AMR,144,0.0,838
AMRI,93,0.0,145
AMRN,145,0.0,913
ANA,174,0.0,924
APD,54,0.0,9
APDM,53,0.0,10
APDO,57,0.0,44
APG,223,0.0,179
APN,102,0.0,342
ARN,203,0.0,715
ASA,100,0.0,332
ASB,96,0.0,332
ASD,105,0.0,553
ASDL,112,0.0,811
ASDM,101,0.0,539
ASDZ,102,0.0,346
ASHD,95,0.0,492
ASN,161,0.0,99
ASS,109,0.0,811
ASSP,100,0.0,558
ATN,43,35.54838709677419,37
AVAT,66,0.0,545
BD,114,0.0,387
BDE,153,0.0,460
BDG,94,0.0,333
BDM,204,0.0,168
BDPB,119,0.0,710
BET,93,0.0,374
BF,208,0.0,168
BGN,151,0.0,715
BHDV,97,0.0,340
BHV,72,0.0,543
BK,146,0.0,461
BKF,163,0.0,896
BKG,162,0.0,892
BKL,79,0.0,332
BL,145,0.0,99
BLL,127,0.0,848
BMN,29,0.0,9
BMR,53,0.0,294
BN,86,0.0,76
BNC,41,0.0,282
BNK,59,0.0,313
BNN,44,0.0,298
BNZ,39,0.0,282
BP,202,0.0,116
BR,88,0.0,323
BRD,123,0.0,468
BRN,69,0.0,539
BSD,72,0.0,319
BSK,108,0.0,423
BSKS,109,0.0,446
BSMZ,81,0.0,540
BTL,83,0.0,374
BV,134,0.0,832
BZL,183,0.0,746
CAS,132,0.0,835
CK,43,0.0,291
CL,73,0.0,319
CO,131,0.0,162
CPS,112,0.0,417
CVM,163,0.0,478
DA,102,0.0,145
DB,55,0.0,281
DDN,76,0.0,24
DDR,114,0.0,351
DDRS,111,0.0,351
DDZD,115,0.0,468
DEI,182,0.0,116
DID,10,57.83870967741935,0
DL,95,0.0,99
DLD,69,0.0,539
DLN,135,0.0,176
DMN,98,0.0,557
DMNZ,98,0.0,540
DN,116,0.0,375
DR,23,0.0,6
DRH,132,0.0,849
DRON,115,0.0,99
DRP,189,0.0,130
DT,136,0.0,432
DTC,21,57.83870967741935,20
DTCH,19,57.83870967741935,20
DTCP,136,0.0,487
DV,52,0.0,9
DVC,56,0.0,75
DVD,98,0.0,332
DVN,0,0.0,0
DVNK,120,0.0,440
DWE,195,0.0,116
DZ,227,0.0,197
DZW,226,0.0,197
EC,126,0.0,458
ED,26,0.0,259
EDC,28,0.0,281
EDN,168,0.0,462
EEM,234,0.0,196
EGH,162,0.0,477
EGHM,163,0.0,477
EHS,102,0.0,450
EHV,103,0.0,374
EKZ,166,0.0,904
EML,83,0.0,539
EMN,151,0.0,177
EMNZ,147,0.0,176
ES,89,0.0,76
ESK,85,0.0,76
EST,20,0.0,259
ETN,125,0.0,710
FN,195,0.0,116
FWD,192,0.0,116
GBG,124,0.0,162
GD,99,0.0,332
GDG,96,0.0,332
GDM,65,0.0,276
GDR,26,36.354838709677416,37
GERP,187,0.0,152
GK,208,0.0,167
GLN,142,0.0,460
GN,189,0.0,152
GND,100,0.0,340
GNN,193,0.0,167
GO,66,0.0,16
GP,109,0.0,436
GR,91,0.0,338
GS,188,0.0,715
GV,128,0.0,417
GVC,127,0.0,335
GVM,128,0.0,525
GVMW,129,0.0,432
GW,165,0.0,156
GZ,104,0.0,389
HAD,128,0.0,832
HB,153,0.0,491
HBZM,103,0.0,350
HD,87,0.0,542
HDB,118,0.0,149
HDE,101,0.0,99
HDG,188,0.0,116
HDR,186,0.0,933
HDRZ,185,0.0,933
HFD,118,0.0,420
HGL,81,0.0,57
HGLG,79,0.0,57
HGLO,83,0.0,76
HGV,131,0.0,99
HGZ,200,0.0,175
HIL,135,0.0,440
HK,131,0.0,871
HKS,158,0.0,888
HLG,204,0.0,117
HLGH,205,0.0,121
HLM,124,0.0,811
HLMS,123,0.0,832
HLO,139,0.0,838
HM,116,0.0,417
HMBH,117,0.0,421
HMBV,113,0.0,436
HMH,115,0.0,436
HMN,34,0.0,273
HN,148,0.0,832
HNK,149,0.0,888
HNO,95,0.0,99
HNP,220,0.0,119
HON,71,0.0,9
HOR,79,0.0,332
HR,149,0.0,156
HRL,157,0.0,460
HRLW,159,0.0,477
HRN,183,0.0,152
HRT,98,0.0,375
HT,71,0.0,301
HTN,73,0.0,357
HTNC,74,0.0,385
HTO,70,0.0,301
HVL,54,0.0,299
HVS,76,0.0,539
HVSM,77,0.0,540
HVSP,77,0.0,540
HWD,151,0.0,914
HWZB,116,0.0,832
HZE,114,0.0,442
IJT,203,0.0,117
KBD,170,0.0,715
KBK,45,0.0,9
KLP,33,0.0,281
KMA,123,0.0,845
KMR,165,0.0,477
KMW,225,0.0,124
KPN,98,0.0,99
KPNZ,98,0.0,99
KRD,165,0.0,488
KRG,177,0.0,715
KTR,41,0.0,273
KW,197,0.0,173
KZ,117,0.0,835
LAA,128,0.0,364
LC,53,0.0,9
LDL,116,0.0,423
LDM,79,0.0,320
LEDN,117,0.0,430
LG,160,0.0,477
LLS,131,0.0,683
LLZM,112,0.0,417
LP,215,0.0,179
LTN,34,0.0,282
LTV,65,0.0,56
LUT,142,0.0,460
LW,178,0.0,99
LWC,181,0.0,116
MAS,74,0.0,332
MDB,207,0.0,742
MES,165,0.0,462
MG,188,0.0,116
MMLH,38,0.0,280
MP,111,0.0,99
MRB,110,0.0,146
MRN,63,0.0,313
MT,159,0.0,460
MTH,198,0.0,175
MTN,162,0.0,462
MTR,160,0.0,462
MZ,124,0.0,447
NDB,82,0.0,540
NH,150,0.0,491
NKK,71,0.0,539
NM,28,0.0,259
NMD,33,0.0,280
NMGO,31,0.0,280
NMH,31,0.0,280
NML,27,0.0,273
NS,99,0.0,539
NSCH,233,0.0,182
NVD,94,0.0,16
NVP,123,0.0,548
NWK,108,0.0,417
O,52,0.0,280
OBD,157,0.0,832
ODB,145,0.0,715
ODZ,92,0.0,76
OMN,106,0.0,106
OP,37,0.0,273
OST,62,0.0,75
OT,92,0.0,417
OTB,13,0.0,259
OVN,126,0.0,848
OW,53,0.0,301
PMO,130,0.0,811
PMR,129,0.0,832
PMW,128,0.0,835
PT,78,0.0,539
RAI,101,0.0,335
RAT,101,0.0,99
RB,167,0.0,746
RD,227,0.0,183
RH,17,0.0,3
RHN,86,0.0,316
RL,58,0.0,11
RLB,127,0.0,567
RM,113,0.0,409
RS,64,0.0,301
RSD,138,0.0,710
RSN,78,0.0,9
RSW,131,0.0,432
RTA,113,0.0,417
RTB,124,0.0,487
RTD,123,0.0,417
RTN,118,0.0,419
RTST,128,0.0,487
RTZ,127,0.0,487
RV,102,0.0,395
RVS,44,0.0,259
SBK,145,0.0,490
SD,73,0.0,553
SDA,216,0.0,173
SDM,127,0.0,487
SDT,104,0.0,350
SDTB,107,0.0,351
SGL,169,0.0,476
SGN,165,0.0,924
SHL,113,0.0,346
SK,200,0.0,116
SKND,199,0.0,116
SM,108,0.0,409
SN,147,0.0,491
SOG,167,0.0,477
SPTN,131,0.0,848
SPTZ,129,0.0,848
SRN,131,0.0,487
SSH,125,0.0,440
ST,74,0.0,553
STD,138,0.0,458
STM,211,0.0,179
STV,229,0.0,124
STZ,75,0.0,543
SWD,200,0.0,167
SWK,125,0.0,149
TB,93,0.0,374
TBG,27,36.354838709677416,37
TBR,98,0.0,387
TBU,94,0.0,387
TG,95,0.0,376
TL,53,0.0,276
TPSW,55,0.0,276
TWL,57,0.0,75
UHM,224,0.0,183
UHZ,221,0.0,183
UST,216,0.0,182
UT,67,0.0,259
UTG,128,0.0,870
UTLN,69,0.0,357
UTLR,70,0.0,332
UTO,70,0.0,332
UTT,72,0.0,332
UTVR,66,0.0,357
UTZL,69,0.0,332
VB,124,0.0,417
VD,48,0.0,9
VDL,161,0.0,477
VDM,216,0.0,180
VEM,40,0.0,9
VG,75,0.0,374
VH,125,0.0,440
VHP,104,0.0,146
VK,170,0.0,477
VL,90,0.0,375
VLB,60,0.0,322
VNDC,78,0.0,315
VNDW,77,0.0,315
VP,13,0.0,3
VRY,67,0.0,323
VS,213,0.0,742
VSS,212,0.0,715
VST,122,0.0,525
VSV,34,35.54838709677419,37
VTN,74,0.0,337
VZ,97,0.0,145
WAD,107,0.0,417
WADN,108,0.0,417
WADT,106,0.0,417
WC,37,0.0,259
WD,83,0.0,332
WDN,86,0.0,16
WF,17,0.0,259
WFM,213,0.0,182
WH,69,0.0,85
WK,216,0.0,119
WL,16,57.83870967741935,20
WM,121,0.0,835
WP,91,0.0,551
WR,243,0.0,191
WS,221,0.0,182
WSM,205,0.0,168
WT,131,0.0,417
WTV,4,55.483870967741936,0
WV,138,0.0,99
WW,55,35.54838709677419,56
WWW,56,0.0,56
WZ,92,0.0,99
YPB,120,0.0,335
ZA,31,0.0,273
ZB,208,0.0,176
ZBM,74,0.0,319
ZD,115,0.0,832
ZDK,118,0.0,835
ZH,201,0.0,167
ZL,83,0.0,85
ZLSH,88,0.0,99
ZLW,129,0.0,728
ZP,36,0.0,9
ZTM,115,0.0,332
ZTMO,114,0.0,417
ZV,5,57.83870967741935,0
ZVB,137,0.0,733
ZVT,132,0.0,848
ZWD,116,0.0,468
ZZS,118,0.0,835
