station,distance,services_per_day,n_of_disruptions
AC,54,0,74
AH,111,0,181
AHP,112,0,438
AHPR,114,0,440
AHZ,119,0,438
AKL,83,0,321
AKM,217,0,412
ALM,72,23.161290322580644,134
ALMB,78,20.70967741935484,265
ALMM,71,23.161290322580644,152
ALMO,80,20.70967741935484,265
ALMP,74,20.70967741935484,265
AMF,74,0,108
AMFS,77,0,348
AML,171,0,414
AMPO,69,23.161290322580644,152
AMR,67,0,129
AMRI,173,0,484
AMRN,68,0,204
ANA,97,0,215
APD,117,0,348
APDM,118,0,383
APDO,120,0,383
APG,280,0,442
APN,18,0,17
ARN,158,0,225
ASA,49,0,137
ASB,49,0,60
ASD,51,21.225806451612904,10
ASDL,44,39.645161290322584,60
ASDM,51,19.70967741935484,174
ASDZ,43,3.4193548387096775,60
ASHD,50,0,74
ASN,218,0,362
ASS,47,39.645161290322584,60
ASSP,52,19.741935483870968,188
ATN,163,0,475
AVAT,80,0,354
BD,85,0,189
BDE,225,0,368
BDG,26,0,98
BDM,261,0,431
BDPB,80,0,311
BET,123,0,297
BF,265,0,431
BGN,106,0,194
BHDV,72,0,319
BHV,62,0,181
BK,218,0,368
BKF,101,0,145
BKG,100,0,141
BKL,56,0,108
BL,202,0,367
BLL,35,0,87
BMN,133,0,441
BMR,155,0,473
BN,180,0,484
BNC,93,0,349
BNK,61,0,181
BNN,90,0,348
BNZ,95,0,365
BP,259,0,379
BR,183,0,348
BRD,46,0,204
BRN,77,0,205
BSD,86,0,305
BSK,24,0,98
BSKS,25,0,121
BSMZ,66,0,163
BTL,113,0,254
BV,45,0,107
BZL,138,0,225
CAS,55,0,126
CK,145,0,470
CL,71,0,209
CO,195,0,382
CPS,46,0,191
CVM,235,0,385
DA,182,0,484
DB,65,0,181
DDN,175,0,398
DDR,55,0,189
DDRS,58,0,306
DDZD,56,0,306
DEI,239,0,379
DID,130,0,438
DL,152,0,362
DLD,65,0,201
DLN,199,0,396
DMN,54,19.741935483870968,188
DMNZ,49,3.4193548387096775,137
DN,155,0,320
DR,127,0,438
DRH,40,0,106
DRON,121,18.258064516129032,279
DRP,246,0,393
DT,21,0,18
DTC,141,0,458
DTCH,139,0,458
DTCP,22,0,119
DV,132,0,348
DVC,136,0,414
DVD,47,3.4193548387096775,134
DVN,120,0,440
DWE,252,0,379
DZ,284,0,460
DZW,283,0,460
EC,198,0,365
ED,94,0,181
EDC,96,0,203
EDN,240,0,369
EEM,291,0,459
EGH,234,0,384
EGHM,235,0,384
EHS,132,0,373
EHV,133,0,254
EKZ,104,0,153
EML,97,0,351
EMN,215,0,397
EMNZ,211,0,396
ES,188,0,450
ESE,194,0,479
ESK,184,0,450
EST,122,0,438
ETN,96,0,512
FN,252,0,379
FWD,249,0,379
GBG,188,0,382
GBR,197,0,479
GD,36,0,121
GDG,39,0,206
GDM,79,0,262
GDR,146,0,475
GERP,244,0,415
GK,265,0,430
GLN,214,0,367
GN,246,0,415
GND,69,0,309
GNN,250,0,430
GO,165,0,390
GP,139,0,316
GR,78,0,319
GS,143,0,225
GV,13,0,3
GVC,12,60.225806451612904,3
GVM,8,60.225806451612904,0
GVMW,14,0,18
GW,222,0,419
GZ,95,0,512
HAD,28,17.612903225806452,10
HB,225,0,398
HBZM,66,0,309
HD,101,0,351
HDB,182,0,369
HDE,122,0,348
HDG,245,0,379
HDR,109,0,224
HDRZ,108,0,224
HFD,27,43.193548387096776,10
HGL,180,0,431
HGLG,178,0,431
HGLO,182,0,450
HGV,188,0,362
