Station Code,Distance from EC,Services from/to EC,Disruptions on path to EC
AC,169,0.0,198
AH,117,0.0,199
AHP,118,0.0,456
AHPR,120,0.0,456
AHZ,109,0.0,213
AKL,140,0.0,209
AKM,270,0.0,599
ALM,194,0.0,251
ALMB,200,0.0,382
ALMM,193,0.0,250
ALMO,202,0.0,382
ALMP,196,0.0,382
AMF,166,0.0,238
AMFS,169,0.0,478
AML,201,0.0,525
AMPO,191,0.0,250
AMR,223,0.0,523
AMRI,203,0.0,595
AMRN,224,0.0,598
ANA,253,0.0,609
APD,164,0.0,459
APDM,163,0.0,460
APDO,167,0.0,494
APG,333,0.0,629
APN,180,0.0,248
ARN,212,0.0,439
ASA,178,0.0,238
ASB,174,0.0,238
ASD,184,0.0,238
ASDL,191,0.0,496
ASDM,180,0.0,275
ASDZ,180,0.0,252
ASHD,173,0.0,325
ASN,271,0.0,549
ASS,188,0.0,496
ASSP,181,0.0,289
ATN,169,0.0,493
AVAT,172,0.0,484
BD,123,0.0,111
BDE,27,36.67741935483871,4
BDG,172,0.0,239
BDM,314,0.0,618
BDPB,128,0.0,434
BET,75,0.0,111
BF,318,0.0,618
BGN,160,0.0,439
BHDV,151,0.0,229
BHV,154,0.0,238
BK,20,36.67741935483871,5
BKF,242,0.0,581
BKG,241,0.0,577
BKL,157,0.0,165
BL,255,0.0,549
BLL,206,0.0,533
BMN,139,0.0,459
BMR,73,0.0,136
BN,196,0.0,526
BNC,149,0.0,222
BNK,151,0.0,289
BNN,152,0.0,238
BNZ,147,0.0,222
BP,312,0.0,566
BR,38,0.0,83
BRD,162,0.0,551
BRN,169,0.0,262
BSD,126,0.0,208
BSK,186,0.0,329
BSKS,187,0.0,352
BSMZ,168,0.0,239
BTL,85,0.0,49
BV,213,0.0,517
BZL,192,0.0,470
CAS,211,0.0,520
CK,83,0.0,164
CL,127,0.0,208
CO,241,0.0,612
CPS,184,0.0,506
CVM,37,0.0,22
DA,212,0.0,595
DB,155,0.0,333
DDN,186,0.0,474
DDR,153,0.0,434
DDRS,156,0.0,551
DDZD,152,0.0,457
DEI,292,0.0,566
DID,136,0.0,456
DL,205,0.0,549
DLD,157,0.0,258
DLN,245,0.0,626
DMN,183,0.0,289
DMNZ,178,0.0,241
DN,66,0.0,83
DR,133,0.0,456
DRH,211,0.0,534
DRON,225,0.0,549
DRP,299,0.0,580
DT,185,0.0,21
DTC,147,0.0,476
DTCH,145,0.0,476
DTCP,186,0.0,122
DV,162,0.0,459
DVC,166,0.0,525
DVD,176,0.0,238
DVN,126,0.0,458
DVNK,192,0.0,39
DWE,305,0.0,566
DZ,337,0.0,647
DZW,336,0.0,647
EC,0,0.0,0
ED,134,0.0,199
EDC,136,0.0,221
EDN,42,0.0,6
EEM,344,0.0,646
EGH,36,0.0,21
EGHM,37,0.0,21
EHS,66,0.0,111
EHV,65,0.0,49
EKZ,245,0.0,589
EML,189,0.0,478
EMN,261,0.0,627
EMNZ,257,0.0,626
ES,199,0.0,526
ESK,195,0.0,526
EST,106,0.0,199
ETN,134,0.0,434
FN,305,0.0,566
FWD,302,0.0,566
GBG,234,0.0,612
GD,177,0.0,238
GDG,174,0.0,238
GDM,119,0.0,165
GDR,152,0.0,493
GERP,297,0.0,602
GK,318,0.0,617
GLN,16,0.0,4
GN,299,0.0,602
GND,154,0.0,229
GNN,303,0.0,617
GO,176,0.0,466
GP,59,0.0,56
GR,145,0.0,227
GS,197,0.0,439
GV,179,0.0,21
GVC,180,0.0,36
GVM,184,0.0,36
GVMW,178,0.0,21
GW,275,0.0,606
GZ,113,0.0,107
HAD,207,0.0,517
HB,27,0.0,35
HBZM,157,0.0,239
HD,193,0.0,481
HDB,228,0.0,599
HDE,211,0.0,549
HDG,298,0.0,566
HDR,265,0.0,618
HDRZ,264,0.0,618
HFD,196,0.0,326
HGL,191,0.0,507
HGLG,189,0.0,507
HGLO,193,0.0,526
HGV,241,0.0,549
HGZ,310,0.0,625
HIL,213,0.0,46
HK,210,0.0,556
HKS,237,0.0,573
HLG,314,0.0,567
HLGH,315,0.0,571
HLM,203,0.0,496
HLMS,202,0.0,517
HLO,218,0.0,523
HM,75,0.0,111
HMBH,74,0.0,111
HMBV,75,0.0,111
HMH,76,0.0,115
HMN,120,0.0,213
HN,227,0.0,517
HNK,228,0.0,573
HNO,205,0.0,549
HNP,330,0.0,569
HON,181,0.0,459
HOR,157,0.0,238
HR,259,0.0,606
HRL,31,0.0,4
HRLW,33,0.0,21
HRN,293,0.0,602
HRT,48,0.0,135
HT,97,0.0,92
HTN,137,0.0,261
HTNC,136,0.0,261
HTO,98,0.0,165
HVL,162,0.0,239
HVS,163,0.0,238
HVSM,164,0.0,239
HVSP,162,0.0,238
HWD,230,0.0,599
HWZB,195,0.0,517
HZE,54,0.0,51
IJT,313,0.0,567
KBD,179,0.0,439
KBK,155,0.0,459
KLP,141,0.0,221
KMA,202,0.0,530
KMR,39,0.0,21
KMW,335,0.0,574
KPN,208,0.0,549
KPNZ,208,0.0,549
KRD,39,0.0,32
KRG,186,0.0,439
KTR,127,0.0,213
KW,307,0.0,623
KZ,196,0.0,520
LAA,181,0.0,36
LC,163,0.0,459
LDL,194,0.0,329
LDM,133,0.0,209
LEDN,195,0.0,36
LG,34,0.0,21
LLS,218,0.0,382
LLZM,190,0.0,323
LP,325,0.0,629
LTN,142,0.0,222
LTV,181,0.0,461
LUT,16,36.67741935483871,4
LW,288,0.0,549
LWC,291,0.0,566
MAS,152,0.0,238
MDB,216,0.0,466
MES,39,0.0,6
MG,298,0.0,566
MMLH,88,0.0,167
MP,221,0.0,549
MRB,220,0.0,596
MRN,163,0.0,365
MT,33,36.67741935483871,4
MTH,308,0.0,625
MTN,36,0.0,6
MTR,34,36.67741935483871,6
MZ,44,0.0,49
NDB,169,0.0,239
