Station Code,Distance from EHV,Services from/to EHV,Disruptions on path to EHV
AC,104,0.0,106
AH,94,0.0,97
AHP,95,0.0,354
AHPR,97,0.0,354
AHZ,86,0.0,129
AKL,75,0.0,117
AKM,244,0.0,450
ALM,129,0.0,159
ALMB,135,0.0,290
ALMM,128,0.0,158
ALMO,137,0.0,290
ALMP,131,0.0,290
AMF,101,0.0,146
AMFS,104,0.0,386
AML,178,0.0,423
AMPO,126,0.0,158
AMR,158,14.806451612903226,431
AMRI,180,0.0,493
AMRN,159,1.3548387096774193,506
ANA,188,1.3548387096774193,517
APD,141,0.0,357
APDM,140,0.0,358
APDO,144,0.0,392
APG,307,0.0,480
APN,115,0.0,156
ARN,147,0.0,328
ASA,113,49.83870967741935,146
ASB,109,52.03225806451613,146
ASD,119,49.83870967741935,146
ASDL,126,0.0,404
ASDM,115,0.0,183
ASDZ,115,44.64516129032258,160
ASHD,108,0.0,233
ASN,245,0.0,400
ASS,123,39.12903225806452,404
ASSP,116,0.0,197
ATN,146,0.0,391
AVAT,107,0.0,392
BD,58,38.354838709677416,0
BDE,92,0.032258064516129,51
BDG,107,0.0,147
BDM,288,0.0,469
BDPB,63,0.0,323
BET,10,61.38709677419355,0
BF,292,0.0,469
BGN,95,0.0,328
BHDV,86,0.0,137
BHV,89,0.0,146
BK,85,0.0,52
BKF,177,24.32258064516129,489
BKG,176,24.32258064516129,485
BKL,92,0.032258064516129,73
BL,229,0.0,400
BLL,141,0.0,441
BMN,116,0.0,357
BMR,85,0.0,85
BN,173,0.0,424
BNC,120,0.0,387
BNK,86,0.0,197
BNN,117,0.0,386
BNZ,122,0.0,403
BP,286,0.0,403
BR,50,36.41935483870968,32
BRD,97,0.0,440
BRN,104,0.0,170
BSD,61,0.0,116
BSK,121,0.0,237
BSKS,122,0.0,260
BSMZ,103,0.0,147
BTL,20,61.38709677419355,0
BV,148,0.0,425
BZL,127,0.0,359
CAS,146,14.806451612903226,428
CK,90,0.0,126
CL,62,0.0,116
CO,218,0.0,510
CPS,119,0.0,395
CVM,102,0.0,69
DA,189,0.0,493
DB,90,0.0,241
DDN,163,0.0,372
DDR,88,1.967741935483871,323
DDRS,91,0.0,440
DDZD,87,0.0,346
DEI,266,0.0,403
DID,113,0.0,354
DL,179,0.0,400
DLD,92,0.0,166
DLN,222,0.0,524
DMN,118,0.0,197
DMNZ,113,0.0,149
DN,22,65.93548387096774,4
DR,110,0.0,354
DRH,146,0.0,442
DRON,178,0.0,304
DRP,273,0.0,417
DT,122,34.70967741935484,440
DTC,124,0.0,374
DTCH,122,0.0,374
DTCP,121,0.0,393
DV,139,0.0,357
DVC,143,0.0,423
DVD,111,0.032258064516129,146
DVN,103,0.0,356
DVNK,133,0.0,254
DWE,279,0.0,403
DZ,311,0.0,498
DZW,310,0.0,498
EC,65,0.0,49
ED,111,0.0,354
EDC,113,0.0,376
EDN,107,0.0,53
EEM,318,0.0,497
EGH,101,0.0,68
EGHM,102,0.0,68
EHS,1,61.25806451612903,0
EHV,0,0.0,0
EKZ,180,24.32258064516129,497
EML,124,0.0,386
EMN,238,0.0,525
EMNZ,234,0.0,524
ES,176,0.0,424
ESK,172,0.0,424
EST,83,0.0,115
ETN,69,0.0,323
FN,279,0.0,403
FWD,276,0.0,403
GBG,211,0.0,510
GD,112,0.0,146
GDG,109,0.0,146
GDM,54,0.1290322580645161,73
GDR,129,0.0,391
GERP,271,0.0,453
GK,292,0.0,468
GLN,81,0.0,51
GN,273,0.0,453
GND,89,0.0,137
GNN,277,0.0,468
GO,153,0.0,364
GP,6,29.516129032258064,0
GR,80,0.0,135
GS,132,0.0,328
GV,130,34.70967741935484,541
GVC,131,32.54838709677419,556
GVM,135,0.0,556
GVMW,129,0.0,541
GW,249,0.0,457
GZ,48,0.0,15
HAD,142,0.0,425
HB,92,0.0,82
HBZM,92,0.0,147
HD,128,0.0,389
HDB,205,0.0,497
HDE,149,0.0,386
HDG,272,0.0,403
HDR,200,1.3548387096774193,526
HDRZ,199,1.3548387096774193,526
HFD,131,0.0,234
HGL,168,0.0,405
HGLG,166,0.0,405
HGLO,170,0.0,424
HGV,215,0.0,400
HGZ,284,0.0,476
HIL,148,0.0,254
HK,145,0.0,464
HKS,172,24.32258064516129,481
HLG,288,0.0,404
HLGH,289,0.0,408
HLM,138,0.0,404
