station,distance,services_per_day,n_of_disruptions
AC,159,0,451
AH,82,0,70
AHP,81,0,74
AHPR,79,0,73
AHZ,90,0,327
AKL,159,0,388
AKM,144,0,165
ALM,148,0,126
ALMB,142,0,126
ALMM,149,0,257
ALMO,140,0,115
ALMP,146,0,131
AMF,114,35.483870967741936,102
AMFS,117,0,342
AML,22,90.80645161290323,19
AMPO,151,0,258
AMR,198,0,628
AMRI,20,43.74193548387097,20
AMRN,199,0,703
ANA,228,0,714
APD,71,41.193548387096776,67
APDM,70,0,68
APDO,73,5.709677419354839,155
APG,207,0,195
APN,170,0,352
ARN,276,0,814
ASA,156,0,346
ASB,156,0,346
ASD,159,0,343
ASDL,166,0,622
ASDM,155,0,361
ASDZ,158,17.258064516129032,346
ASHD,157,0,360
ASN,145,0,115
ASS,163,0,601
ASSP,154,0,361
ATN,110,0,81
AVAT,120,0,348
BD,187,0,455
BDE,226,0,529
BDG,162,0,343
BDM,188,0,184
BDPB,192,0,778
BET,166,0,485
BF,192,0,184
BGN,224,0,783
BHDV,170,0,408
BHV,126,0,346
BK,219,0,529
BKF,217,0,686
BKG,216,0,682
BKL,147,0,418
BL,129,0,120
BLL,181,0,638
BMN,60,0,67
BMR,126,0,362
BN,13,43.70967741935484,19
BNC,114,0,350
BNK,132,0,381
BNN,117,0,366
BNZ,112,0,350
BP,186,0,132
BR,161,0,391
BRD,196,0,538
BRN,123,0,342
BSD,145,0,387
BSK,176,0,433
BSKS,177,0,456
BSMZ,135,0,343
BTL,156,0,442
BV,188,0,661
BZL,256,0,814
CAS,186,0,625
CK,116,0,359
CL,146,0,387
CO,62,0,106
CPS,180,0,500
CVM,236,0,546
DA,33,0,89
DB,128,0,349
DDN,13,0,19
DDR,187,0,421
DDRS,184,0,419
DDZD,188,0,538
DEI,166,0,132
DID,99,0,79
DL,63,0,93
DLD,123,0,342
DLN,66,0,120
DMN,152,0,360
DMNZ,152,0.03225806451612903,360
DN,189,0,443
DR,66,0,67
DRH,186,0,657
DRON,99,0,115
DRP,173,0,146
DT,204,0,515
DTC,110,0,99
DTCH,108,0,99
DTCP,204,0,570
DV,61,41.25806451612903,89
DVC,57,5.709677419354839,96
DVD,154,16.032258064516128,343
DVN,89,0,76
DVNK,188,0,450
DWE,179,0,132
DZ,211,0,213
DZW,210,0,213
EC,199,0,526
ED,99,0,327
EDC,101,0,349
EDN,241,0,530
EEM,218,0,212
EGH,235,0,545
EGHM,236,0,545
EHS,175,0,561
EHV,176,0,442
EKZ,220,0,694
EML,110,0,118
EMN,82,0,121
EMNZ,78,0,120
ESE,6,35.16129032258065,0
ESK,4,44.32258064516129,0
EST,93,0,327
ETN,198,0,778
FN,179,0,132
FWD,176,0,132
GBG,55,0,106
GBR,9,35.16129032258065,0
GD,167,17.483870967741936,415
GDG,164,0,415
GDM,138,0,344
GDR,115,0,116
GERP,171,0,168
GK,192,0,183
GLN,215,0,528
GN,173,0,168
GND,173,0,408
GNN,177,0,183
GO,23,0,52
GP,182,0,504
GR,164,0,406
GS,261,0,814
GV,196,0,500
GVC,195,17.451612903225808,500
GVM,196,0,535
GVMW,197,0,515
GW,149,0,172
GZ,177,0,457
HAD,182,0,638
HB,226,0,559
HBZM,176,0,418
HD,106,0,115
HDB,49,0,93
HDE,85,0,115
HDG,172,0,132
HDR,240,0,723
HDRZ,239,0,723
HFD,174,0,470
HGL,8,90.87096774193549,0
HGLG,10,0,19
HGLO,10,0,19
HGV,115,0,115
HGZ,184,0,191
HIL,189,0,678
HK,185,0,661
HKS,212,0,678
HLG,188,0,133
HLGH,189,0,137
HLM,178,0,601
HLMS,177,0,622
HLO,193,0,628
HM,189,0,504
HMBH,190,0,508
HMBV,186,0,504
HMH,188,0,504
HMN,107,0,341
HN,202,0,622
HNK,203,0,678
HNO,55,37.96774193548387,101
HNP,204,0,135
HON,42,5.709677419354839,96
HOR,136,0,343
HR,133,0,115
HRL,230,0,528
HRLW,232,0,545
HRN,167,0,168
HRT,171,0,443
[HRY,inf,0,0
HT,144,0,369
HTN,143,0,415
HTNC,144,0,443
HTO,143,0,369
HVL,120,0,342
HVS,130,17.741935483870968,342
HVSM,131,0,343
HVSP,131,0,343
HWD,205,0,704
HWZB,170,0,622
HZE,187,0,510
IJT,187,0,133
KBD,243,0,814
KBK,62,0,67
KLP,106,0,349
KMA,177,0,635
KMR,238,0,545
KMW,209,0,140
KPN,82,0,115
KPNZ,82,0,115
KRD,238,0,556
KRG,250,0,814
KTR,114,0,341
KW,181,0,189
KZ,171,0,625
LAA,196,0,529
LC,36,0,60
LDL,184,0,433
LDM,152,0,388
LEDN,185,0,440
LEER,242,0,207
LG,233,0,545
LLS,124,0,115
LLZM,180,0,500
LP,199,0,195
LTN,107,0,350
LTV,88,0,69
LUT,215,0,528
LW,162,0,115
LWC,165,0,132
MAS,142,0,415
MDB,280,0,814
MG,172,0,132
MMLH,111,0,348
MP,95,0,115
MRB,41,0,90
MRN,136,0,381
MT,232,0,528
MTH,182,0,191
MTN,235,0,530
MTR,233,0,530
MZ,197,0,515
[NEA,inf,0,0
NDB,136,0,343
NH,223,0,559
NKK,122,0,118
NM,101,0,327
NMD,106,0,348
NMGO,104,0,348
NMH,104,0,348
NML,100,0,341
NS,94,0,115
NSCH,217,0,198
NVD,35,47.16129032258065,89
NVP,179,0,598
NWK,176,0,500
O,125,0,348
OBD,211,0,714
ODB,218,0,783
ODZ,19,0,19
OMN,52,0,93
OP,110,0,341
OST,71,0,155
OT,165,0,485
OTB,86,0,327
OVN,180,0,638
OW,126,0,369
PMO,184,0,623
PMR,183,0,622
PMW,182,0,625
PT,115,0,132
RAI,157,0,346
RAT,49,47.16129032258065,101
RB,240,0,814
RD,211,0,199
RH,72,0,70
RHN,159,0,384
RL,75,0,69
RLB,198,0,579
RM,186,0,477
RS,137,0,369
RSD,211,0,778
RSN,35,8.064516129032258,89
RSW,199,0,515
RTA,181,0,500
RTB,192,0,570
RTD,191,0,500
RTN,186,0,502
RTST,196,0,579
RTZ,195,0,579
RV,175,0,463
RVS,117,0,327
SBK,218,0,558
SD,127,0,356
SDA,200,0,189
SDM,195,0,570
SDT,177,0,418
SDTB,180,0,419
SGL,242,0,544
SGN,219,0,714
SHL,169,15.935483870967742,420
SK,184,0,132
SKND,183,0,132
SM,181,0,477
SN,220,0,559
SOG,240,0,545
SPTN,185,0,656
SPTZ,183,0,656
SRN,204,0,555
SSH,190,0,598
ST,128,0,356
STD,211,0,526
STM,195,0,195
STV,213,0,140
STZ,129,0,346
SWD,184,0,183
SWK,109,0,165
TB,166,0,442
TBG,116,0,116
TBR,171,0,455
TBU,167,0,455
TG,168,0,444
TL,126,0,344
TPSW,128,0,344
TWL,66,5.741935483870968,155
UHM,208,0,199
UHZ,205,0,199
UST,200,0,198
UT,135,17.580645161290324,342
UTG,182,0,660
UTLN,139,0,415
UTLR,138,0,415
UTM,143,0,415
UTO,132,0,366
UTT,140,0,415
UTVR,136,0,415
UTZL,137,0,415
VB,192,0.03225806451612903,500
VD,65,0,67
VDL,234,0,545
VDM,200,0,196
VEM,57,0,67
VG,148,0,442
VH,193,0,450
VHP,35,0,90
VK,243,0,545
VL,163,0,443
VLB,133,0,390
VNDC,151,0,383
VNDW,150,0,383
VP,76,0,73
VRY,140,0,391
VS,286,0,816
VSS,285,0,816
VST,190,0,535
VSV,119,0,100
VTN,142,0,420
VZ,28,0,89
WAD,175,0,500
WADN,176,0,500
WADT,174,0,500
WC,110,0,327
WD,151,0,342
WDN,27,46.0,89
WF,90,0,327
WFM,197,0,198
WH,78,0,165
WK,200,0,135
WL,105,0,99
WM,175,0,625
WP,145,0,354
WR,227,0,207
WS,205,0,198
WSM,189,0,184
WT,204,0,504
WTV,85,0,76
WV,122,0,115
WW,98,0,81
WWW,97,0,81
WZ,76,0,115
YPB,188,0,500
ZA,104,0,341
ZB,192,0,192
ZBM,147,0,387
ZD,169,0,622
ZDK,172,0,625
ZH,185,0,183
ZL,67,47.193548387096776,101
ZLSH,72,0,115
ZLW,202,0,796
ZP,53,0,67
ZTM,183,0,500
ZTMO,182,0,500
ZV,94,0,79
ZVB,210,0,801
ZVT,186,0,639
ZWD,189,0,538
ZZS,172,0,625
