Station Code,Distance from ESK,Services from/to ESK,Disruptions on path to ESK
AC,155,0.0,451
AH,78,0.0,70
AHP,77,0.0,74
AHPR,75,0.0,73
AHZ,86,0.0,327
AKL,155,0.0,388
AKM,140,0.0,165
ALM,144,0.0,126
ALMB,138,0.0,126
ALMM,145,0.0,257
ALMO,136,0.0,115
ALMP,142,0.0,131
AMF,110,0.6129032258064516,102
AMFS,113,0.0,342
AML,18,44.32258064516129,19
AMPO,147,0.0,258
AMR,194,0.0,628
AMRI,16,43.70967741935484,20
AMRN,195,0.0,703
ANA,224,0.0,714
APD,67,6.32258064516129,67
APDM,66,0.0,68
APDO,69,5.709677419354839,155
APG,203,0.0,195
APN,166,0.0,352
ARN,272,0.0,814
ASA,152,0.0,346
ASB,152,0.0,346
ASD,155,0.0,343
ASDL,162,0.0,622
ASDM,151,0.0,361
ASDZ,154,0.2903225806451613,346
ASHD,153,0.0,360
ASN,141,0.0,115
ASS,159,0.0,601
ASSP,150,0.0,361
ATN,106,0.0,81
AVAT,116,0.0,348
BD,183,0.0,455
BDE,222,0.0,529
BDG,158,0.0,343
BDM,184,0.0,184
BDPB,188,0.0,778
BET,162,0.0,485
BF,188,0.0,184
BGN,220,0.0,783
BHDV,166,0.0,408
BHV,122,0.0,346
BK,215,0.0,529
BKF,213,0.0,686
BKG,212,0.0,682
BKL,143,0.0,418
BL,125,0.0,120
BLL,177,0.0,638
BMN,56,0.0,67
BMR,122,0.0,362
BN,9,43.70967741935484,19
BNC,110,0.0,350
BNK,128,0.0,381
BNN,113,0.0,366
BNZ,108,0.0,350
BP,182,0.0,132
BR,157,0.0,391
BRD,192,0.0,538
BRN,119,0.0,342
BSD,141,0.0,387
BSK,172,0.0,433
BSKS,173,0.0,456
BSMZ,131,0.0,343
BTL,152,0.0,442
BV,184,0.0,661
BZL,252,0.0,814
CAS,182,0.0,625
CK,112,0.0,359
CL,142,0.0,387
CO,58,0.0,106
CPS,176,0.0,500
CVM,232,0.0,546
DA,29,0.0,89
DB,124,0.0,349
DDN,9,0.0,19
DDR,183,0.0,421
DDRS,180,0.0,419
DDZD,184,0.0,538
DEI,162,0.0,132
DID,95,0.0,79
DL,59,0.0,93
DLD,119,0.0,342
DLN,62,0.0,120
DMN,148,0.0,360
DMNZ,148,0.0,360
DN,185,0.0,443
DR,62,0.0,67
DRH,182,0.0,657
DRON,95,0.0,115
DRP,169,0.0,146
DT,200,0.0,515
DTC,106,0.0,99
DTCH,104,0.0,99
DTCP,200,0.0,570
DV,57,6.32258064516129,89
DVC,53,5.709677419354839,96
DVD,150,0.1935483870967742,343
DVN,85,0.0,76
DVNK,184,0.0,450
DWE,175,0.0,132
DZ,207,0.0,213
DZW,206,0.0,213
EC,195,0.0,526
ED,95,0.0,327
EDC,97,0.0,349
EDN,237,0.0,530
EEM,214,0.0,212
EGH,231,0.0,545
EGHM,232,0.0,545
EHS,171,0.0,561
EHV,172,0.0,442
EKZ,216,0.0,694
EML,106,0.0,118
EMN,78,0.0,121
EMNZ,74,0.0,120
ES,4,44.935483870967744,0
ESK,0,0.0,0
EST,89,0.0,327
ETN,194,0.0,778
FN,175,0.0,132
FWD,172,0.0,132
GBG,51,0.0,106
GD,163,0.3225806451612903,415
GDG,160,0.0,415
GDM,134,0.0,344
GDR,111,0.0,116
GERP,167,0.0,168
GK,188,0.0,183
GLN,211,0.0,528
GN,169,0.0,168
GND,169,0.0,408
GNN,173,0.0,183
GO,19,0.0,52
GP,178,0.0,504
GR,160,0.0,406
GS,257,0.0,814
GV,192,0.0,500
GVC,191,0.3225806451612903,500
GVM,192,0.0,535
GVMW,193,0.0,515
GW,145,0.0,172
GZ,173,0.0,457
HAD,178,0.0,638
HB,222,0.0,559
HBZM,172,0.0,418
HD,102,0.0,115
HDB,45,0.0,93
HDE,81,0.0,115
HDG,168,0.0,132
HDR,236,0.0,723
HDRZ,235,0.0,723
HFD,170,0.0,470
HGL,4,44.354838709677416,0
HGLG,6,0.0,19
HGLO,6,0.0,19
HGV,111,0.0,115
HGZ,180,0.0,191
HIL,185,0.0,678
HK,181,0.0,661
HKS,208,0.0,678
HLG,184,0.0,133
HLGH,185,0.0,137
HLM,174,0.0,601
HLMS,173,0.0,622
HLO,189,0.0,628
HM,185,0.0,504
HMBH,186,0.0,508
HMBV,182,0.0,504
HMH,184,0.0,504
HMN,103,0.0,341
HN,198,0.0,622
HNK,199,0.0,678
HNO,51,37.935483870967744,101
HNP,200,0.0,135
HON,38,5.709677419354839,96
HOR,132,0.0,343
HR,129,0.0,115
HRL,226,0.0,528
HRLW,228,0.0,545
HRN,163,0.0,168
HRT,167,0.0,443
HT,140,0.0,369
HTN,139,0.0,415
HTNC,140,0.0,443
HTO,139,0.0,369
HVL,116,0.0,342
HVS,126,0.2903225806451613,342
HVSM,127,0.0,343
HVSP,127,0.0,343
HWD,201,0.0,704
HWZB,166,0.0,622
HZE,183,0.0,510
IJT,183,0.0,133
KBD,239,0.0,814
KBK,58,0.0,67
KLP,102,0.0,349
KMA,173,0.0,635
KMR,234,0.0,545
KMW,205,0.0,140
KPN,78,0.0,115
KPNZ,78,0.0,115
KRD,234,0.0,556
KRG,246,0.0,814
KTR,110,0.0,341
KW,177,0.0,189
KZ,167,0.0,625
LAA,192,0.0,529
LC,32,0.0,60
LDL,180,0.0,433
LDM,148,0.0,388
LEDN,181,0.0,440
LG,229,0.0,545
LLS,120,0.0,115
LLZM,176,0.0,500
LP,195,0.0,195
LTN,103,0.0,350
LTV,84,0.0,69
LUT,211,0.0,528
LW,158,0.0,115
LWC,161,0.0,132
MAS,138,0.0,415
MDB,276,0.0,814
MES,234,0.0,530
MG,168,0.0,132
MMLH,107,0.0,348
MP,91,0.0,115
MRB,37,0.0,90
MRN,132,0.0,381
MT,228,0.0,528
MTH,178,0.0,191
MTN,231,0.0,530
MTR,229,0.0,530
MZ,193,0.0,515
NDB,132,0.0,343
NH,219,0.0,559
NKK,118,0.0,118
NM,97,0.0,327
NMD,102,0.0,348
NMGO,100,0.0,348
NMH,100,0.0,348
NML,96,0.0,341
NS,90,0.0,115
NSCH,213,0.0,198
NVD,31,37.935483870967744,89
NVP,175,0.0,598
NWK,172,0.0,500
O,121,0.0,348
OBD,207,0.0,714
ODB,214,0.0,783
ODZ,15,0.0,19
OMN,48,0.0,93
OP,106,0.0,341
OST,67,0.0,155
OT,161,0.0,485
OTB,82,0.0,327
OVN,176,0.0,638
OW,122,0.0,369
PMO,180,0.0,623
PMR,179,0.0,622
PMW,178,0.0,625
PT,111,0.0,132
RAI,153,0.0,346
RAT,45,37.935483870967744,101
RB,236,0.0,814
RD,207,0.0,199
RH,68,0.0,70
RHN,155,0.0,384
RL,71,0.0,69
RLB,194,0.0,579
RM,182,0.0,477
RS,133,0.0,369
RSD,207,0.0,778
RSN,31,5.741935483870968,89
RSW,195,0.0,515
RTA,177,0.0,500
RTB,188,0.0,570
RTD,187,0.0,500
RTN,182,0.0,502
RTST,192,0.0,579
RTZ,191,0.0,579
RV,171,0.0,463
RVS,113,0.0,327
SBK,214,0.0,558
SD,123,0.0,356
SDA,196,0.0,189
SDM,191,0.0,570
SDT,173,0.0,418
SDTB,176,0.0,419
SGL,238,0.0,544
SGN,215,0.0,714
SHL,165,0.1935483870967742,420
SK,180,0.0,132
SKND,179,0.0,132
SM,177,0.0,477
SN,216,0.0,559
SOG,236,0.0,545
SPTN,181,0.0,656
SPTZ,179,0.0,656
SRN,200,0.0,555
SSH,186,0.0,598
ST,124,0.0,356
STD,207,0.0,526
STM,191,0.0,195
STV,209,0.0,140
STZ,125,0.0,346
SWD,180,0.0,183
SWK,105,0.0,165
TB,162,0.0,442
TBG,112,0.0,116
TBR,167,0.0,455
TBU,163,0.0,455
TG,164,0.0,444
TL,122,0.0,344
TPSW,124,0.0,344
TWL,62,5.709677419354839,155
UHM,204,0.0,199
UHZ,201,0.0,199
UST,196,0.0,198
UT,131,0.3225806451612903,342
UTG,178,0.0,660
UTLN,135,0.0,415
UTLR,134,0.0,415
