station,distance,services_per_day,n_of_disruptions
AC,126,0,518
AH,116,36.45161290322581,451
AHP,117,0.7096774193548387,708
AHPR,119,0.7096774193548387,710
AHZ,108,0,465
AKL,69,0,455
AKM,266,0,786
ALM,151,0,495
ALMB,157,0,626
ALMM,150,0,494
ALMO,159,0,626
ALMP,153,0,626
AMF,123,0,482
AMFS,126,0,722
AML,200,0,777
AMPO,148,0,494
AMR,163,0,638
AMRI,202,0,847
AMRN,164,0,713
ANA,193,0,724
APD,163,0,711
APDM,162,0,712
APDO,166,0,746
APG,329,0,816
APN,103,0,501
ARN,78,0,36
ASA,135,0,482
ASB,131,0,482
ASD,141,0,482
ASDL,140,0,443
ASDM,137,0,519
ASDZ,137,0,485
ASHD,132,0,496
ASN,267,0,736
ASS,143,0,443
ASSP,138,0,533
ATN,168,0,745
AVAT,129,0,728
BD,11,38.483870967741936,0
BDE,161,0,437
BDG,111,0,582
BDM,310,0,805
BDPB,16,0,323
BET,59,0,379
BF,314,0,805
BGN,26,0,5
BHDV,58,0,453
BHV,111,0,482
BK,154,0,437
BKF,197,0,528
BKG,196,0,524
BKL,114,0,485
BL,251,0,741
BLL,131,0,596
BMN,138,0.7096774193548387,711
BMR,122,0,465
BN,195,0,778
BNC,142,0,723
BNK,108,0,533
BNN,139,0,722
BNZ,144,0,739
BP,308,0,753
BR,119,0,417
BRD,50,0,440
BRN,126,0,506
BSD,83,0,452
BSK,97,0,478
BSKS,96,0,478
BSMZ,125,0,483
BTL,49,0,336
BV,141,0,616
BZL,58,0,36
CAS,151,0,635
CK,112,0,462
CL,84,0,452
CO,240,0,864
CPS,72,0,395
CVM,171,0,454
DA,211,0,847
DB,112,0,577
DDN,185,0,726
DDR,41,0,323
DDRS,44,0,440
DDZD,40,0,346
DEI,288,0,753
DID,135,0,708
DL,201,0,736
DLD,114,0,502
DLN,244,0,878
DMN,140,0,533
DMNZ,135,0,485
DN,91,0,389
DR,132,34.774193548387096,708
DRH,136,0,615
DRON,200,0,640
DRP,295,0,767
DT,75,0,393
DTC,146,0,728
