Station Code,Distance from FN,Services from/to FN,Disruptions on path to FN
AC,223,0.0,363
AH,188,0.0,110
AHP,187,0.0,114
AHPR,185,0.0,113
AHZ,196,0.0,367
AKL,246,0.0,374
AKM,35,0.0,19
ALM,193,0.0,42
ALMB,187,0.0,42
ALMM,194,0.0,173
ALMO,185,0.0,31
ALMP,191,0.0,47
AMF,178,0.0,17
AMFS,175,0.0,31
AML,157,0.0,52
AMPO,196,0.0,174
AMR,262,0.0,316
AMRI,159,0.0,122
AMRN,263,0.0,391
ANA,292,0.0,402
APD,158,0.0,31
APDM,159,0.0,66
APDO,155,0.0,107
APG,105,0.0,44
APN,234,0.0,267
ARN,377,0.0,527
ASA,220,0.0,35
ASB,220,0.0,35
ASD,223,0.0,31
ASDL,230,0.0,289
ASDM,219,0.0,257
ASDZ,222,0.0,32
ASHD,221,0.0,49
ASN,99,0.0,32
ASS,227,0.0,289
ASSP,218,0.0,50
ATN,216,0.0,121
AVAT,172,0.0,37
BD,290,0.0,416
BDE,332,0.0,568
BDG,226,0.0,258
BDM,86,0.0,33
BDPB,295,0.0,739
BET,269,0.0,330
BF,90,0.0,33
BGN,325,0.0,526
BHDV,257,0.0,394
BHV,190,0.0,261
BK,325,0.0,569
BKF,281,0.0,374
BKG,280,0.0,370
BKL,211,0.0,330
BL,115,0.0,85
BLL,245,0.0,326
BMN,166,0.0,107
BMR,232,0.0,402
BN,166,0.0,122
BNC,197,0.0,258
BNK,207,0.0,330
BNN,194,0.0,257
BNZ,199,0.0,274
BP,41,0.0,17
BR,267,0.0,431
BRD,266,0.0,491
BRN,187,0.0,257
BSD,232,0.0,373
BSK,240,0.0,348
BSKS,241,0.0,371
BSMZ,199,0.0,32
BTL,259,0.0,403
BV,252,0.0,310
BZL,357,0.0,557
CAS,250,0.0,313
CK,222,0.0,399
CL,217,0.0,358
CO,167,0.0,51
CPS,244,0.0,415
CVM,342,0.0,586
DA,154,0.0,41
DB,211,0.0,330
DDN,176,0.0,141
DDR,274,0.0,405
DDRS,271,0.0,405
DDZD,275,0.0,522
DEI,13,17.70967741935484,1
DID,205,0.0,119
DL,124,0.0,31
DLD,187,0.0,257
DLN,171,0.0,65
DMN,216,0.0,49
DMNZ,216,0.0,32
DN,295,0.0,483
DR,172,0.0,107
DRH,250,0.0,327
DRON,144,0.0,31
DRP,6,17.70967741935484,0
DT,268,0.0,430
DTC,216,0.0,139
DTCH,214,0.0,139
DTCP,268,0.0,485
DV,143,0.0,41
DVC,147,0.0,107
DVD,218,0.0,32
DVN,195,0.0,116
DVNK,252,0.0,365
DWE,34,0.0,17
DZ,109,0.0,62
DZW,108,0.0,62
EC,305,0.0,566
ED,205,0.0,367
EDC,207,0.0,389
EDN,347,0.0,570
EEM,116,0.0,61
EGH,341,0.0,585
EGHM,342,0.0,585
EHS,278,0.0,406
EHV,279,0.0,406
EKZ,284,0.0,382
EML,155,0.0,34
EMN,187,0.0,66
EMNZ,183,0.0,65
ES,179,0.0,141
ESK,175,0.0,141
EST,199,0.0,367
ETN,301,0.0,739
FN,0,0.0,0
FWD,31,0.0,17
GBG,160,0.0,51
GD,231,0.0,330
GDG,228,0.0,330
GDM,225,0.0,330
GDR,221,0.0,156
GERP,73,0.0,32
GK,52,0.0,40
GLN,321,0.0,568
GN,71,0.0,17
GND,260,0.0,394
GNN,75,0.0,32
GO,186,0.0,174
GP,285,0.0,468
GR,251,0.0,392
GS,362,0.0,527
GV,260,0.0,415
GVC,259,0.0,333
GVM,260,0.0,450
GVMW,261,0.0,430
GW,30,0.0,17
GZ,280,0.0,418
HAD,246,0.0,310
HB,332,0.0,599
HBZM,263,0.0,404
HD,151,0.0,31
HDB,154,0.0,38
HDE,130,0.0,31
HDG,27,0.0,17
HDR,304,0.0,411
HDRZ,303,0.0,411
HFD,238,0.0,106
HGL,171,0.0,122
HGLG,173,0.0,141
HGLO,173,0.0,141
HGV,104,0.0,74
HGZ,86,0.0,55
HIL,253,0.0,310
HK,249,0.0,349
HKS,276,0.0,366
HLG,9,32.25806451612903,0
HLGH,10,32.25806451612903,4
HLM,242,0.0,289
HLMS,241,0.0,310
HLO,257,0.0,316
HM,292,0.0,468
HMBH,293,0.0,472
HMBV,289,0.0,468
HMH,291,0.0,468
HMN,213,0.0,381
HN,266,0.0,310
HNK,267,0.0,366
HNO,124,0.0,31
HNP,59,0.0,20
HON,162,0.0,107
HOR,200,0.0,32
HR,46,0.0,17
HRL,336,0.0,568
HRLW,338,0.0,585
HRN,77,0.0,32
HRT,277,0.0,483
HT,247,0.0,330
HTN,207,0.0,330
HTNC,208,0.0,358
HTO,248,0.0,403
HVL,184,0.0,257
HVS,194,0.0,31
HVSM,195,0.0,32
HVSP,195,0.0,32
HWD,269,0.0,392
HWZB,234,0.0,310
HZE,290,0.0,474
IJT,42,0.0,18
KBD,344,0.0,527
KBK,167,0.0,67
KLP,212,0.0,389
KMA,241,0.0,323
KMR,344,0.0,585
KMW,64,0.0,25
KPN,127,0.0,31
KPNZ,127,0.0,31
KRD,344,0.0,596
KRG,351,0.0,527
KTR,220,0.0,381
